"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~median_temperature_1DaysBefore + median_humidity_2DaysBefore + median_windBearing_3DaysBefore + PAR_1DaysBefore + min_windBearing_9DaysBefore",0.598287480853391,"median_temperature_1DaysBefore ",0.284350566742165," median_humidity_2DaysBefore ",0.0400908317474272," median_windBearing_3DaysBefore ",0.0212026947723747," PAR_1DaysBefore ",0.0057705066831611," min_windBearing_9DaysBefore",0.00269576778437937,0.416951964410524,0.574834226277982,0.59358356152926,0.598287480853391
"t10392","measurement~ median_windBearing_12DaysBefore + max_dewPoint_14DaysBefore+ median_temperature_6DaysBefore + SST_6DaysBefore +max_temperature_3DaysBefore ",0.317244945527082," median_windBearing_12DaysBefore ",0.163563382189878," max_dewPoint_14DaysBefore",0.0138527702725046," median_temperature_6DaysBefore ",0.00636400333471108," SST_6DaysBefore ",0.00607776295085687,"max_temperature_3DaysBefore ",0.00247633334611379,0.280730342083311,0.306084984109894,0.307332314524995,0.317244945527082
"t12214","measurement~ SST_5DaysBefore + max_dewPoint_3DaysBefore + max_humidity_12DaysBefore+ median_windBearing_10DaysBefore +median_humidity_2DaysBefore ",0.334297084419635," SST_5DaysBefore ",0.310719410914595," max_dewPoint_3DaysBefore ",0.280787119191339," max_humidity_12DaysBefore",0.0522480434468536," median_windBearing_10DaysBefore ",0.0188989235173455,"median_humidity_2DaysBefore ",0.0163338146056149,0.310811960101806,0.311473141494241,0.312046381801685,0.334297084419635
"t13307","measurement~median_windSpeed_0DaysBefore + median_TidalProp_8DaysBefore + median_windBearing_13DaysBefore + min_windBearing_13DaysBefore+ max_TidalProp_13DaysBefore ",0.425482138580024,"median_windSpeed_0DaysBefore ",0.36685356606013," median_TidalProp_8DaysBefore ",0.168047468590405," median_windBearing_13DaysBefore ",0.0886208580493691," min_windBearing_13DaysBefore",0.0477352609457899," max_TidalProp_13DaysBefore ",0.0018807242158857,0.375911727680556,0.408442773430881,0.425180120024072,0.425482138580024
"t14585","measurement~ median_TidalHeight_9DaysBefore+ median_windSpeed_3DaysBefore +min_temperature_0DaysBefore + median_temperature_2DaysBefore + min_windBearing_3DaysBefore ",0.596848017523055," median_TidalHeight_9DaysBefore",0.510817735932979," median_windSpeed_3DaysBefore ",0.420511781664439,"min_temperature_0DaysBefore ",0.13919981823599," median_temperature_2DaysBefore ",0.121875888512853," min_windBearing_3DaysBefore ",0.0647748535130994,0.5670139123086,0.592122900289183,0.593168075929845,0.596848017523055
"t3260","measurement~ min_dewPoint_5DaysBefore + PAR_3DaysBefore + min_windBearing_4DaysBefore +max_humidity_2DaysBefore + PAR_9DaysBefore",0.423473016622336," min_dewPoint_5DaysBefore ",0.299274984212712," PAR_3DaysBefore ",0.0332005073839088," min_windBearing_4DaysBefore ",0.0047155055834743,"max_humidity_2DaysBefore ",0.000469813113002441," PAR_9DaysBefore",9.21864527008883e-07,0.301783894322302,0.369501920278915,0.370237720799024,0.423473016622336
"t3536","measurement~ min_windSpeed_5DaysBefore + max_TidalHeight_7DaysBefore +PAR_1DaysBefore + median_windSpeed_11DaysBefore + max_windBearing_13DaysBefore",0.56150660997539," min_windSpeed_5DaysBefore ",0.484342736882357," max_TidalHeight_7DaysBefore ",0.270138121437553,"PAR_1DaysBefore ",0.253988682330087," median_windSpeed_11DaysBefore ",0.220294256148647," max_windBearing_13DaysBefore",0.00610023567546971,0.525302481722683,0.537884469197924,0.560964445648792,0.56150660997539
"t5033","measurement~ max_dewPoint_12DaysBefore+ min_dewPoint_9DaysBefore +max_temperature_0DaysBefore + median_dewPoint_10DaysBefore + min_windSpeed_9DaysBefore ",0.326441758067517," max_dewPoint_12DaysBefore",0.255532033101397," min_dewPoint_9DaysBefore ",0.247879327013779,"max_temperature_0DaysBefore ",0.0924149929155729," median_dewPoint_10DaysBefore ",0.0851985106561707," min_windSpeed_9DaysBefore ",0.0499879170472133,0.313536573749709,0.314182481526508,0.314254698857169,0.326441758067517
"t8053","measurement~max_temperature_0DaysBefore + min_temperature_3DaysBefore + max_TidalProp_7DaysBefore+ PAR_0DaysBefore + min_windBearing_3DaysBefore ",0.479696634687107,"max_temperature_0DaysBefore ",0.400517605685197," min_temperature_3DaysBefore ",0.375835585152876," max_TidalProp_7DaysBefore",0.26418932623243," PAR_0DaysBefore ",0.177954849094191," min_windBearing_3DaysBefore ",0.136146258612504,0.400533131737188,0.434587480058798,0.434646177849739,0.479696634687107
"t8371","measurement~ SST_12DaysBefore+ PAR_7DaysBefore + median_temperature_8DaysBefore + max_humidity_11DaysBefore +median_TidalHeight_3DaysBefore ",0.533759975829181," SST_12DaysBefore",0.283490684627786," PAR_7DaysBefore ",0.261321410049745," median_temperature_8DaysBefore ",0.0361448601362586," max_humidity_11DaysBefore ",0.0170963358963124,"median_TidalHeight_3DaysBefore ",0.0137792059904562,0.393027663282878,0.482662054859935,0.523836856914551,0.533759975829181
"t8372","measurement~ max_humidity_4DaysBefore + max_windSpeed_8DaysBefore + max_windSpeed_14DaysBefore+ range_TidalHeight_9DaysBefore +median_humidity_3DaysBefore ",0.707075359761571," max_humidity_4DaysBefore ",0.340207347345941," max_windSpeed_8DaysBefore ",0.206233911161896," max_windSpeed_14DaysBefore",0.0450931503754758," range_TidalHeight_9DaysBefore ",0.000954078542594954,"median_humidity_3DaysBefore ",3.25363845893191e-05,0.591746286131034,0.664697795036458,0.705186345818493,0.707075359761571
