"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ median_TidalHeight_12DaysBefore+ median_temperature_5DaysBefore +median_temperature_1DaysBefore + min_TidalHeight_10DaysBefore + PAR_1DaysBefore ",0.224772544603373," median_TidalHeight_12DaysBefore",0.182802963100305," median_temperature_5DaysBefore ",0.0927883021838068,"median_temperature_1DaysBefore ",0.0609916347032235," min_TidalHeight_10DaysBefore ",0.0248227925373565," PAR_1DaysBefore ",0.00679565141530734,0.188687464873192,0.209973234077091,0.224646764313871,0.224772544603373
"t10392","measurement~ max_humidity_12DaysBefore + min_temperature_9DaysBefore +PAR_5DaysBefore + min_windBearing_14DaysBefore+ range_TidalProp_7DaysBefore ",0.180553099912651," max_humidity_12DaysBefore ",0.0858515805687153," min_temperature_9DaysBefore ",0.0714622712097945,"PAR_5DaysBefore ",0.0156535231794717," min_windBearing_14DaysBefore",0.00244949625826717," range_TidalProp_7DaysBefore ",0.000663599399444305,0.119760002505304,0.178503747609943,0.178509739884315,0.180553099912651
"t12214","measurement~ median_temperature_9DaysBefore + median_humidity_3DaysBefore + median_temperature_12DaysBefore+ median_TidalProp_7DaysBefore +max_humidity_1DaysBefore ",0.497609290041698," median_temperature_9DaysBefore ",0.241321138824243," median_humidity_3DaysBefore ",0.0873344992532574," median_temperature_12DaysBefore",0.0697063344448426," median_TidalProp_7DaysBefore ",0.0455838992340113,"max_humidity_1DaysBefore ",0.00231171412365623,0.470486452065371,0.472976082871415,0.473641094470346,0.497609290041698
"t13307","measurement~ max_windBearing_3DaysBefore + median_TidalHeight_3DaysBefore + max_windBearing_5DaysBefore +max_windBearing_1DaysBefore + SST_13DaysBefore",0.178423987179796," max_windBearing_3DaysBefore ",0.148195966512001," median_TidalHeight_3DaysBefore ",0.0882096382243698," max_windBearing_5DaysBefore ",0.0323096014391613,"max_windBearing_1DaysBefore ",0.0288258270543512," SST_13DaysBefore",0.0203506074323849,0.16614895548638,0.16687998237512,0.177365892101682,0.178423987179796
"t14585","measurement~ median_TidalHeight_9DaysBefore+max_windSpeed_1DaysBefore + min_temperature_7DaysBefore + max_windSpeed_8DaysBefore + min_windBearing_6DaysBefore ",0.342991352294816," median_TidalHeight_9DaysBefore",0.294038485396117,"max_windSpeed_1DaysBefore ",0.115154265029674," min_temperature_7DaysBefore ",0.106322757942259," max_windSpeed_8DaysBefore ",0.0287354319578646," min_windBearing_6DaysBefore ",0.000274593864028597,0.321461366638019,0.339912370688764,0.342656013472434,0.342991352294816
"t3260","measurement~ median_windBearing_7DaysBefore +PAR_1DaysBefore + max_windSpeed_2DaysBefore + min_dewPoint_4DaysBefore + max_dewPoint_9DaysBefore",0.598165864696624," median_windBearing_7DaysBefore ",0.365843718439775,"PAR_1DaysBefore ",0.263467292009821," max_windSpeed_2DaysBefore ",0.252008985107329," min_dewPoint_4DaysBefore ",0.157406559188304," max_dewPoint_9DaysBefore",0.0673565062929647,0.525299692692693,0.581717939450876,0.588396235009766,0.598165864696624
"t3536","measurement~ median_temperature_14DaysBefore+ max_TidalHeight_8DaysBefore + median_TidalProp_3DaysBefore +max_temperature_1DaysBefore + median_TidalHeight_7DaysBefore ",0.137238878222517," median_temperature_14DaysBefore",0.0825779572424243," max_TidalHeight_8DaysBefore ",0.041238914907064," median_TidalProp_3DaysBefore ",0.00881523080530456,"max_temperature_1DaysBefore ",0.0062347082852401," median_TidalHeight_7DaysBefore ",0.00229506281761275,0.0832598697572011,0.121938058173322,0.130971871779061,0.137238878222517
"t5033","measurement~ median_windSpeed_14DaysBefore+ max_windBearing_3DaysBefore + max_TidalHeight_8DaysBefore +median_temperature_1DaysBefore + median_dewPoint_1DaysBefore ",0.354336563559903," median_windSpeed_14DaysBefore",0.262243855554298," max_windBearing_3DaysBefore ",0.247522508408269," max_TidalHeight_8DaysBefore ",0.154835059935734,"median_temperature_1DaysBefore ",0.0820249451958071," median_dewPoint_1DaysBefore ",0.0496115477604156,0.339427661230756,0.342654233958768,0.353466667112859,0.354336563559903
"t8053","measurement~max_temperature_0DaysBefore + median_dewPoint_1DaysBefore + max_temperature_6DaysBefore+ max_humidity_0DaysBefore + median_windBearing_3DaysBefore ",0.696501298589796,"max_temperature_0DaysBefore ",0.634845228700799," median_dewPoint_1DaysBefore ",0.586180705970097," max_temperature_6DaysBefore",0.433685499853232," max_humidity_0DaysBefore ",0.105512252759898," median_windBearing_3DaysBefore ",0.0509350180057211,0.690946839374821,0.694912286638272,0.694912324315781,0.696501298589796
"t8371","measurement~max_humidity_0DaysBefore + median_windBearing_2DaysBefore + median_TidalProp_14DaysBefore+ median_windSpeed_9DaysBefore + min_windBearing_5DaysBefore ",0.714778552782359,"max_humidity_0DaysBefore ",0.482361888822077," median_windBearing_2DaysBefore ",0.219967139258385," median_TidalProp_14DaysBefore",0.1005184506177," median_windSpeed_9DaysBefore ",0.0143698370803903," min_windBearing_5DaysBefore ",0.0101074704384807,0.584778189263576,0.603574712606548,0.612416832233549,0.714778552782359
