"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ median_dewPoint_1DaysBefore + min_windSpeed_6DaysBefore +min_TidalProp_1DaysBefore + median_windBearing_6DaysBefore + PAR_14DaysBefore",0.475523497570631," median_dewPoint_1DaysBefore ",0.292309689372626," min_windSpeed_6DaysBefore ",0.176510531904388,"min_TidalProp_1DaysBefore ",0.161642657651119," median_windBearing_6DaysBefore ",0.0651095863121007," PAR_14DaysBefore",0.0352806998447141,0.340368094693669,0.416785255866027,0.454527663556558,0.475523497570631
"t10392","measurement~ median_temperature_10DaysBefore+ max_windBearing_2DaysBefore +max_temperature_0DaysBefore + max_humidity_0DaysBefore + min_windBearing_4DaysBefore ",0.533124926266313," median_temperature_10DaysBefore",0.201290562170729," max_windBearing_2DaysBefore ",0.137830850271876,"max_temperature_0DaysBefore ",0.0716493383881688," max_humidity_0DaysBefore ",0.0534422638781102," min_windBearing_4DaysBefore ",0.0357434225562122,0.301875452633507,0.361122198270107,0.444147867166756,0.533124926266313
"t12214","measurement~ median_temperature_8DaysBefore + max_humidity_7DaysBefore + median_TidalProp_1DaysBefore + median_windBearing_8DaysBefore+median_TidalHeight_0DaysBefore ",0.352194113314418," median_temperature_8DaysBefore ",0.190108920264303," max_humidity_7DaysBefore ",0.100266494152751," median_TidalProp_1DaysBefore ",0.0256798510289079," median_windBearing_8DaysBefore",0.00907289209021389,"median_TidalHeight_0DaysBefore ",3.16808529240899e-05,0.272175381384358,0.322881223345855,0.332591409560066,0.352194113314418
"t13307","measurement~ median_dewPoint_11DaysBefore + min_windSpeed_14DaysBefore+ min_windBearing_4DaysBefore +PAR_0DaysBefore + max_windBearing_11DaysBefore ",0.59345978064569," median_dewPoint_11DaysBefore ",0.28257550622573," min_windSpeed_14DaysBefore",0.138429811202987," min_windBearing_4DaysBefore ",0.032062536403598,"PAR_0DaysBefore ",0.0134337298205478," max_windBearing_11DaysBefore ",0.011284338367103,0.362784142098843,0.385174727068013,0.535647904507937,0.59345978064569
"t14585","measurement~median_temperature_5DaysBefore + median_dewPoint_10DaysBefore + range_TidalProp_7DaysBefore + median_humidity_13DaysBefore+ max_humidity_11DaysBefore ",0.518060566658642,"median_temperature_5DaysBefore ",0.244743100619951," median_dewPoint_10DaysBefore ",0.119884792573006," range_TidalProp_7DaysBefore ",0.082401667769094," median_humidity_13DaysBefore",0.080515818240005," max_humidity_11DaysBefore ",3.15151261364792e-06,0.255516283913267,0.351490178303026,0.407024151697794,0.518060566658642
"t3260","measurement~ range_TidalHeight_2DaysBefore + min_humidity_6DaysBefore+ SST_3DaysBefore +max_temperature_0DaysBefore + max_windBearing_2DaysBefore ",0.52920571114175," range_TidalHeight_2DaysBefore ",0.223368149872545," min_humidity_6DaysBefore",0.174041975895112," SST_3DaysBefore ",0.112056617614411,"max_temperature_0DaysBefore ",0.0361155061965302," max_windBearing_2DaysBefore ",0.0208496915390728,0.368627323419058,0.486865788156482,0.508957757713682,0.52920571114175
"t3536","measurement~ max_windBearing_7DaysBefore + median_humidity_12DaysBefore+min_windSpeed_5DaysBefore + PAR_9DaysBefore + max_humidity_10DaysBefore ",0.305972300281483," max_windBearing_7DaysBefore ",0.0594492479999877," median_humidity_12DaysBefore",0.0506145890644592,"min_windSpeed_5DaysBefore ",0.0468011229884262," PAR_9DaysBefore ",0.0335812226428006," max_humidity_10DaysBefore ",0.00330117927285782,0.156807190156881,0.213393624583942,0.233889037785493,0.305972300281483
"t5033","measurement~ min_windSpeed_10DaysBefore + median_temperature_12DaysBefore+ max_temperature_6DaysBefore + median_TidalHeight_7DaysBefore +min_windBearing_0DaysBefore ",0.301999209863969," min_windSpeed_10DaysBefore ",0.122520414974499," median_temperature_12DaysBefore",0.112924196895576," max_temperature_6DaysBefore ",0.0496853984226347," median_TidalHeight_7DaysBefore ",0.0114141658760389,"min_windBearing_0DaysBefore ",0.00013763625567854,0.195614222865659,0.224231548929968,0.260412684035316,0.301999209863969
"t8053","measurement~median_temperature_0DaysBefore + min_windSpeed_6DaysBefore + min_TidalProp_8DaysBefore+ min_TidalProp_0DaysBefore + median_TidalHeight_8DaysBefore ",0.422932447832393,"median_temperature_0DaysBefore ",0.281820593003318," min_windSpeed_6DaysBefore ",0.184797150613137," min_TidalProp_8DaysBefore",0.0291253971661324," min_TidalProp_0DaysBefore ",0.0030740519854381," median_TidalHeight_8DaysBefore ",0.000614175129024029,0.329376954316873,0.354486211318259,0.404215253430856,0.422932447832393
"t8371","measurement~ median_temperature_11DaysBefore+ SST_8DaysBefore + median_TidalHeight_6DaysBefore +min_windBearing_3DaysBefore + max_humidity_4DaysBefore ",0.431207209851413," median_temperature_11DaysBefore",0.196345074225696," SST_8DaysBefore ",0.11818736039129," median_TidalHeight_6DaysBefore ",0.043186009000284,"min_windBearing_3DaysBefore ",0.0229311841649839," max_humidity_4DaysBefore ",0.0139764328240479,0.21878409836604,0.277829951262895,0.318755591815396,0.431207209851413
"t8372","measurement~ max_temperature_5DaysBefore + median_temperature_5DaysBefore + median_temperature_12DaysBefore+max_TidalHeight_4DaysBefore + SST_9DaysBefore ",0.280812061887386," max_temperature_5DaysBefore ",0.0333944105099877," median_temperature_5DaysBefore ",0.00434037978813908," median_temperature_12DaysBefore",0.00403154140457326,"max_TidalHeight_4DaysBefore ",0.00259523892988486," SST_9DaysBefore ",0.00206141342875083,0.174550121055968,0.208395798131332,0.221904098790477,0.280812061887386
