"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ max_temperature_4DaysBefore +max_windSpeed_0DaysBefore + median_windSpeed_1DaysBefore + range_TidalProp_11DaysBefore+ min_windBearing_8DaysBefore ",0.0801616831595195," max_temperature_4DaysBefore ",0.0587962380222488,"max_windSpeed_0DaysBefore ",0.0296153333169508," median_windSpeed_1DaysBefore ",0.0243020694353303," range_TidalProp_11DaysBefore",0.0010749714080895," min_windBearing_8DaysBefore ",0.00105334035143254,0.0706697245406694,0.0706701862142058,0.0793838097511482,0.0801616831595195
"t10392","measurement~ max_windBearing_2DaysBefore + min_humidity_4DaysBefore + SST_13DaysBefore+ median_windBearing_10DaysBefore +max_humidity_1DaysBefore ",0.241767152026801," max_windBearing_2DaysBefore ",0.159650298759766," min_humidity_4DaysBefore ",0.089961868784749," SST_13DaysBefore",0.0786672625547328," median_windBearing_10DaysBefore ",0.0194983135982779,"max_humidity_1DaysBefore ",0.0025837963610424,0.218690187342806,0.228358819769647,0.228381394760209,0.241767152026801
"t12214","measurement~ PAR_10DaysBefore + PAR_12DaysBefore + Photoperiod_13DaysBefore +PAR_5DaysBefore + min_TidalHeight_14DaysBefore",0.0854973567320655," PAR_10DaysBefore ",0.0657185494583881," PAR_12DaysBefore ",0.0150870666086614," Photoperiod_13DaysBefore ",0.0039976072815733,"PAR_5DaysBefore ",0.000722710364803954," min_TidalHeight_14DaysBefore",0.000316595938662465,0.0674045908419103,0.0728766925426319,0.085040441247631,0.0854973567320654
"t13307","measurement~ max_windSpeed_10DaysBefore + max_temperature_5DaysBefore + Photoperiod_14DaysBefore+ max_windBearing_12DaysBefore +median_temperature_0DaysBefore ",0.296290152697633," max_windSpeed_10DaysBefore ",0.147558431204221," max_temperature_5DaysBefore ",0.118159812460896," Photoperiod_14DaysBefore",0.0307670626249023," max_windBearing_12DaysBefore ",0.0113170348042548,"median_temperature_0DaysBefore ",0.00201685883447753,0.221826628376288,0.225044769950952,0.225565829363608,0.296290152697633
"t14585","measurement~ median_TidalHeight_1DaysBefore + max_temperature_3DaysBefore + min_temperature_4DaysBefore + SST_9DaysBefore+PAR_1DaysBefore ",0.209067539111357," median_TidalHeight_1DaysBefore ",0.106929943823505," max_temperature_3DaysBefore ",0.102706310373221," min_temperature_4DaysBefore ",0.0320123910285864," SST_9DaysBefore",0.0231832699329852,"PAR_1DaysBefore ",0.00353401706947181,0.186473436521362,0.187422957764166,0.206833796484764,0.209067539111357
"t3260","measurement~ median_humidity_10DaysBefore + max_dewPoint_12DaysBefore+ median_temperature_1DaysBefore + PAR_11DaysBefore +min_windSpeed_0DaysBefore ",0.278875296345138," median_humidity_10DaysBefore ",0.250384246381679," max_dewPoint_12DaysBefore",0.188304181382251," median_temperature_1DaysBefore ",0.12011445065587," PAR_11DaysBefore ",0.05149857298762,"min_windSpeed_0DaysBefore ",0.0502108548915149,0.257276319083567,0.264546805260635,0.278294610479982,0.278875296345138
"t3536","measurement~ min_humidity_9DaysBefore + max_windSpeed_14DaysBefore+ median_windSpeed_10DaysBefore + min_TidalProp_13DaysBefore +max_windBearing_5DaysBefore ",0.14275445213302," min_humidity_9DaysBefore ",0.0798131224553175," max_windSpeed_14DaysBefore",0.0765381571859967," median_windSpeed_10DaysBefore ",0.0364524637209019," min_TidalProp_13DaysBefore ",0.0152721961852767,"max_windBearing_5DaysBefore ",0.0059368623262274,0.123891868018332,0.13815553798619,0.141108939924706,0.14275445213302
"t5033","measurement~ max_windSpeed_10DaysBefore+ max_windSpeed_0DaysBefore + median_temperature_6DaysBefore + median_TidalProp_3DaysBefore +median_temperature_0DaysBefore ",0.17195712513878," max_windSpeed_10DaysBefore",0.0940202252290659," max_windSpeed_0DaysBefore ",0.0834699122584843," median_temperature_6DaysBefore ",0.0354237961155409," median_TidalProp_3DaysBefore ",0.00480824581097377,"median_temperature_0DaysBefore ",0.000285834534566609,0.114664600313919,0.1245876627574,0.135970814269785,0.17195712513878
"t8053","measurement~ max_temperature_4DaysBefore + median_TidalHeight_13DaysBefore +max_temperature_1DaysBefore + median_humidity_13DaysBefore+ max_windSpeed_6DaysBefore ",0.150780369216192," max_temperature_4DaysBefore ",0.0869792062296501," median_TidalHeight_13DaysBefore ",0.0360024154673776,"max_temperature_1DaysBefore ",0.013879455345192," median_humidity_13DaysBefore",0.0108431483847854," max_windSpeed_6DaysBefore ",0.00969381401873299,0.121279578251483,0.136346862807023,0.137090308286884,0.150780369216192
"t8371","measurement~ median_temperature_11DaysBefore + min_windBearing_9DaysBefore + max_windSpeed_13DaysBefore +median_temperature_6DaysBefore + max_windSpeed_14DaysBefore",0.357557691011479," median_temperature_11DaysBefore ",0.215059103049383," min_windBearing_9DaysBefore ",0.0340740609192767," max_windSpeed_13DaysBefore ",0.0271579503610102,"median_temperature_6DaysBefore ",0.0127918195018079," max_windSpeed_14DaysBefore",2.52722409237052e-07,0.312347320529485,0.313325785872444,0.334563386981717,0.357557691011479
"t8372","measurement~ median_temperature_10DaysBefore +min_windBearing_6DaysBefore + median_windBearing_10DaysBefore+ max_windSpeed_9DaysBefore + min_TidalHeight_7DaysBefore ",0.351647081168284," median_temperature_10DaysBefore ",0.250594264575768,"min_windBearing_6DaysBefore ",0.0428240779285441," median_windBearing_10DaysBefore",0.0207875288602324," max_windSpeed_9DaysBefore ",0.00198534850325995," min_TidalHeight_7DaysBefore ",0.00104685813021531,0.260724528585441,0.279366111671697,0.280882944423877,0.351647081168284
