"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ PAR_5DaysBefore + Photoperiod_14DaysBefore+median_humidity_0DaysBefore + max_windBearing_12DaysBefore + max_windBearing_6DaysBefore ",0.211470420635714," PAR_5DaysBefore ",0.14451881796479," Photoperiod_14DaysBefore",0.0712369345844202,"median_humidity_0DaysBefore ",0.0106817725303965," max_windBearing_12DaysBefore ",0.00516784007203954," max_windBearing_6DaysBefore ",1.08649308407636e-05,0.188463679745518,0.190211298669965,0.206955994875124,0.211470420635714
"t10392","measurement~median_windSpeed_1DaysBefore + max_windSpeed_9DaysBefore + median_windBearing_6DaysBefore + min_windSpeed_11DaysBefore+ median_windSpeed_2DaysBefore ",0.266208399252461,"median_windSpeed_1DaysBefore ",0.123699931571065," max_windSpeed_9DaysBefore ",0.103813307261244," median_windBearing_6DaysBefore ",0.0147390955189555," min_windSpeed_11DaysBefore",0.00878957362885885," median_windSpeed_2DaysBefore ",0.00240868766379467,0.159747920778153,0.239171706794433,0.258131054678644,0.266208399252461
"t12214","measurement~ PAR_10DaysBefore +max_windSpeed_1DaysBefore + max_temperature_5DaysBefore + median_temperature_7DaysBefore + max_windBearing_12DaysBefore",0.118301507365679," PAR_10DaysBefore ",0.0871484638226264,"max_windSpeed_1DaysBefore ",0.054341139073033," max_temperature_5DaysBefore ",0.0229696672853985," median_temperature_7DaysBefore ",0.0020883871282048," max_windBearing_12DaysBefore",0.00132273089431879,0.11064886901379,0.112757363559041,0.1130588920101,0.11830150736568
"t13307","measurement~ median_windSpeed_11DaysBefore+ range_TidalHeight_9DaysBefore + max_humidity_9DaysBefore +PAR_8DaysBefore + min_dewPoint_11DaysBefore ",0.16248600456746," median_windSpeed_11DaysBefore",0.0854797299389977," range_TidalHeight_9DaysBefore ",0.0241042084026193," max_humidity_9DaysBefore ",0.0231679756277245,"PAR_8DaysBefore ",0.0176050275962118," min_dewPoint_11DaysBefore ",0.00882100086220391,0.125427376658748,0.143237035268247,0.143496880271121,0.16248600456746
"t14585","measurement~ SST_13DaysBefore + median_dewPoint_4DaysBefore + min_dewPoint_10DaysBefore +min_humidity_2DaysBefore + min_windBearing_14DaysBefore",0.211768852408083," SST_13DaysBefore ",0.100940895139865," median_dewPoint_4DaysBefore ",0.0920622775065333," min_dewPoint_10DaysBefore ",0.0668055955324412,"min_humidity_2DaysBefore ",0.0115801580983028," min_windBearing_14DaysBefore",0.000997141085106823,0.105797987854074,0.105880797935419,0.204288334559708,0.211768852408083
"t3260","measurement~ median_temperature_6DaysBefore +median_windBearing_0DaysBefore + max_temperature_9DaysBefore + min_windBearing_3DaysBefore + PAR_10DaysBefore",0.181650826532329," median_temperature_6DaysBefore ",0.114390490451647,"median_windBearing_0DaysBefore ",0.0476028715138694," max_temperature_9DaysBefore ",0.0363569689944559," min_windBearing_3DaysBefore ",0.0222587989360658," PAR_10DaysBefore",0.00311476692966216,0.121675351050157,0.164369671169768,0.168434300337298,0.181650826532329
"t3536","measurement~median_TidalHeight_0DaysBefore + min_windBearing_8DaysBefore + max_windSpeed_12DaysBefore+ PAR_2DaysBefore + max_windBearing_1DaysBefore ",0.684459508183631,"median_TidalHeight_0DaysBefore ",0.295741157800592," min_windBearing_8DaysBefore ",0.234739551773658," max_windSpeed_12DaysBefore",0.145611856069025," PAR_2DaysBefore ",0.0171689218482177," max_windBearing_1DaysBefore ",0.0141526113239028,0.55246709028427,0.603702556040691,0.607143923845681,0.684459508183631
"t5033","measurement~ PAR_5DaysBefore + Photoperiod_13DaysBefore+median_temperature_0DaysBefore + median_windSpeed_12DaysBefore + PAR_4DaysBefore ",0.189178441236179," PAR_5DaysBefore ",0.137108062107564," Photoperiod_13DaysBefore",0.0453383073729822,"median_temperature_0DaysBefore ",0.00522709920273449," median_windSpeed_12DaysBefore ",0.00372112412744732," PAR_4DaysBefore ",6.65052535099595e-05,0.163383694921678,0.169907351154435,0.176295664756472,0.189178441236179
"t8053","measurement~ max_temperature_4DaysBefore + median_windSpeed_9DaysBefore + median_TidalHeight_13DaysBefore +min_temperature_2DaysBefore + max_windBearing_14DaysBefore",0.456963268182779," max_temperature_4DaysBefore ",0.281575848725617," median_windSpeed_9DaysBefore ",0.123852853190773," median_TidalHeight_13DaysBefore ",0.0690747065837092,"min_temperature_2DaysBefore ",0.0661232208307387," max_windBearing_14DaysBefore",0.0505726200998481,0.303997311314857,0.407541945787684,0.409474430637962,0.456963268182779
"t8371","measurement~ max_temperature_10DaysBefore + min_windBearing_7DaysBefore +max_temperature_0DaysBefore + median_TidalHeight_3DaysBefore + median_windBearing_10DaysBefore",0.82318547808013," max_temperature_10DaysBefore ",0.524100678856677," min_windBearing_7DaysBefore ",0.127865931222933,"max_temperature_0DaysBefore ",0.059154924262666," median_TidalHeight_3DaysBefore ",0.00257024097222801," median_windBearing_10DaysBefore",0.00014470052945446,0.656953534254063,0.687984828817841,0.783579972512517,0.82318547808013
"t8372","measurement~ max_temperature_10DaysBefore+ min_windSpeed_9DaysBefore + min_windBearing_7DaysBefore + median_TidalHeight_3DaysBefore +median_TidalHeight_2DaysBefore ",0.553444954026779," max_temperature_10DaysBefore",0.342461467118318," min_windSpeed_9DaysBefore ",0.101878544195586," min_windBearing_7DaysBefore ",0.0852976734721386," median_TidalHeight_3DaysBefore ",0.0025194861152838,"median_TidalHeight_2DaysBefore ",6.22762713002544e-07,0.348978995263539,0.431196847874249,0.519022443082135,0.553444954026779
