"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~SST_0DaysBefore + min_windBearing_2DaysBefore + min_windSpeed_14DaysBefore+ median_dewPoint_6DaysBefore + median_TidalHeight_1DaysBefore ",0.248180443254304,"SST_0DaysBefore ",0.199677744894693," min_windBearing_2DaysBefore ",0.157752538755624," min_windSpeed_14DaysBefore",0.105559913684237," median_dewPoint_6DaysBefore ",0.0784062210190857," median_TidalHeight_1DaysBefore ",0.0570318474842625,0.222393870459883,0.239474232511937,0.240525095815345,0.248180443254304
"t10392","measurement~ SST_13DaysBefore+ median_windSpeed_10DaysBefore + max_windSpeed_1DaysBefore + median_temperature_8DaysBefore +median_temperature_0DaysBefore ",0.763454472687502," SST_13DaysBefore",0.658594977771367," median_windSpeed_10DaysBefore ",0.440558980223866," max_windSpeed_1DaysBefore ",0.151548431927126," median_temperature_8DaysBefore ",0.109838867066047,"median_temperature_0DaysBefore ",0.00179643028176975,0.689601129266342,0.689620096921202,0.755471579601545,0.763454472687502
"t12214","measurement~PAR_4DaysBefore + min_windSpeed_4DaysBefore + max_windSpeed_9DaysBefore+ median_windBearing_4DaysBefore + median_windBearing_7DaysBefore ",0.182218576879476,"PAR_4DaysBefore ",0.172359267806393," min_windSpeed_4DaysBefore ",0.00367931616822164," max_windSpeed_9DaysBefore",0.00101279598762373," median_windBearing_4DaysBefore ",5.42392349658675e-05," median_windBearing_7DaysBefore ",8.04930854247919e-06,0.172425978956946,0.173555867306125,0.176081458941661,0.182218576879476
"t13307","measurement~ max_windSpeed_10DaysBefore + min_windBearing_14DaysBefore+ range_TidalHeight_2DaysBefore +max_humidity_0DaysBefore + min_windBearing_7DaysBefore ",0.699134113097256," max_windSpeed_10DaysBefore ",0.508412473741425," min_windBearing_14DaysBefore",0.449419530849269," range_TidalHeight_2DaysBefore ",0.312554681602745,"max_humidity_0DaysBefore ",0.024965235505701," min_windBearing_7DaysBefore ",0.0108872149794085,0.683214667099325,0.683257016083497,0.696142630267698,0.699134113097256
"t14585","measurement~median_TidalHeight_0DaysBefore + range_TidalProp_6DaysBefore + max_temperature_14DaysBefore+ median_TidalProp_6DaysBefore + max_temperature_11DaysBefore ",0.486726136154184,"median_TidalHeight_0DaysBefore ",0.399470464725817," range_TidalProp_6DaysBefore ",0.175663376497075," max_temperature_14DaysBefore",0.127400429336144," median_TidalProp_6DaysBefore ",0.0636103201339064," max_temperature_11DaysBefore ",0.0625266303840024,0.400174247158059,0.485748820580176,0.485750019385451,0.486726136154184
"t3260","measurement~ min_dewPoint_3DaysBefore + median_temperature_2DaysBefore + max_windBearing_4DaysBefore + min_windSpeed_13DaysBefore+median_windSpeed_1DaysBefore ",0.28150822000467," min_dewPoint_3DaysBefore ",0.22636886188791," median_temperature_2DaysBefore ",0.153956334203434," max_windBearing_4DaysBefore ",0.0762248068203606," min_windSpeed_13DaysBefore",0.0385464924102153,"median_windSpeed_1DaysBefore ",0.0151771430644657,0.274290567444815,0.280006245222741,0.280520454779223,0.28150822000467
"t3536","measurement~ max_windBearing_13DaysBefore+median_windBearing_4DaysBefore + min_windBearing_10DaysBefore + max_TidalProp_7DaysBefore + min_windSpeed_13DaysBefore ",0.261335149586472," max_windBearing_13DaysBefore",0.132662976944006,"median_windBearing_4DaysBefore ",0.0393351585343477," min_windBearing_10DaysBefore ",0.0241150610535408," max_TidalProp_7DaysBefore ",0.00319494402224096," min_windSpeed_13DaysBefore ",0.00126160252032075,0.24403327597953,0.257153121645954,0.257153816838344,0.261335149586473
"t5033","measurement~ max_temperature_6DaysBefore + median_windSpeed_13DaysBefore + max_windSpeed_13DaysBefore+ SST_8DaysBefore +max_temperature_0DaysBefore ",0.236258338972265," max_temperature_6DaysBefore ",0.187862421363806," median_windSpeed_13DaysBefore ",0.124428700354874," max_windSpeed_13DaysBefore",0.0635009983585095," SST_8DaysBefore ",0.0453858525225004,"max_temperature_0DaysBefore ",0.0156175995176755,0.219595013447682,0.228833174529287,0.235195235872018,0.236258338972264
"t8053","measurement~ SST_12DaysBefore + median_temperature_11DaysBefore + min_windBearing_12DaysBefore +min_windSpeed_4DaysBefore + median_temperature_14DaysBefore",0.142889721456204," SST_12DaysBefore ",0.10259101198581," median_temperature_11DaysBefore ",0.0791127967142599," min_windBearing_12DaysBefore ",0.0591597619055138,"min_windSpeed_4DaysBefore ",0.0112690198426036," median_temperature_14DaysBefore",0.0106981135443092,0.104481380647582,0.113369311160208,0.122191310685706,0.142889721456204
"t8371","measurement~ SST_11DaysBefore + median_windBearing_6DaysBefore +range_TidalProp_4DaysBefore + median_TidalHeight_11DaysBefore+ median_temperature_7DaysBefore ",0.500025160932276," SST_11DaysBefore ",0.341029152301276," median_windBearing_6DaysBefore ",0.165611156990389,"range_TidalProp_4DaysBefore ",0.0589077728609629," median_TidalHeight_11DaysBefore",0.00489371476260938," median_temperature_7DaysBefore ",0.0020603373173496,0.451958500696508,0.47606176056229,0.476197971371536,0.500025160932276
