"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ PAR_4DaysBefore + min_temperature_1DaysBefore + median_dewPoint_11DaysBefore+median_TidalProp_0DaysBefore + SST_8DaysBefore ",0.283147350568201," PAR_4DaysBefore ",0.120362491199114," min_temperature_1DaysBefore ",0.0389454633036081," median_dewPoint_11DaysBefore",0.0100802286818435,"median_TidalProp_0DaysBefore ",0.00887193060772791," SST_8DaysBefore ",0.000730513793489418,0.231050705285021,0.268178524408544,0.271715726708314,0.2831473505682
"t10392","measurement~max_windBearing_1DaysBefore + min_dewPoint_14DaysBefore+ max_dewPoint_13DaysBefore + max_windSpeed_13DaysBefore + max_humidity_12DaysBefore ",0.419058495904114,"max_windBearing_1DaysBefore ",0.281423326161238," min_dewPoint_14DaysBefore",0.203523639890437," max_dewPoint_13DaysBefore ",0.171235872455194," max_windSpeed_13DaysBefore ",0.0945411684702007," max_humidity_12DaysBefore ",0.0940500416521749,0.353316144111301,0.353381730357228,0.380660361912429,0.419058495904114
"t12214","measurement~ PAR_4DaysBefore + min_temperature_1DaysBefore + median_dewPoint_11DaysBefore+median_TidalProp_0DaysBefore + SST_8DaysBefore ",0.155750463069751," PAR_4DaysBefore ",0.06620762547441," min_temperature_1DaysBefore ",0.0214226759735896," median_dewPoint_11DaysBefore",0.00554481714872324,"median_TidalProp_0DaysBefore ",0.00488017033429204," SST_8DaysBefore ",0.000401832690245894,0.127093735005889,0.147516582013479,0.14946228588482,0.155750463069751
"t13307","measurement~max_windSpeed_0DaysBefore + median_windSpeed_1DaysBefore + max_windSpeed_9DaysBefore + median_TidalHeight_10DaysBefore+ max_windSpeed_5DaysBefore ",0.586315994438966,"max_windSpeed_0DaysBefore ",0.335968345137138," median_windSpeed_1DaysBefore ",0.253674557751359," max_windSpeed_9DaysBefore ",0.205097822712367," median_TidalHeight_10DaysBefore",0.111257116042936," max_windSpeed_5DaysBefore ",0.0799813709539033,0.472665189588083,0.472867480225636,0.534072436198852,0.586315994438966
"t14585","measurement~median_temperature_3DaysBefore + max_humidity_9DaysBefore + median_humidity_11DaysBefore + min_TidalProp_13DaysBefore+ max_windBearing_4DaysBefore ",0.4908577177063,"median_temperature_3DaysBefore ",0.342173324820288," max_humidity_9DaysBefore ",0.140828646353788," median_humidity_11DaysBefore ",0.0845538384032901," min_TidalProp_13DaysBefore",0.000316181612792451," max_windBearing_4DaysBefore ",3.98505094171924e-05,0.378490422261091,0.379732355475992,0.442615899949236,0.4908577177063
"t3260","measurement~ median_humidity_10DaysBefore + PAR_11DaysBefore+ min_windSpeed_3DaysBefore + PAR_3DaysBefore +max_windBearing_0DaysBefore ",0.763455678460869," median_humidity_10DaysBefore ",0.696237389375059," PAR_11DaysBefore",0.113507976228247," min_windSpeed_3DaysBefore ",0.112509895439298," PAR_3DaysBefore ",0.027241915500682,"max_windBearing_0DaysBefore ",0.0224692559836499,0.743999514825386,0.751071623226391,0.755609705728882,0.763455678460869
"t3536","measurement~ PAR_6DaysBefore + max_windSpeed_10DaysBefore +min_temperature_0DaysBefore + PAR_12DaysBefore+ min_temperature_1DaysBefore ",0.167690790723895," PAR_6DaysBefore ",0.0869341540428477," max_windSpeed_10DaysBefore ",0.0561081526191788,"min_temperature_0DaysBefore ",0.0137224235144639," PAR_12DaysBefore",0.00155865304331432," min_temperature_1DaysBefore ",3.18163103021207e-07,0.129309115874671,0.12976197573567,0.155813189106641,0.167690790723895
"t5033","measurement~ PAR_0DaysBefore + max_temperature_0DaysBefore + min_temperature_0DaysBefore +median_temperature_0DaysBefore + SST_0DaysBefore",0.148454729794446," PAR_0DaysBefore ",0.0753505093163097," max_temperature_0DaysBefore ",0.011545908100336," min_temperature_0DaysBefore ",0.0112640226913769,"median_temperature_0DaysBefore ",0.000618188261620478," SST_0DaysBefore",2.9680426511193e-05,0.0774080601649828,0.0794232782110779,0.0798757647736627,0.148454729794446
"t8053","measurement~ median_TidalHeight_5DaysBefore + min_temperature_12DaysBefore+ median_TidalProp_5DaysBefore +max_dewPoint_0DaysBefore + median_humidity_10DaysBefore ",0.155841326999335," median_TidalHeight_5DaysBefore ",0.0716145609892123," min_temperature_12DaysBefore",0.028520279248011," median_TidalProp_5DaysBefore ",0.026179651146422,"max_dewPoint_0DaysBefore ",0.0204455837201354," median_humidity_10DaysBefore ",0.000587644529544271,0.101517524423732,0.143916493808726,0.143928661798495,0.155841326999335
"t8371","measurement~ max_temperature_10DaysBefore + min_windBearing_10DaysBefore + min_windBearing_7DaysBefore + SST_13DaysBefore+range_TidalProp_1DaysBefore ",0.542651020912085," max_temperature_10DaysBefore ",0.347386984457056," min_windBearing_10DaysBefore ",0.0842189358267469," min_windBearing_7DaysBefore ",0.0710459868097033," SST_13DaysBefore",0.0423190715126244,"range_TidalProp_1DaysBefore ",0.0134464085028278,0.379451377485056,0.426874439199075,0.452561096717219,0.542651020912085
"t8372","measurement~ max_temperature_10DaysBefore+ max_windBearing_4DaysBefore + min_windBearing_7DaysBefore + min_windBearing_6DaysBefore +max_TidalProp_0DaysBefore ",0.530641088020187," max_temperature_10DaysBefore",0.342095900672879," max_windBearing_4DaysBefore ",0.0870881284273781," min_windBearing_7DaysBefore ",0.0672774510537421," min_windBearing_6DaysBefore ",0.0585144179462889,"max_TidalProp_0DaysBefore ",0.0123723984934873,0.347710017355254,0.412968237506598,0.442948588130885,0.530641088020187
