"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ SST_13DaysBefore +min_TidalProp_0DaysBefore + median_windBearing_14DaysBefore+ max_windBearing_10DaysBefore + min_windSpeed_9DaysBefore ",0.286180594667505," SST_13DaysBefore ",0.159361682401885,"min_TidalProp_0DaysBefore ",0.104177153989896," median_windBearing_14DaysBefore",0.00886021166580334," max_windBearing_10DaysBefore ",0.00339727667306843," min_windSpeed_9DaysBefore ",0.000146335951001856,0.224891105912431,0.236554312927398,0.251152706048756,0.286180594667505
"t10392","measurement~ SST_6DaysBefore +max_windBearing_1DaysBefore + PAR_10DaysBefore + PAR_14DaysBefore+ max_TidalProp_5DaysBefore ",0.412757604769134," SST_6DaysBefore ",0.219719861461723,"max_windBearing_1DaysBefore ",0.185913060922167," PAR_10DaysBefore ",0.0132253615563004," PAR_14DaysBefore",0.00233658184367632," max_TidalProp_5DaysBefore ",0.00165859739913796,0.31669505925333,0.343065040707079,0.392066179961042,0.412757604769134
"t12214","measurement~median_dewPoint_2DaysBefore + median_dewPoint_6DaysBefore + median_windSpeed_13DaysBefore + median_TidalProp_12DaysBefore + median_TidalProp_14DaysBefore",0.389079836006237,"median_dewPoint_2DaysBefore ",0.224531122250058," median_dewPoint_6DaysBefore ",0.182740893535338," median_windSpeed_13DaysBefore ",0.0627375001964572," median_TidalProp_12DaysBefore ",0.0157724489813573," median_TidalProp_14DaysBefore",0.00141968345411546,0.224620520046185,0.284557363234841,0.328799247793356,0.389079836006237
"t13307","measurement~ SST_4DaysBefore + min_windSpeed_14DaysBefore+max_dewPoint_3DaysBefore + median_TidalHeight_7DaysBefore + max_windSpeed_14DaysBefore ",0.380653680723036," SST_4DaysBefore ",0.163712404936024," min_windSpeed_14DaysBefore",0.111509134053386,"max_dewPoint_3DaysBefore ",0.066627173209613," median_TidalHeight_7DaysBefore ",0.0320979948543946," max_windSpeed_14DaysBefore ",0.00113144499342484,0.196353849275606,0.280408667867454,0.323495200681847,0.380653680723036
"t14585","measurement~median_temperature_4DaysBefore + SST_9DaysBefore + max_temperature_9DaysBefore + max_humidity_12DaysBefore+ min_TidalProp_8DaysBefore ",0.579025041745584,"median_temperature_4DaysBefore ",0.335369249689648," SST_9DaysBefore ",0.329121244387551," max_temperature_9DaysBefore ",0.171788602021968," max_humidity_12DaysBefore",0.13144170515739," min_TidalProp_8DaysBefore ",0.0294576188068044,0.35051265863518,0.449507174904638,0.495695444022581,0.579025041745584
"t3260","measurement~ max_dewPoint_10DaysBefore+ max_TidalHeight_3DaysBefore + max_dewPoint_7DaysBefore + max_windBearing_4DaysBefore +Photoperiod_0DaysBefore ",0.601238793599167," max_dewPoint_10DaysBefore",0.289156760908651," max_TidalHeight_3DaysBefore ",0.235930503537578," max_dewPoint_7DaysBefore ",0.188441307029923," max_windBearing_4DaysBefore ",0.0241574744370025,"Photoperiod_0DaysBefore ",0.0073121017184232,0.445645758446369,0.44791564531355,0.530309538046034,0.601238793599168
"t3536","measurement~ max_windBearing_14DaysBefore+ median_windSpeed_0DaysBefore + max_TidalProp_0DaysBefore +min_temperature_0DaysBefore + SST_14DaysBefore ",0.0845827565097036," max_windBearing_14DaysBefore",0.0437002982311845," median_windSpeed_0DaysBefore ",0.00537054012974817," max_TidalProp_0DaysBefore ",0.00226150834741597,"min_temperature_0DaysBefore ",0.000213685272068844," SST_14DaysBefore ",9.29136135163436e-05,0.0455413681392601,0.0573915595351628,0.0768175210479538,0.0845827565097034
"t5033","measurement~ max_dewPoint_10DaysBefore + min_windSpeed_14DaysBefore+max_dewPoint_1DaysBefore + median_TidalProp_8DaysBefore + max_windSpeed_10DaysBefore ",0.246336907523553," max_dewPoint_10DaysBefore ",0.0871049712249847," min_windSpeed_14DaysBefore",0.0606952226658034,"max_dewPoint_1DaysBefore ",0.0295565561048102," median_TidalProp_8DaysBefore ",0.0187378693797324," max_windSpeed_10DaysBefore ",0.0010961184615961,0.114073109215548,0.186297719264933,0.221811284112114,0.246336907523553
"t8053","measurement~median_temperature_2DaysBefore + max_windSpeed_13DaysBefore+ median_TidalProp_12DaysBefore + median_TidalProp_13DaysBefore + min_windSpeed_3DaysBefore ",0.630049361037724,"median_temperature_2DaysBefore ",0.336512109504817," max_windSpeed_13DaysBefore",0.152400241107019," median_TidalProp_12DaysBefore ",0.0894889834327071," median_TidalProp_13DaysBefore ",0.0686488373616035," min_windSpeed_3DaysBefore ",0.0158078404174244,0.452481142455324,0.550716368569369,0.586748180724737,0.630049361037724
"t8371","measurement~ median_TidalHeight_6DaysBefore +min_temperature_0DaysBefore + median_dewPoint_0DaysBefore + max_windBearing_4DaysBefore + median_humidity_8DaysBefore",0.431363327956302," median_TidalHeight_6DaysBefore ",0.118242092609548,"min_temperature_0DaysBefore ",0.102678001958222," median_dewPoint_0DaysBefore ",0.0366171985184835," max_windBearing_4DaysBefore ",0.0280661648471741," median_humidity_8DaysBefore",0.00317369167871449,0.232916045907511,0.337083228572476,0.38698626593679,0.431363327956303
