"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~median_temperature_0DaysBefore + max_dewPoint_2DaysBefore + min_dewPoint_2DaysBefore + median_TidalHeight_5DaysBefore+ median_TidalHeight_2DaysBefore ",0.292830226556524,"median_temperature_0DaysBefore ",0.226231127661954," max_dewPoint_2DaysBefore ",0.215959777219472," min_dewPoint_2DaysBefore ",0.210905735651495," median_TidalHeight_5DaysBefore",0.0435554650933907," median_TidalHeight_2DaysBefore ",0.000693600453827968,0.227850876870434,0.230087330855579,0.287906077739172,0.292830226556524
"t10392","measurement~ median_temperature_10DaysBefore +median_dewPoint_0DaysBefore + PAR_1DaysBefore + min_windBearing_0DaysBefore + PAR_12DaysBefore",0.296767411743647," median_temperature_10DaysBefore ",0.143830044853346,"median_dewPoint_0DaysBefore ",0.0623298618521678," PAR_1DaysBefore ",0.0236225368379431," min_windBearing_0DaysBefore ",0.00798739419278997," PAR_12DaysBefore",0.00701469700837577,0.233890048369838,0.270974321110552,0.283447239597266,0.296767411743647
"t12214","measurement~ Photoperiod_14DaysBefore+ Photoperiod_13DaysBefore + min_TidalProp_12DaysBefore +median_windSpeed_2DaysBefore + median_windSpeed_12DaysBefore ",0.313594512621531," Photoperiod_14DaysBefore",0.188638694626614," Photoperiod_13DaysBefore ",0.175069216036977," min_TidalProp_12DaysBefore ",0.0666765539724628,"median_windSpeed_2DaysBefore ",0.0429169423650378," median_windSpeed_12DaysBefore ",0.0188029732392542,0.301331254436761,0.30955073717544,0.312820199841974,0.313594512621531
"t13307","measurement~ max_windBearing_14DaysBefore+ max_temperature_14DaysBefore + min_dewPoint_6DaysBefore +median_TidalHeight_6DaysBefore + min_windBearing_13DaysBefore ",0.355918322015605," max_windBearing_14DaysBefore",0.132778065645996," max_temperature_14DaysBefore ",0.0793042980208094," min_dewPoint_6DaysBefore ",0.0445838479281407,"median_TidalHeight_6DaysBefore ",0.0109874208405168," min_windBearing_13DaysBefore ",0.000182123638418535,0.174229643590259,0.208208770404672,0.318873018249316,0.355918322015605
"t14585","measurement~ SST_12DaysBefore + max_temperature_14DaysBefore+max_temperature_0DaysBefore + min_humidity_0DaysBefore + PAR_0DaysBefore ",0.302651735947532," SST_12DaysBefore ",0.244066013530075," max_temperature_14DaysBefore",0.17006215397318,"max_temperature_0DaysBefore ",0.108744616624481," min_humidity_0DaysBefore ",0.02255877027891," PAR_0DaysBefore ",0.0101526556190292,0.245817690203007,0.274652517124225,0.286623079470679,0.302651735947532
"t3260","measurement~ SST_9DaysBefore+SST_0DaysBefore + median_humidity_5DaysBefore + max_windSpeed_8DaysBefore + max_windBearing_3DaysBefore ",0.342700632548584," SST_9DaysBefore",0.219495037795579,"SST_0DaysBefore ",0.174043899299531," median_humidity_5DaysBefore ",0.0365235545331646," max_windSpeed_8DaysBefore ",0.0312789093226978," max_windBearing_3DaysBefore ",0.0149275291646736,0.247764781466753,0.322490819050497,0.329109082045072,0.342700632548584
"t3536","measurement~ SST_11DaysBefore + min_dewPoint_10DaysBefore + SST_13DaysBefore+ max_temperature_11DaysBefore +median_TidalHeight_0DaysBefore ",0.133107747054648," SST_11DaysBefore ",0.0686051844389002," min_dewPoint_10DaysBefore ",0.0670792427185895," SST_13DaysBefore",0.0497994667149476," max_temperature_11DaysBefore ",0.0350776040419894,"median_TidalHeight_0DaysBefore ",0.00502418708882083,0.0699410643410285,0.0865709965801069,0.125367600800347,0.133107747054647
"t5033","measurement~ median_temperature_10DaysBefore + min_windSpeed_10DaysBefore +min_dewPoint_7DaysBefore + range_TidalProp_13DaysBefore+ median_windBearing_9DaysBefore ",0.226096588862094," median_temperature_10DaysBefore ",0.0736713429245939," min_windSpeed_10DaysBefore ",0.0300441960390217,"min_dewPoint_7DaysBefore ",0.0249374900968131," range_TidalProp_13DaysBefore",0.0233279813159947," median_windBearing_9DaysBefore ",0.011129696392014,0.0736986531632278,0.118609183187131,0.220031949483556,0.226096588862093
"t8053","measurement~median_temperature_0DaysBefore + max_dewPoint_8DaysBefore + median_temperature_12DaysBefore + median_TidalHeight_13DaysBefore+ min_windBearing_3DaysBefore ",0.321547112144923,"median_temperature_0DaysBefore ",0.287502058393907," max_dewPoint_8DaysBefore ",0.285524694152076," median_temperature_12DaysBefore ",0.23576909786377," median_TidalHeight_13DaysBefore",0.0845517933301925," min_windBearing_3DaysBefore ",0.0192536570441125,0.294461605113911,0.294661585744903,0.320088348119273,0.321547112144923
"t8371","measurement~ median_temperature_14DaysBefore+ min_temperature_6DaysBefore + max_dewPoint_8DaysBefore + max_humidity_9DaysBefore +max_windSpeed_4DaysBefore ",0.372121058050429," median_temperature_14DaysBefore",0.162863730906627," min_temperature_6DaysBefore ",0.0768492848726976," max_dewPoint_8DaysBefore ",0.0638427194617101," max_humidity_9DaysBefore ",0.000820385403690603,"max_windSpeed_4DaysBefore ",0.000159786456334997,0.286459527413707,0.316874710958951,0.328467366241671,0.372121058050429
"t8372","measurement~ median_TidalHeight_14DaysBefore +median_TidalHeight_1DaysBefore + min_windSpeed_2DaysBefore + max_windSpeed_11DaysBefore + max_humidity_14DaysBefore",0.122666965458675," median_TidalHeight_14DaysBefore ",0.066244959882159,"median_TidalHeight_1DaysBefore ",0.0582176866399107," min_windSpeed_2DaysBefore ",0.016861008777347," max_windSpeed_11DaysBefore ",0.00144114893632277," max_humidity_14DaysBefore",2.38049302419865e-06,0.0798655044186827,0.0882309598820389,0.112315757591986,0.122666965458675
