"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ PAR_8DaysBefore + median_dewPoint_14DaysBefore +PAR_7DaysBefore + min_humidity_13DaysBefore + min_windBearing_14DaysBefore",0.318138711130822," PAR_8DaysBefore ",0.128012475345836," median_dewPoint_14DaysBefore ",0.126691484451125,"PAR_7DaysBefore ",0.0103859265832644," min_humidity_13DaysBefore ",0.00350064269241525," min_windBearing_14DaysBefore",4.54464499540245e-05,0.161989414798104,0.273944393553432,0.301648833019618,0.318138711130822
"t10392","measurement~ min_windSpeed_2DaysBefore + median_TidalHeight_8DaysBefore+max_dewPoint_1DaysBefore + max_humidity_5DaysBefore + PAR_6DaysBefore ",0.254459793167844," min_windSpeed_2DaysBefore ",0.115200069133408," median_TidalHeight_8DaysBefore",0.0717642075597797,"max_dewPoint_1DaysBefore ",0.042844415175116," max_humidity_5DaysBefore ",0.00358537023649483," PAR_6DaysBefore ",0.00258952386697374,0.166171696288382,0.171511132103173,0.221810731824819,0.254459793167844
"t12214","measurement~ median_dewPoint_5DaysBefore + max_dewPoint_7DaysBefore+ median_windBearing_3DaysBefore +max_humidity_1DaysBefore + max_humidity_4DaysBefore ",0.424807036071471," median_dewPoint_5DaysBefore ",0.219443534609334," max_dewPoint_7DaysBefore",0.109970991568062," median_windBearing_3DaysBefore ",0.0544557509637719,"max_humidity_1DaysBefore ",0.039212998418315," max_humidity_4DaysBefore ",0.0156355506347196,0.313279510931024,0.357095162851562,0.402512420562412,0.424807036071471
"t13307","measurement~ median_temperature_10DaysBefore + max_temperature_14DaysBefore+median_dewPoint_0DaysBefore + max_windSpeed_2DaysBefore + max_TidalProp_8DaysBefore ",0.269711139745023," median_temperature_10DaysBefore ",0.172545325279," max_temperature_14DaysBefore",0.144295280844723,"median_dewPoint_0DaysBefore ",0.0918454723700055," max_windSpeed_2DaysBefore ",0.0517005320646112," max_TidalProp_8DaysBefore ",0.000348212903977956,0.172546713639431,0.242857470315998,0.246595165252411,0.269711139745023
"t14585","measurement~ median_TidalProp_5DaysBefore + median_TidalProp_1DaysBefore + median_windBearing_6DaysBefore+max_TidalProp_1DaysBefore + median_humidity_1DaysBefore ",0.56321028616392," median_TidalProp_5DaysBefore ",0.308653753125805," median_TidalProp_1DaysBefore ",0.0546018042419901," median_windBearing_6DaysBefore",0.00492700533516188,"max_TidalProp_1DaysBefore ",0.00274790407926627," median_humidity_1DaysBefore ",1.20210186384098e-06,0.344312299899495,0.359836972398072,0.524629601176699,0.56321028616392
"t3260","measurement~ max_humidity_5DaysBefore + SST_13DaysBefore+ max_humidity_1DaysBefore +min_temperature_0DaysBefore + max_dewPoint_2DaysBefore ",0.239273578076841," max_humidity_5DaysBefore ",0.116104714404913," SST_13DaysBefore",0.0683551869131341," max_humidity_1DaysBefore ",0.0650498596583832,"min_temperature_0DaysBefore ",0.0352336635509177," max_dewPoint_2DaysBefore ",0.0202355742682548,0.134875134356694,0.170563788457175,0.183871401598919,0.239273578076841
"t3536","measurement~ median_windSpeed_11DaysBefore + PAR_13DaysBefore + max_humidity_13DaysBefore +median_TidalHeight_3DaysBefore + min_windSpeed_13DaysBefore",0.556230558384706," median_windSpeed_11DaysBefore ",0.153701170356674," PAR_13DaysBefore ",0.0943444601402006," max_humidity_13DaysBefore ",0.0349387492165363,"median_TidalHeight_3DaysBefore ",0.0037829136572374," min_windSpeed_13DaysBefore",0.000108367100685431,0.245163620367673,0.467323644896907,0.51848816714484,0.556230558384706
"t5033","measurement~ median_windBearing_10DaysBefore+median_temperature_0DaysBefore + median_windSpeed_9DaysBefore + PAR_10DaysBefore + max_dewPoint_3DaysBefore ",0.192666661354377," median_windBearing_10DaysBefore",0.0424133876818365,"median_temperature_0DaysBefore ",0.0272664580030846," median_windSpeed_9DaysBefore ",0.00992367119591455," PAR_10DaysBefore ",0.00556935712067086," max_dewPoint_3DaysBefore ",0.00435896720389032,0.0691151439726016,0.078300802037997,0.105504877010433,0.192666661354377
"t8053","measurement~ SST_7DaysBefore + SST_6DaysBefore +median_TidalHeight_0DaysBefore + max_windSpeed_11DaysBefore + min_TidalProp_14DaysBefore",0.307817795385812," SST_7DaysBefore ",0.121897372990175," SST_6DaysBefore ",0.121362278736899,"median_TidalHeight_0DaysBefore ",0.101578495075817," max_windSpeed_11DaysBefore ",0.0442514218362219," min_TidalProp_14DaysBefore",0.0220102616894647,0.12298871220208,0.160111413436508,0.23556132154517,0.307817795385812
"t8371","measurement~ max_dewPoint_12DaysBefore+median_TidalProp_0DaysBefore + median_temperature_8DaysBefore + min_humidity_5DaysBefore + max_windBearing_9DaysBefore ",0.406284806204117," max_dewPoint_12DaysBefore",0.116839975811544,"median_TidalProp_0DaysBefore ",0.050132084056208," median_temperature_8DaysBefore ",0.024096331475569," min_humidity_5DaysBefore ",0.0196817162920601," max_windBearing_9DaysBefore ",0.00523182994271382,0.143880310122728,0.279138726308395,0.383411476528733,0.406284806204116
