"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~ SST_3DaysBefore + median_windSpeed_8DaysBefore + max_TidalProp_11DaysBefore + median_TidalHeight_14DaysBefore+median_humidity_1DaysBefore ",0.708754149200268," SST_3DaysBefore ",0.344036658289759," median_windSpeed_8DaysBefore ",0.32894085620423," max_TidalProp_11DaysBefore ",0.0894278514435554," median_TidalHeight_14DaysBefore",0.027984155522317,"median_humidity_1DaysBefore ",0.0135478080919697,0.390137674579102,0.486970065903534,0.587271669464046,0.708754149200268
"t10392","measurement~ SST_13DaysBefore+min_windSpeed_1DaysBefore + min_dewPoint_2DaysBefore + PAR_7DaysBefore + min_windBearing_5DaysBefore ",0.797975055051547," SST_13DaysBefore",0.336286172153891,"min_windSpeed_1DaysBefore ",0.210111878825741," min_dewPoint_2DaysBefore ",0.086503530888598," PAR_7DaysBefore ",0.0198416496772476," min_windBearing_5DaysBefore ",0.0122695721404656,0.47247751713781,0.627900967958565,0.756895680875496,0.797975055051547
"t12214","measurement~ max_dewPoint_1DaysBefore + median_humidity_13DaysBefore+ min_TidalProp_11DaysBefore +median_TidalProp_0DaysBefore + median_humidity_4DaysBefore ",0.412680570150512," max_dewPoint_1DaysBefore ",0.319578484172614," median_humidity_13DaysBefore",0.240103122762165," min_TidalProp_11DaysBefore ",0.123595513433476,"median_TidalProp_0DaysBefore ",0.0526974086900022," median_humidity_4DaysBefore ",0.0198299903027443,0.387816684183366,0.401415366229218,0.404452109456043,0.412680570150512
"t13307","measurement~ SST_9DaysBefore + SST_13DaysBefore+ min_temperature_8DaysBefore +PAR_0DaysBefore + median_TidalHeight_5DaysBefore ",0.790719852036568," SST_9DaysBefore ",0.377158758785491," SST_13DaysBefore",0.352269109276931," min_temperature_8DaysBefore ",0.257876224911294,"PAR_0DaysBefore ",0.0480904307274711," median_TidalHeight_5DaysBefore ",0.041391490292967,0.379171221509081,0.401821982685766,0.566321087784692,0.790719852036568
"t14585","measurement~ median_temperature_13DaysBefore + SST_12DaysBefore + SST_11DaysBefore +min_windSpeed_2DaysBefore + max_windSpeed_13DaysBefore",0.662477008295306," median_temperature_13DaysBefore ",0.420050634639588," SST_12DaysBefore ",0.399712002406705," SST_11DaysBefore ",0.361337082822936,"min_windSpeed_2DaysBefore ",0.0668878722654542," max_windSpeed_13DaysBefore",0.0343447759685374,0.426387504014055,0.466755857288998,0.471281527011452,0.662477008295306
"t3260","measurement~ median_humidity_4DaysBefore + min_humidity_6DaysBefore + SST_3DaysBefore + min_TidalProp_10DaysBefore+median_temperature_0DaysBefore ",0.57795750808254," median_humidity_4DaysBefore ",0.155752657999752," min_humidity_6DaysBefore ",0.138426205461242," SST_3DaysBefore ",0.113280170379393," min_TidalProp_10DaysBefore",0.0919828924647297,"median_temperature_0DaysBefore ",0.0271007900177409,0.363196075482404,0.481752314373396,0.517171026358028,0.57795750808254
"t3536","measurement~ median_TidalProp_5DaysBefore +max_temperature_4DaysBefore + max_dewPoint_5DaysBefore + median_dewPoint_6DaysBefore + median_windBearing_9DaysBefore",0.464502242354207," median_TidalProp_5DaysBefore ",0.316073834809027,"max_temperature_4DaysBefore ",0.0402818363303032," max_dewPoint_5DaysBefore ",0.0284793437473004," median_dewPoint_6DaysBefore ",0.0262773385820159," median_windBearing_9DaysBefore",0.00664255898689399,0.389165850770286,0.432335028048987,0.453664000274302,0.464502242354207
"t5033","measurement~ median_dewPoint_12DaysBefore + median_humidity_2DaysBefore +Photoperiod_0DaysBefore + min_humidity_13DaysBefore+ median_humidity_0DaysBefore ",0.393921484956949," median_dewPoint_12DaysBefore ",0.201651150035041," median_humidity_2DaysBefore ",0.0348011852588852,"Photoperiod_0DaysBefore ",0.0239824328130952," min_humidity_13DaysBefore",0.00970724749851468," median_humidity_0DaysBefore ",0.00111484212701981,0.290677613090215,0.365926503884342,0.371201646008672,0.393921484956949
"t8053","measurement~max_temperature_0DaysBefore + median_windSpeed_8DaysBefore+ median_TidalHeight_0DaysBefore + median_windBearing_2DaysBefore + min_TidalProp_3DaysBefore ",0.465721783770409,"max_temperature_0DaysBefore ",0.329198342946857," median_windSpeed_8DaysBefore",0.276752452266513," median_TidalHeight_0DaysBefore ",0.0780092588736347," median_windBearing_2DaysBefore ",0.0560530655136489," min_TidalProp_3DaysBefore ",0.0347693834642105,0.350905901241195,0.422228343185056,0.441435193352789,0.465721783770409
"t8371","measurement~ PAR_14DaysBefore+min_dewPoint_1DaysBefore + median_windBearing_12DaysBefore + max_humidity_5DaysBefore + min_windSpeed_10DaysBefore ",0.544717529815452," PAR_14DaysBefore",0.342566219465738,"min_dewPoint_1DaysBefore ",0.217248370755624," median_windBearing_12DaysBefore ",0.128717990642708," max_humidity_5DaysBefore ",0.0835644894600015," min_windSpeed_10DaysBefore ",0.047855069863506,0.383209288577966,0.397946349602036,0.425781808721321,0.544717529815452
"t8372","measurement~ median_TidalHeight_14DaysBefore +median_windSpeed_3DaysBefore + median_windSpeed_14DaysBefore + min_windSpeed_5DaysBefore + max_windSpeed_14DaysBefore",0.221121382711837," median_TidalHeight_14DaysBefore ",0.108171857408241,"median_windSpeed_3DaysBefore ",0.0406519279519206," median_windSpeed_14DaysBefore ",0.0107794037880439," min_windSpeed_5DaysBefore ",0.0048755919220713," max_windSpeed_14DaysBefore",0.00474031350406941,0.188838589595678,0.204035231075845,0.214688003059548,0.221121382711837
