"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"t10317","measurement~median_dewPoint_5DaysBefore + Photoperiod_13DaysBefore+ min_windSpeed_10DaysBefore + median_TidalHeight_6DaysBefore + min_windSpeed_9DaysBefore ",0.351436386935446,"median_dewPoint_5DaysBefore ",0.233573906858984," Photoperiod_13DaysBefore",0.142931576687243," min_windSpeed_10DaysBefore ",0.090155729305337," median_TidalHeight_6DaysBefore ",0.0709630528999827," min_windSpeed_9DaysBefore ",0.00859724199221133,0.242925619576343,0.243437614753536,0.321342618794703,0.351436386935446
"t10392","measurement~ min_temperature_10DaysBefore + median_dewPoint_12DaysBefore+ max_windBearing_1DaysBefore +median_dewPoint_0DaysBefore + min_windBearing_8DaysBefore ",0.488674735622411," min_temperature_10DaysBefore ",0.268183592365756," median_dewPoint_12DaysBefore",0.252635842949214," max_windBearing_1DaysBefore ",0.193079772758426,"median_dewPoint_0DaysBefore ",0.124775879392022," min_windBearing_8DaysBefore ",0.00444646070938839,0.271549327996557,0.349294497965387,0.439899229856405,0.488674735622411
"t12214","measurement~ Photoperiod_13DaysBefore+ Photoperiod_12DaysBefore +Photoperiod_1DaysBefore + min_TidalProp_12DaysBefore + median_windSpeed_10DaysBefore ",0.559664963818443," Photoperiod_13DaysBefore",0.391183464307413," Photoperiod_12DaysBefore ",0.370678695844749,"Photoperiod_1DaysBefore ",0.107618829477661," min_TidalProp_12DaysBefore ",0.0902214457896558," median_windSpeed_10DaysBefore ",0.00142220977810048,0.537025854511668,0.545968662950576,0.555614352056352,0.559664963818443
"t13307","measurement~ max_windBearing_14DaysBefore+ max_humidity_2DaysBefore +min_windSpeed_0DaysBefore + median_windSpeed_10DaysBefore + max_humidity_3DaysBefore ",0.570126166747557," max_windBearing_14DaysBefore",0.240459561810464," max_humidity_2DaysBefore ",0.147606773318185,"min_windSpeed_0DaysBefore ",0.0645263376724589," median_windSpeed_10DaysBefore ",0.0355562817570968," max_humidity_3DaysBefore ",0.0118443855688744,0.368409229069553,0.405450142228288,0.440922848483721,0.570126166747557
"t14585","measurement~ SST_14DaysBefore+SST_0DaysBefore + median_dewPoint_0DaysBefore + min_windSpeed_9DaysBefore + max_humidity_3DaysBefore ",0.64644477558534," SST_14DaysBefore",0.472338013493007,"SST_0DaysBefore ",0.443584492136677," median_dewPoint_0DaysBefore ",0.244558959760899," min_windSpeed_9DaysBefore ",0.202067344091744," max_humidity_3DaysBefore ",0.00282168172810323,0.475850491734713,0.615703954537497,0.618800003375733,0.64644477558534
"t3260","measurement~ SST_8DaysBefore + median_temperature_14DaysBefore+median_temperature_1DaysBefore + median_dewPoint_3DaysBefore + median_humidity_5DaysBefore ",0.803902380538684," SST_8DaysBefore ",0.577461071814229," median_temperature_14DaysBefore",0.413040631856603,"median_temperature_1DaysBefore ",0.387665909282575," median_dewPoint_3DaysBefore ",0.35428672528777," median_humidity_5DaysBefore ",0.026338179773722,0.649000050191393,0.668644348620518,0.68860390106009,0.803902380538684
"t3536","measurement~ min_windBearing_10DaysBefore + min_windBearing_13DaysBefore +median_windBearing_1DaysBefore + max_windBearing_5DaysBefore + min_humidity_14DaysBefore",0.16710096147382," min_windBearing_10DaysBefore ",0.0727686018525305," min_windBearing_13DaysBefore ",0.0263545457971139,"median_windBearing_1DaysBefore ",0.0176946350379276," max_windBearing_5DaysBefore ",0.00241684313596843," min_humidity_14DaysBefore",0.00164372293573639,0.121883674561335,0.135559501594764,0.148234201223278,0.16710096147382
"t5033","measurement~median_TidalHeight_8DaysBefore + min_windBearing_10DaysBefore + median_TidalHeight_10DaysBefore + median_TidalProp_11DaysBefore + min_windBearing_13DaysBefore",0.379879472467439,"median_TidalHeight_8DaysBefore ",0.114426439764557," min_windBearing_10DaysBefore ",0.0810619513713484," median_TidalHeight_10DaysBefore ",0.0166060073664413," median_TidalProp_11DaysBefore ",0.0112779320945785," min_windBearing_13DaysBefore",0.00498487709090765,0.185876352353455,0.310112783563792,0.352179940760519,0.37987947246744
"t8053","measurement~ min_dewPoint_6DaysBefore +median_temperature_0DaysBefore + max_dewPoint_13DaysBefore+ min_temperature_5DaysBefore + SST_11DaysBefore ",0.735352072724589," min_dewPoint_6DaysBefore ",0.60390539280679,"median_temperature_0DaysBefore ",0.560621022600081," max_dewPoint_13DaysBefore",0.435182932736243," min_temperature_5DaysBefore ",0.37052453772879," SST_11DaysBefore ",0.320917183908432,0.606019463982088,0.627092420846648,0.693157160632682,0.735352072724589
"t8371","measurement~ max_humidity_3DaysBefore + median_temperature_14DaysBefore+ SST_10DaysBefore +min_dewPoint_2DaysBefore + min_temperature_6DaysBefore ",0.603388008486001," max_humidity_3DaysBefore ",0.166646347240866," median_temperature_14DaysBefore",0.165415132184006," SST_10DaysBefore ",0.0869007651141276,"min_dewPoint_2DaysBefore ",0.067487033433659," min_temperature_6DaysBefore ",0.0650074245982014,0.295118209143571,0.427325806585557,0.539969284043092,0.603388008486001
