ASVid,overall_Formula,overall_R2,T1,T2,T3,T4,T5,file
t10317,measurement~median_temperature_1DaysBefore + median_humidity_2DaysBefore + median_windBearing_3DaysBefore + PAR_1DaysBefore + min_windBearing_9DaysBefore,0.598,temperature,humidity,windBearing,PAR,windBearing,all_N_R
t10317,measurement~ SST_3DaysBefore + median_windSpeed_8DaysBefore + max_TidalProp_11DaysBefore + median_TidalHeight_14DaysBefore+median_humidity_1DaysBefore ,0.709,SST,windSpeed,TidalProp,TidalHeight,humidity,all_W_R
t10392,measurement~ median_temperature_10DaysBefore+ max_windBearing_2DaysBefore +max_temperature_0DaysBefore + max_humidity_0DaysBefore + min_windBearing_4DaysBefore ,0.533,temperature,windBearing,temperature,humidity,windBearing,all_R
t10392,measurement~ SST_13DaysBefore+ median_windSpeed_10DaysBefore + max_windSpeed_1DaysBefore + median_temperature_8DaysBefore +median_temperature_0DaysBefore ,0.763,SST,windSpeed,windSpeed,temperature,temperature,all_S_R
t10392,measurement~ SST_13DaysBefore+min_windSpeed_1DaysBefore + min_dewPoint_2DaysBefore + PAR_7DaysBefore + min_windBearing_5DaysBefore ,0.798,SST,windSpeed,dewPoint,PAR,windBearing,all_W_R
t12214,measurement~min_TidalProp_0DaysBefore + min_windSpeed_5DaysBefore + max_windSpeed_0DaysBefore + median_temperature_10DaysBefore+ min_windBearing_6DaysBefore ,0.522,TidalProp,windSpeed,windSpeed,temperature,windBearing,all_E_V
t12214,measurement~ Photoperiod_13DaysBefore+ Photoperiod_12DaysBefore +Photoperiod_1DaysBefore + min_TidalProp_12DaysBefore + median_windSpeed_10DaysBefore ,0.560,Photoperiod,Photoperiod,Photoperiod,TidalProp,windSpeed,all_W_V
t13307,measurement~ median_dewPoint_11DaysBefore + min_windSpeed_14DaysBefore+ min_windBearing_4DaysBefore +PAR_0DaysBefore + max_windBearing_11DaysBefore ,0.593,dewPoint,windSpeed,windBearing,PAR,windBearing,all_R
t13307,measurement~ max_windSpeed_10DaysBefore + min_windBearing_14DaysBefore+ range_TidalHeight_2DaysBefore +max_humidity_0DaysBefore + min_windBearing_7DaysBefore ,0.699,windSpeed,windBearing,TidalHeight,humidity,windBearing,all_S_R
t13307,measurement~max_windSpeed_0DaysBefore + median_windSpeed_1DaysBefore + max_windSpeed_9DaysBefore + median_TidalHeight_10DaysBefore+ max_windSpeed_5DaysBefore ,0.586,windSpeed,windSpeed,windSpeed,TidalHeight,windSpeed,all_S_V
t13307,measurement~ SST_9DaysBefore + SST_13DaysBefore+ min_temperature_8DaysBefore +PAR_0DaysBefore + median_TidalHeight_5DaysBefore ,0.791,SST,SST,temperature,PAR,TidalHeight,all_W_R
t13307,measurement~ max_windBearing_14DaysBefore+ max_humidity_2DaysBefore +min_windSpeed_0DaysBefore + median_windSpeed_10DaysBefore + max_humidity_3DaysBefore ,0.570,windBearing,humidity,windSpeed,windSpeed,humidity,all_W_V
t14585,measurement~median_temperature_4DaysBefore + max_TidalProp_8DaysBefore + PAR_6DaysBefore + max_humidity_11DaysBefore + median_windBearing_12DaysBefore,0.559,temperature,TidalProp,PAR,humidity,windBearing,all_E_R
t14585,measurement~ median_temperature_4DaysBefore +max_temperature_0DaysBefore + max_temperature_9DaysBefore+ min_windBearing_5DaysBefore + max_windBearing_4DaysBefore ,0.644,temperature,temperature,temperature,windBearing,windBearing,all_E_V
t14585,measurement~min_dewPoint_2DaysBefore + min_windBearing_8DaysBefore + median_humidity_9DaysBefore + median_humidity_10DaysBefore+ median_windBearing_8DaysBefore ,0.537,dewPoint,windBearing,humidity,humidity,windBearing,all_M_H
t14585,measurement~ median_windBearing_12DaysBefore+ min_humidity_4DaysBefore +median_temperature_1DaysBefore + min_windBearing_2DaysBefore + median_windSpeed_9DaysBefore ,0.507,windBearing,humidity,temperature,windBearing,windSpeed,all_M_R
t14585,measurement~ median_TidalHeight_9DaysBefore+ median_windSpeed_3DaysBefore +min_temperature_0DaysBefore + median_temperature_2DaysBefore + min_windBearing_3DaysBefore ,0.597,TidalHeight,windSpeed,temperature,temperature,windBearing,all_N_R
t14585,measurement~median_temperature_5DaysBefore + median_dewPoint_10DaysBefore + range_TidalProp_7DaysBefore + median_humidity_13DaysBefore+ max_humidity_11DaysBefore ,0.518,temperature,dewPoint,TidalProp,humidity,humidity,all_R
t14585,measurement~median_temperature_4DaysBefore + SST_9DaysBefore + max_temperature_9DaysBefore + max_humidity_12DaysBefore+ min_TidalProp_8DaysBefore ,0.579,temperature,SST,temperature,humidity,TidalProp,all_V
t14585,measurement~ median_TidalProp_5DaysBefore + median_TidalProp_1DaysBefore + median_windBearing_6DaysBefore+max_TidalProp_1DaysBefore + median_humidity_1DaysBefore ,0.563,TidalProp,TidalProp,windBearing,TidalProp,humidity,all_W_H
t14585,measurement~ median_temperature_13DaysBefore + SST_12DaysBefore + SST_11DaysBefore +min_windSpeed_2DaysBefore + max_windSpeed_13DaysBefore,0.662,temperature,SST,SST,windSpeed,windSpeed,all_W_R
t14585,measurement~ SST_14DaysBefore+SST_0DaysBefore + median_dewPoint_0DaysBefore + min_windSpeed_9DaysBefore + max_humidity_3DaysBefore ,0.646,SST,SST,dewPoint,windSpeed,humidity,all_W_V
