"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + min_SST_2WeeksBefore + max_PAR_2WeeksBefore ",0.220223135099777," min_PAR_2WeeksBefore ",0.157203948584652," median_windSpeed_2WeeksBefore",0.061479082399698,"median_temperature_2WeeksBefore ",0.0486232823222905," min_SST_2WeeksBefore ",0.0205509508938423," max_PAR_2WeeksBefore ",0.00540558262478134,0.188807446020555,0.191307235747914,0.208942873832467,0.220223135099777
"s10442","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.0792003705068086," max_SST_2WeeksBefore ",0.0357683917142265," min_TidalHeight_2WeeksBefore ",0.00476903980360808,"max_PAR_2WeeksBefore ",0.000789308241349287," median_windSpeed_2WeeksBefore",0.000345115690697843," max_TidalHeight_2WeeksBefore ",0.000122623561625854,0.0384909282847908,0.0493507666405596,0.062699660648598,0.0792003705068084
"s10567","measurement~ max_SST_2WeeksBefore + min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore +max_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0719089020906717," max_SST_2WeeksBefore ",0.0487982202852733," min_PAR_2WeeksBefore ",0.0205354395176556," median_Photoperiod_2WeeksBefore ",0.00942268214513295,"max_PAR_2WeeksBefore ",0.0051974830726861," min_windSpeed_2WeeksBefore",0.0041919187181902,0.0533367416002173,0.0534730517497326,0.0638442959773771,0.0719089020906717
"s10729","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.0601620992063793," max_SST_2WeeksBefore ",0.0303298858340708," min_TidalHeight_2WeeksBefore ",0.00353203289548311,"max_PAR_2WeeksBefore ",0.000893787660535058," median_windSpeed_2WeeksBefore",0.00011336317240231," median_TidalHeight_2WeeksBefore ",6.92932503129338e-06,0.0322544360575343,0.0405952847152744,0.0501580409128716,0.0601620992063793
"s11056","measurement~min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.0863766277145981,"min_PAR_2WeeksBefore ",0.0514347698086587," min_SST_2WeeksBefore ",0.0398776987511834," median_windSpeed_2WeeksBefore ",0.0237515000592959," median_windBearing_2WeeksBefore",0.0045130171207769," min_TidalHeight_2WeeksBefore ",9.13995213151672e-05,0.0616109598267361,0.0703509812187765,0.0827717777913608,0.0863766277145981
"s11350","measurement~ min_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + median_humidity_2WeeksBefore",0.0515468337916987," min_TidalHeight_2WeeksBefore ",0.0230109863465763," min_SST_2WeeksBefore ",0.000357453321099469,"median_temperature_2WeeksBefore ",0.000340102057834405," median_dewPoint_2WeeksBefore ",4.49701522072641e-05," median_humidity_2WeeksBefore",3.01291140191049e-06,0.0230109889307651,0.0230208484285876,0.0235979432919551,0.0515468337916988
"s11798","measurement~min_SST_2WeeksBefore + max_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore ",0.205597588633162,"min_SST_2WeeksBefore ",0.140237133196205," max_dewPoint_2WeeksBefore ",0.087035862324618," median_windSpeed_2WeeksBefore",0.0806095461729998," min_dewPoint_2WeeksBefore ",0.0479724058420464," max_humidity_2WeeksBefore ",0.00617872567224256,0.143821582815638,0.174321350559892,0.179121312174988,0.205597588633161
"s12112","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.00633728642151118," min_temperature_2WeeksBefore ",0.0036765590377029,"median_temperature_2WeeksBefore ",0.00352071496861093," max_temperature_2WeeksBefore ",0.00125103370652005," median_PAR_2WeeksBefore ",0.000706383336541804," max_PAR_2WeeksBefore",0.000281721838168302,0.00368408905772399,0.00596488060251827,0.00604821613001723,0.00633728642151115
"s12754","measurement~ min_SST_2WeeksBefore + max_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore",0.195162472909715," min_SST_2WeeksBefore ",0.135077912140926," max_SST_2WeeksBefore ",0.130950082092969," median_SST_2WeeksBefore ",0.1173301822487,"median_temperature_2WeeksBefore ",0.089189676709321," median_windBearing_2WeeksBefore",0.00210219880993469,0.139306464609854,0.164331711051156,0.182806013338749,0.195162472909715
"s12807","measurement~ median_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore + median_PAR_2WeeksBefore ",0.0828647524289728," median_windBearing_2WeeksBefore",0.0422053043982934,"max_temperature_2WeeksBefore ",0.0152313432084368," max_windSpeed_2WeeksBefore ",0.000500246956477109," median_windSpeed_2WeeksBefore ",0.000112114579533686," median_PAR_2WeeksBefore ",6.17402941667367e-07,0.0587528912014243,0.0588631905676035,0.07123017105151,0.0828647524289727
"s13004","measurement~ min_PAR_2WeeksBefore +max_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore+ max_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.175283702942769," min_PAR_2WeeksBefore ",0.102266528442017,"max_temperature_2WeeksBefore ",0.0975594741168113," median_dewPoint_2WeeksBefore",0.0802405378627051," max_PAR_2WeeksBefore ",0.00914374854152509," median_TidalHeight_2WeeksBefore ",0.000722494717581442,0.126534357581046,0.130534229684922,0.162458626357274,0.175283702942769
"s13398","measurement~ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore+max_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.0445357218863719," max_SST_2WeeksBefore ",0.017934811097414," min_TidalHeight_2WeeksBefore ",0.00274851908664196," median_windSpeed_2WeeksBefore",0.000646684992737621,"max_PAR_2WeeksBefore ",0.000377039682483822," max_TidalHeight_2WeeksBefore ",0.000131891365164091,0.0195740694123116,0.0255842339154489,0.0342064870760394,0.0445357218863719
"s13402","measurement~ max_SST_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_humidity_2WeeksBefore + median_windBearing_2WeeksBefore",0.114491428743155," max_SST_2WeeksBefore ",0.0675277278224505," min_SST_2WeeksBefore ",0.0538611939241032,"median_temperature_2WeeksBefore ",0.0420463108509138," max_humidity_2WeeksBefore ",0.0257540402451385," median_windBearing_2WeeksBefore",0.0019120847809018,0.0676719263643887,0.0823460614856178,0.0844148577838799,0.114491428743155
"s14144","measurement~ min_SST_2WeeksBefore + min_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore+min_PAR_2WeeksBefore + max_humidity_2WeeksBefore ",0.0977016143376507," min_SST_2WeeksBefore ",0.0441124144220644," min_dewPoint_2WeeksBefore ",0.0234366999565209," median_windSpeed_2WeeksBefore",0.0175590091267977,"min_PAR_2WeeksBefore ",0.00107032549256362," max_humidity_2WeeksBefore ",0.000904746595682731,0.044523832155621,0.0531973584564958,0.0782834707025144,0.0977016143376509
"s14145","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.0356349953548413," min_temperature_2WeeksBefore ",0.0308284338305494,"median_temperature_2WeeksBefore ",0.0294143323746871," max_temperature_2WeeksBefore ",0.0211704329353188," median_PAR_2WeeksBefore ",0.0143712961032593," max_PAR_2WeeksBefore",0.00521409275390589,0.0308735660081268,0.0317798433182019,0.0317803868959696,0.0356349953548411
"s14473","measurement~ min_SST_2WeeksBefore + min_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore+min_PAR_2WeeksBefore + max_humidity_2WeeksBefore ",0.113690809052842," min_SST_2WeeksBefore ",0.0451272738828325," min_dewPoint_2WeeksBefore ",0.0243748648188131," median_windSpeed_2WeeksBefore",0.0160463156507074,"min_PAR_2WeeksBefore ",0.00416906228145912," max_humidity_2WeeksBefore ",0.001800157276229,0.0456207957297444,0.0531029603362889,0.0915856340454538,0.113690809052842
"s14477","measurement~min_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore + max_PAR_2WeeksBefore + median_humidity_2WeeksBefore+ min_PAR_2WeeksBefore ",0.0972062964496068,"min_temperature_2WeeksBefore ",0.0468269790062655," median_Photoperiod_2WeeksBefore ",0.00748708526292449," max_PAR_2WeeksBefore ",0.00196726259169744," median_humidity_2WeeksBefore",0.00140450658047722," min_PAR_2WeeksBefore ",5.78339992300799e-06,0.0468948119703415,0.0660510361046237,0.0918472731159405,0.0972062964496068
"s1453","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.0870947616579601," min_PAR_2WeeksBefore ",0.0674167128978563," median_windSpeed_2WeeksBefore ",0.0219100428850918,"median_PAR_2WeeksBefore ",0.0099439114588518," min_TidalHeight_2WeeksBefore ",0.00238647402073434," median_windBearing_2WeeksBefore",0.000371830101522173,0.0777826529308771,0.0792195504076004,0.0822339233317856,0.0870947616579601
"s14550","measurement~ max_windBearing_2WeeksBefore+ median_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + median_SST_2WeeksBefore + max_PAR_2WeeksBefore ",0.0566471639608153," max_windBearing_2WeeksBefore",0.0193002106258018," median_TidalHeight_2WeeksBefore ",0.0147715453374225,"max_temperature_2WeeksBefore ",0.00766252465348754," median_SST_2WeeksBefore ",0.00248850442690988," max_PAR_2WeeksBefore ",0.000763554785582151,0.0328476511403439,0.0335583160996061,0.0410494252956217,0.0566471639608155
"s14677","measurement~ max_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore+median_PAR_2WeeksBefore + min_SST_2WeeksBefore + max_SST_2WeeksBefore ",0.225774583891782," max_TidalHeight_2WeeksBefore ",0.0677457642981954," min_windSpeed_2WeeksBefore",0.0160035428558503,"median_PAR_2WeeksBefore ",0.0155970342219853," min_SST_2WeeksBefore ",0.0103969308530726," max_SST_2WeeksBefore ",0.00265686143685422,0.0954398072369288,0.160391865859424,0.161945725838493,0.225774583891782
"s14679","measurement~min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore + max_humidity_2WeeksBefore + max_windBearing_2WeeksBefore",0.196163700463253,"min_SST_2WeeksBefore ",0.115673881429403," median_windSpeed_2WeeksBefore ",0.0538980701331674," min_humidity_2WeeksBefore ",0.0302439732890056," max_humidity_2WeeksBefore ",0.00121228900635998," max_windBearing_2WeeksBefore",0.000861117584488005,0.135329574740468,0.164303622703657,0.179844688539967,0.196163700463254
"s14799","measurement~ max_PAR_2WeeksBefore+ min_temperature_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_PAR_2WeeksBefore ",0.0680694452144032," max_PAR_2WeeksBefore",0.0615793861139936," min_temperature_2WeeksBefore ",0.0249664371538414," max_temperature_2WeeksBefore ",0.0249616714627252,"median_temperature_2WeeksBefore ",0.0244303765952418," median_PAR_2WeeksBefore ",0.021408397312521,0.0616096977255969,0.0623642436421495,0.0626659492956185,0.0680694452144033
"s14883","measurement~ median_SST_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + max_humidity_2WeeksBefore",0.0311936041435903," median_SST_2WeeksBefore ",0.013805730807267," min_temperature_2WeeksBefore ",0.0119646138384835,"median_temperature_2WeeksBefore ",0.00883671756954305," max_temperature_2WeeksBefore ",0.00214419624391896," max_humidity_2WeeksBefore",3.2036253268667e-05,0.0138071138196886,0.023271104654401,0.0293710551274472,0.0311936041435903
"s14966","measurement~ median_windSpeed_2WeeksBefore + max_windBearing_2WeeksBefore + median_humidity_2WeeksBefore + min_windBearing_2WeeksBefore+max_PAR_2WeeksBefore ",0.0574712904097635," median_windSpeed_2WeeksBefore ",0.0232023418045923," max_windBearing_2WeeksBefore ",0.0116987214257728," median_humidity_2WeeksBefore ",0.00253662179498764," min_windBearing_2WeeksBefore",0.000954460294025179,"max_PAR_2WeeksBefore ",0.000738850433649416,0.0345722530733238,0.0475297004724886,0.052581690662198,0.0574712904097633
