"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.324449932529855,"min_PAR_2WeeksBefore ",0.193955761132135," max_windSpeed_2WeeksBefore ",0.157480522010815," min_windSpeed_2WeeksBefore ",0.0244997393376197," median_TidalHeight_2WeeksBefore ",0.0120003210295526," median_windBearing_2WeeksBefore",0.00181229478264623,0.255500249110078,0.281984904234949,0.287342310596485,0.324449932529855
"s10442","measurement~ max_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore+ median_SST_2WeeksBefore +median_PAR_2WeeksBefore ",0.0719752151572548," max_SST_2WeeksBefore ",0.0228801485022293," median_TidalHeight_2WeeksBefore ",0.0202821719498764," median_windBearing_2WeeksBefore",0.0173650134141711," median_SST_2WeeksBefore ",0.0145089261242132,"median_PAR_2WeeksBefore ",0.00280167635119748,0.0276792489326106,0.0419488767242672,0.0705053996622417,0.0719752151572547
"s10567","measurement~ min_PAR_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_TidalHeight_2WeeksBefore",0.159546393684592," min_PAR_2WeeksBefore ",0.113762974994685," median_SST_2WeeksBefore ",0.0974083946887505,"median_temperature_2WeeksBefore ",0.0866765834458963," min_TidalHeight_2WeeksBefore ",0.0194734449454467," max_TidalHeight_2WeeksBefore",0.00598379696330982,0.1271457514512,0.146173143412581,0.152910510727187,0.159546393684592
"s10729","measurement~ max_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore + max_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore",0.0267767693582353," max_windSpeed_2WeeksBefore ",0.00650884489890872," min_humidity_2WeeksBefore ",0.00339336573347239," max_dewPoint_2WeeksBefore ",0.00292109509372566,"median_temperature_2WeeksBefore ",0.00228871732260453," min_windBearing_2WeeksBefore",4.748291480297e-07,0.0067353926217133,0.0123570643768764,0.0136138423374739,0.0267767693582353
"s11056","measurement~ min_SST_2WeeksBefore +max_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore ",0.132519715859024," min_SST_2WeeksBefore ",0.0554355101012792,"max_temperature_2WeeksBefore ",0.05299237352379," median_windSpeed_2WeeksBefore",0.0293926515357522," min_dewPoint_2WeeksBefore ",0.00749639350994002," max_humidity_2WeeksBefore ",0.00425462606408303,0.0609220583084699,0.0723717143171318,0.0754662759150057,0.132519715859025
"s11350","measurement~ min_humidity_2WeeksBefore+ max_TidalHeight_2WeeksBefore + min_SST_2WeeksBefore + median_humidity_2WeeksBefore +median_temperature_2WeeksBefore ",0.146845486043065," min_humidity_2WeeksBefore",0.0138619530299459," max_TidalHeight_2WeeksBefore ",0.00836156469146969," min_SST_2WeeksBefore ",0.00643028876963219," median_humidity_2WeeksBefore ",0.00143610607514419,"median_temperature_2WeeksBefore ",7.28527587908168e-05,0.0149589979738514,0.0309852053959787,0.0582008083239808,0.146845486043065
"s11798","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore + max_dewPoint_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.170756311985322,"min_PAR_2WeeksBefore ",0.138022427707133," max_windSpeed_2WeeksBefore",0.0656016859685619," median_windSpeed_2WeeksBefore ",0.064704186397354," max_dewPoint_2WeeksBefore ",0.0503272350232408," max_TidalHeight_2WeeksBefore ",8.23541336430741e-05,0.15346363027667,0.166893051887687,0.169087382902,0.170756311985322
"s12112","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.0811894954728038,"min_PAR_2WeeksBefore ",0.0485800825301179," max_windSpeed_2WeeksBefore ",0.0397487019792548," min_windSpeed_2WeeksBefore ",0.00580292264188196," median_TidalHeight_2WeeksBefore ",0.00293252106159962," median_windBearing_2WeeksBefore",0.000279623543417211,0.0642012582052531,0.0713105361967438,0.0726187607187352,0.0811894954728038
"s12754","measurement~ max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_PAR_2WeeksBefore",0.039306383198816," max_temperature_2WeeksBefore ",0.030060191521077," median_PAR_2WeeksBefore ",0.0238656980669885," min_temperature_2WeeksBefore ",0.0223299313888897,"median_temperature_2WeeksBefore ",0.0215393549990771," max_PAR_2WeeksBefore",0.0158469973990207,0.0310884545871181,0.0311334176988772,0.0393026543016789,0.039306383198816
"s12807","measurement~ median_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore +max_temperature_2WeeksBefore + min_humidity_2WeeksBefore + max_SST_2WeeksBefore ",0.118762762569914," median_windBearing_2WeeksBefore",0.041454958111576," min_TidalHeight_2WeeksBefore ",0.0183644123728602,"max_temperature_2WeeksBefore ",0.0107322729054434," min_humidity_2WeeksBefore ",0.00732750339932334," max_SST_2WeeksBefore ",0.00107469921210514,0.046600144456417,0.0577549390066682,0.0635307733807022,0.118762762569914
