"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ max_windSpeed_2WeeksBefore+ median_humidity_2WeeksBefore +max_temperature_2WeeksBefore + min_SST_2WeeksBefore + min_humidity_2WeeksBefore ",0.232045017985103," max_windSpeed_2WeeksBefore",0.131654209625046," median_humidity_2WeeksBefore ",0.100241166291443,"max_temperature_2WeeksBefore ",0.0339146108769639," min_SST_2WeeksBefore ",0.0224178275934322," min_humidity_2WeeksBefore ",0.00912672263618441,0.140465809918449,0.150604000186034,0.16423880026346,0.232045017985103
"s10442","measurement~ max_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore+ median_SST_2WeeksBefore +median_PAR_2WeeksBefore ",0.216307250891316," max_SST_2WeeksBefore ",0.0670300117291658," median_TidalHeight_2WeeksBefore ",0.0573682409835138," median_windBearing_2WeeksBefore",0.0514085513306402," median_SST_2WeeksBefore ",0.0420237634207632,"median_PAR_2WeeksBefore ",0.00850310200903979,0.0796096778473664,0.122957183609716,0.210937450298483,0.216307250891316
"s10567","measurement~ median_SST_2WeeksBefore + min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore + max_TidalHeight_2WeeksBefore",0.303952204854542," median_SST_2WeeksBefore ",0.20609288536804," min_PAR_2WeeksBefore ",0.18969665702682,"median_temperature_2WeeksBefore ",0.16495274381246," min_TidalHeight_2WeeksBefore ",0.0363510782330799," max_TidalHeight_2WeeksBefore",0.0105790380703373,0.235602689076176,0.273730085292945,0.291827115169589,0.303952204854542
"s10729","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11056","measurement~ max_dewPoint_2WeeksBefore + median_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore+ median_TidalHeight_2WeeksBefore +min_SST_2WeeksBefore ",0.113600986794045," max_dewPoint_2WeeksBefore ",0.0143326261301889," median_windSpeed_2WeeksBefore ",0.00543220920359952," min_windBearing_2WeeksBefore",0.00140919451074704," median_TidalHeight_2WeeksBefore ",0.00071596484211274,"min_SST_2WeeksBefore ",0.000668621884333015,0.0180619625953961,0.0212588720881684,0.0257093203717359,0.113600986794045
"s11350","measurement~ min_humidity_2WeeksBefore+ min_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_dewPoint_2WeeksBefore +min_temperature_2WeeksBefore ",0.11493572188617," min_humidity_2WeeksBefore",0.0071284296759272," min_SST_2WeeksBefore ",0.00433291776640488," max_TidalHeight_2WeeksBefore ",0.00284678182122081," median_dewPoint_2WeeksBefore ",0.00124741108314349,"min_temperature_2WeeksBefore ",1.33003180363241e-05,0.0172301181254893,0.0186410283113917,0.0933656652692776,0.11493572188617
"s11798","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_dewPoint_2WeeksBefore +median_PAR_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.522408170760846," min_PAR_2WeeksBefore ",0.426270927371316," median_windSpeed_2WeeksBefore",0.202176792642081," max_dewPoint_2WeeksBefore ",0.162658408868592,"median_PAR_2WeeksBefore ",0.120891345449407," max_TidalHeight_2WeeksBefore ",0.000133385596792103,0.510969659442727,0.516863365947469,0.517849860556771,0.522408170760846
"s12112","measurement~ max_windSpeed_2WeeksBefore+ median_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + max_humidity_2WeeksBefore +min_dewPoint_2WeeksBefore ",0.116511194842035," max_windSpeed_2WeeksBefore",0.0638528738055673," median_humidity_2WeeksBefore ",0.0483316933215927," median_windSpeed_2WeeksBefore ",0.0433630568605466," max_humidity_2WeeksBefore ",0.00446825677498786,"min_dewPoint_2WeeksBefore ",0.000828839183695844,0.0680110621486329,0.0685815436600988,0.0688033944012334,0.116511194842035
"s12754","measurement~median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore + max_windBearing_2WeeksBefore + min_dewPoint_2WeeksBefore + min_windBearing_2WeeksBefore",0.103355863367368,"median_TidalHeight_2WeeksBefore ",0.0205963902120202," median_windBearing_2WeeksBefore ",0.0175468035346503," max_windBearing_2WeeksBefore ",0.00213494098534418," min_dewPoint_2WeeksBefore ",0.00199171922424844," min_windBearing_2WeeksBefore",0.0016051087044918,0.036993295063311,0.0494509877591852,0.0637885156052104,0.103355863367368
"s12807","measurement~ median_TidalHeight_2WeeksBefore + min_humidity_2WeeksBefore+ min_dewPoint_2WeeksBefore +max_temperature_2WeeksBefore + max_PAR_2WeeksBefore ",0.128517817694824," median_TidalHeight_2WeeksBefore ",0.0527761862358256," min_humidity_2WeeksBefore",0.0096000188780994," min_dewPoint_2WeeksBefore ",0.00352442809326525,"max_temperature_2WeeksBefore ",0.00239368516183378," max_PAR_2WeeksBefore ",0.00117675870199314,0.0534351265255338,0.0856625052161302,0.119252089458274,0.128517817694824
