"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~min_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_windBearing_2WeeksBefore",0.562228361542617,"min_PAR_2WeeksBefore ",0.344463292958557," max_windSpeed_2WeeksBefore ",0.285744911699308," min_windSpeed_2WeeksBefore ",0.0428668510200869," median_TidalHeight_2WeeksBefore ",0.0258563029824524," median_windBearing_2WeeksBefore",0.00206750024076171,0.452720251605232,0.501028231418727,0.509064010869301,0.562228361542617
"s10442","measurement~ min_SST_2WeeksBefore +max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore ",0.0671175970213784," min_SST_2WeeksBefore ",0.0334509288936759,"max_temperature_2WeeksBefore ",0.0258139591087459," min_temperature_2WeeksBefore ",0.0123289739699328," median_windSpeed_2WeeksBefore",0.00210980307070791," max_humidity_2WeeksBefore ",0.00128586364994219,0.0342497128858433,0.0484362177664722,0.050816941483121,0.0671175970213783
"s10567","measurement~ min_PAR_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore ",0.159785335073013," min_PAR_2WeeksBefore ",0.0991296755232864," median_SST_2WeeksBefore ",0.0662419850963382,"median_temperature_2WeeksBefore ",0.06371972056024," median_windBearing_2WeeksBefore",0.00478446973234384," min_humidity_2WeeksBefore ",0.00230209456813775,0.1023684854279,0.11923992007986,0.146243934985583,0.159785335073014
"s10729","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11056","measurement~ median_windSpeed_2WeeksBefore +max_dewPoint_2WeeksBefore + median_windBearing_2WeeksBefore+ min_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore ",0.228249163148417," median_windSpeed_2WeeksBefore ",0.0696475435805134,"max_dewPoint_2WeeksBefore ",0.0616048294755818," median_windBearing_2WeeksBefore",0.0401427869776603," min_dewPoint_2WeeksBefore ",0.00916644753667977," max_humidity_2WeeksBefore ",0.00609612655509341,0.11832912070439,0.19482957047186,0.199268854624952,0.228249163148417
"s11350","measurement~ min_humidity_2WeeksBefore+ median_humidity_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore ",0.199055614758208," min_humidity_2WeeksBefore",0.0207882172556128," median_humidity_2WeeksBefore ",0.00244505972190807," median_Photoperiod_2WeeksBefore ",0.00118845159745095," median_dewPoint_2WeeksBefore ",0.00048742358493999,"median_temperature_2WeeksBefore ",1.23553843263982e-05,0.0851219280212312,0.0950742915639599,0.105819977434596,0.199055614758208
"s11798","measurement~ max_TidalHeight_2WeeksBefore +median_PAR_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore + min_windBearing_2WeeksBefore",0.124035566853114," max_TidalHeight_2WeeksBefore ",0.0497278391508797,"median_PAR_2WeeksBefore ",0.0247051411550423," min_TidalHeight_2WeeksBefore ",0.0179414689918039," median_Photoperiod_2WeeksBefore ",0.0014280404758948," min_windBearing_2WeeksBefore",0.000987732559619252,0.0651577275450478,0.0726992949485947,0.110586609539097,0.124035566853114
"s12112","measurement~min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + max_windSpeed_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore",0.133676867734144,"min_PAR_2WeeksBefore ",0.107610529324576," median_windSpeed_2WeeksBefore ",0.0317286894080177," max_windSpeed_2WeeksBefore ",0.0190228407027416," median_TidalHeight_2WeeksBefore ",0.00768447654126833," min_windBearing_2WeeksBefore",0.00140730621445394,0.11686192583111,0.123808027299563,0.129298430906945,0.133676867734144
"s12754","measurement~ median_windBearing_2WeeksBefore+ min_SST_2WeeksBefore + median_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.166909710513372," median_windBearing_2WeeksBefore",0.0606543551545638," min_SST_2WeeksBefore ",0.0571494329060836," median_PAR_2WeeksBefore ",0.0210832521075764,"median_temperature_2WeeksBefore ",0.0144880827367551," min_TidalHeight_2WeeksBefore ",0.00261710453265385,0.101440585560344,0.129154937241034,0.154270031330143,0.166909710513372
"s12807","measurement~ max_windBearing_2WeeksBefore+max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.159910892876548," max_windBearing_2WeeksBefore",0.0449331578777188,"max_temperature_2WeeksBefore ",0.0227460960416388," median_PAR_2WeeksBefore ",0.00201024591819871," median_windSpeed_2WeeksBefore ",0.000888345708708402," max_windSpeed_2WeeksBefore ",2.27041168361157e-05,0.0651431535790657,0.111462450496136,0.134622441927024,0.159910892876548
"s13004","measurement~ min_PAR_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_SST_2WeeksBefore + max_humidity_2WeeksBefore",0.38129266680791," min_PAR_2WeeksBefore ",0.279009272619727," max_temperature_2WeeksBefore ",0.165556594904032,"median_temperature_2WeeksBefore ",0.153269744193004," median_SST_2WeeksBefore ",0.148174272482574," max_humidity_2WeeksBefore",0.0131676519321377,0.280441423504949,0.326032114910965,0.35946412343722,0.38129266680791
