"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.190907498678564,"median_temperature_2WeeksBefore ",0.0807586871129973," min_windSpeed_2WeeksBefore",0.0623557675821513," median_TidalHeight_2WeeksBefore ",0.0510131269922748," max_windSpeed_2WeeksBefore ",0.0138702298631362," median_windSpeed_2WeeksBefore ",0.00749274380931332,0.133797233799246,0.14867655585871,0.17068943575697,0.190907498678564
"s10442","measurement~ min_windBearing_2WeeksBefore+ max_PAR_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windBearing_2WeeksBefore +min_temperature_2WeeksBefore ",0.115909247961936," min_windBearing_2WeeksBefore",0.0875993576776601," max_PAR_2WeeksBefore ",0.0256194201919035," max_windSpeed_2WeeksBefore ",0.0152931645692337," median_windBearing_2WeeksBefore ",0.0126434095545587,"min_temperature_2WeeksBefore ",0.00197358812647685,0.104117848099993,0.106875150390893,0.108682131247589,0.115909247961935
"s10567","measurement~ median_SST_2WeeksBefore + min_PAR_2WeeksBefore + min_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore",0.0966484887591162," median_SST_2WeeksBefore ",0.0291116049053124," min_PAR_2WeeksBefore ",0.0284583128530446," min_SST_2WeeksBefore ",0.022093310974106,"median_temperature_2WeeksBefore ",0.0142020842852527," median_TidalHeight_2WeeksBefore",0.00166909272164769,0.0404355571065607,0.0469409023979982,0.0676837571169343,0.0966484887591163
"s10729","measurement~ median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.0918933913846781," median_windSpeed_2WeeksBefore",0.0177398198889648," min_PAR_2WeeksBefore ",0.0172779510416259," min_SST_2WeeksBefore ",0.0127550553116063," median_SST_2WeeksBefore ",0.00498643102955498,"median_temperature_2WeeksBefore ",0.000450518287017038,0.0258414883519295,0.0258416187706553,0.0273115139638554,0.0918933913846781
"s11056","measurement~ median_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.136541999747939," median_windBearing_2WeeksBefore",0.0502579493715956,"median_PAR_2WeeksBefore ",0.0185754412204576," min_humidity_2WeeksBefore ",0.00606647593540485," median_windSpeed_2WeeksBefore ",0.00432356821881109," median_Photoperiod_2WeeksBefore ",0.00150309081626717,0.0547614493274797,0.101266382745881,0.1252825993991,0.136541999747939
"s11350","measurement~ min_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.0968765024230744," min_TidalHeight_2WeeksBefore ",0.0361993969488629," min_temperature_2WeeksBefore ",0.00748288217065219,"median_temperature_2WeeksBefore ",0.00720167798111665," median_windSpeed_2WeeksBefore",0.0044797158477274," median_Photoperiod_2WeeksBefore ",0.000272960726993805,0.0390937684180377,0.0582859061450044,0.059329528929616,0.0968765024230743
"s11798","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.0751298313469693," min_PAR_2WeeksBefore ",0.049045097125148,"median_temperature_2WeeksBefore ",0.0362045628492224," max_windSpeed_2WeeksBefore",0.00313618347552294," max_humidity_2WeeksBefore ",0.00279515319410631," median_windSpeed_2WeeksBefore ",5.2273630377174e-08,0.0522233101083012,0.0600171346433323,0.0662690691356593,0.0751298313469692
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~ median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.272811127961342," median_windSpeed_2WeeksBefore",0.0562123663720945," min_PAR_2WeeksBefore ",0.0539799141823128," min_SST_2WeeksBefore ",0.0394363038122846," median_SST_2WeeksBefore ",0.0162596051999702,"median_temperature_2WeeksBefore ",0.00226130742765597,0.0813220809448873,0.0813239148492523,0.0869181721949515,0.272811127961342
"s12807","measurement~ max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore+ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore ",0.048897989134791," max_temperature_2WeeksBefore ",0.0189747911608534," median_PAR_2WeeksBefore ",0.0086619964668361," max_PAR_2WeeksBefore",0.00637611135788024," min_temperature_2WeeksBefore ",0.000253979033210617,"median_temperature_2WeeksBefore ",7.60348246660242e-05,0.0399931643765796,0.0427036166880743,0.0458503582418118,0.0488979891347909
"s13004","measurement~ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore ",0.214534181382448," min_PAR_2WeeksBefore ",0.0694172163255733," min_SST_2WeeksBefore ",0.0597862948545745," median_SST_2WeeksBefore ",0.0317732182958455," median_windSpeed_2WeeksBefore",0.0315832554029081,"median_temperature_2WeeksBefore ",0.0105335160693664,0.0726766288166561,0.0748542732256973,0.0850443329444558,0.214534181382448
"s13398","measurement~ min_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore + min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore +median_temperature_2WeeksBefore ",0.0851378417654854," min_windSpeed_2WeeksBefore",0.0206061544641206," median_SST_2WeeksBefore ",0.00671173127435508," min_PAR_2WeeksBefore ",0.00574395160908159," median_Photoperiod_2WeeksBefore ",0.00123365641254288,"median_temperature_2WeeksBefore ",0.00092529775555694,0.0366530823713263,0.0385979159032075,0.0389685281082045,0.0851378417654854
"s13402","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore +median_Photoperiod_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.135440948026203," median_windBearing_2WeeksBefore",0.0367170039280773," min_humidity_2WeeksBefore ",0.0184735540636954," median_windSpeed_2WeeksBefore ",0.00218862684422882,"median_Photoperiod_2WeeksBefore ",0.000218054191133105," median_dewPoint_2WeeksBefore ",0.000134587466171481,0.105513365002784,0.120062260186042,0.130739417740453,0.135440948026203
"s14144","measurement~ min_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.0451219469318019," min_TidalHeight_2WeeksBefore ",0.0148798638789936," min_temperature_2WeeksBefore ",0.0025972765454473,"median_temperature_2WeeksBefore ",0.00213080282810805," median_windSpeed_2WeeksBefore",0.00165930930228747," median_Photoperiod_2WeeksBefore ",3.29805348667596e-05,0.0157753139975095,0.0257945459000664,0.0259164659298484,0.0451219469318019
"s14145","measurement~ median_windBearing_2WeeksBefore+ median_PAR_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_SST_2WeeksBefore ",0.0482377143642176," median_windBearing_2WeeksBefore",0.0285581787945262," median_PAR_2WeeksBefore ",0.0091505183180071," median_SST_2WeeksBefore ",0.00370390223452186,"median_temperature_2WeeksBefore ",0.00319706914856985," min_SST_2WeeksBefore ",0.00109882124125218,0.0304158707224484,0.0350585351195207,0.046072105518716,0.0482377143642177
"s14473","measurement~ median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.045817993463509," median_windSpeed_2WeeksBefore",0.00884506425836339," min_PAR_2WeeksBefore ",0.00861477670983029," min_SST_2WeeksBefore ",0.00635966343267766," median_SST_2WeeksBefore ",0.00248623171781733,"median_temperature_2WeeksBefore ",0.000224628165515498,0.0128845516152478,0.0128846166419514,0.0136175055618103,0.0458179934635089
"s14477","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.0433872677486164," median_windBearing_2WeeksBefore",0.0157379202840649," min_humidity_2WeeksBefore ",0.00346540500469892,"max_PAR_2WeeksBefore ",0.00248813657436416," median_windSpeed_2WeeksBefore ",0.000643631020041438," median_Photoperiod_2WeeksBefore ",9.30775582824077e-05,0.0345749615700096,0.0361959421297586,0.0404924380783625,0.0433872677486163
"s1453","measurement~median_SST_2WeeksBefore + min_humidity_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore ",0.0372938661967324,"median_SST_2WeeksBefore ",0.0118775534785426," min_humidity_2WeeksBefore ",0.00760615860103736," median_Photoperiod_2WeeksBefore ",0.00412503651905034," median_windSpeed_2WeeksBefore",0.000445487353293131," median_TidalHeight_2WeeksBefore ",1.95454409965377e-06,0.0165138351685483,0.0235700417727122,0.0246146585586008,0.0372938661967325
"s14550","measurement~ median_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + min_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.121489048029108," median_windBearing_2WeeksBefore",0.0384123337108125,"median_PAR_2WeeksBefore ",0.0147492981551234," min_humidity_2WeeksBefore ",0.0144550208769717," min_SST_2WeeksBefore ",0.00346525593624924," max_TidalHeight_2WeeksBefore ",0.000797322078569037,0.0421449121110729,0.103788485616976,0.108277851450073,0.121489048029108
