"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore + max_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.349633826144593,"median_temperature_2WeeksBefore ",0.161363260313143," min_windSpeed_2WeeksBefore",0.111891068583937," median_TidalHeight_2WeeksBefore ",0.0829566695242442," max_windSpeed_2WeeksBefore ",0.0320062002827991," median_windSpeed_2WeeksBefore ",0.0116048573903493,0.242994461009685,0.281953244405954,0.312475332412315,0.349633826144593
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~ min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore +median_temperature_2WeeksBefore ",0.154106355623136," min_PAR_2WeeksBefore ",0.0273441129212517," min_windSpeed_2WeeksBefore",0.0200437389382642," median_SST_2WeeksBefore ",0.0100572880468934," median_Photoperiod_2WeeksBefore ",0.00316091367162127,"median_temperature_2WeeksBefore ",0.00162816009827056,0.0576292640222877,0.0616087230593227,0.0616680815652634,0.154106355623136
"s10729","measurement~ median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.278543354338111," median_windSpeed_2WeeksBefore",0.0776100714038626," min_PAR_2WeeksBefore ",0.059794305121806," min_SST_2WeeksBefore ",0.0424954826292234," median_SST_2WeeksBefore ",0.0157659149989351,"median_temperature_2WeeksBefore ",0.00214355983048376,0.105869744137823,0.107117560559176,0.110739191377204,0.278543354338112
"s11056","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.453021287922746," median_windBearing_2WeeksBefore",0.188118998901407," min_humidity_2WeeksBefore ",0.0330530511488558,"max_PAR_2WeeksBefore ",0.0212297343932894," median_Photoperiod_2WeeksBefore ",0.00881959014358801," median_windSpeed_2WeeksBefore ",0.00741625458252386,0.34586540875879,0.354336490485325,0.36797811327316,0.453021287922746
"s11350","measurement~ min_TidalHeight_2WeeksBefore +min_temperature_2WeeksBefore + median_humidity_2WeeksBefore+ median_Photoperiod_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.184802964070497," min_TidalHeight_2WeeksBefore ",0.0732275040510778,"min_temperature_2WeeksBefore ",0.014815212135514," median_humidity_2WeeksBefore",0.0143032999828537," median_Photoperiod_2WeeksBefore ",0.00125351606622782," median_dewPoint_2WeeksBefore ",0.00010324645581675,0.078355217440213,0.0801557245739766,0.122810788663261,0.184802964070497
"s11798","measurement~ median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.137993955360165," median_windSpeed_2WeeksBefore",0.0384490262000788," min_PAR_2WeeksBefore ",0.029622866757592," min_SST_2WeeksBefore ",0.0210528079080556," median_SST_2WeeksBefore ",0.00781063678846327,"median_temperature_2WeeksBefore ",0.00106194707198278,0.0524492310407563,0.0530674153228943,0.0548616177465046,0.137993955360165
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~ median_windSpeed_2WeeksBefore+ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.380997583366892," median_windSpeed_2WeeksBefore",0.133473205370423," min_PAR_2WeeksBefore ",0.0916915618548868," min_SST_2WeeksBefore ",0.0617976644835857," median_SST_2WeeksBefore ",0.0200033623708442,"median_temperature_2WeeksBefore ",0.00546823547723043,0.174158411825002,0.177810408092434,0.182632982124421,0.380997583366892
"s12807","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.264215304350183," median_windBearing_2WeeksBefore",0.117689479456669," min_humidity_2WeeksBefore ",0.0215151465019263,"max_PAR_2WeeksBefore ",0.0125837528948411," median_windSpeed_2WeeksBefore ",0.003221774141934," median_Photoperiod_2WeeksBefore ",0.00114468090299246,0.21837606990366,0.223268712908919,0.246747977037124,0.264215304350183
"s13004","measurement~ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.318083712096159," min_PAR_2WeeksBefore ",0.145533555821534," min_SST_2WeeksBefore ",0.109238084027074," median_windSpeed_2WeeksBefore",0.0624713471988919," median_SST_2WeeksBefore ",0.0589235985857958,"median_temperature_2WeeksBefore ",0.0319974303996526,0.147058101954615,0.165489298514799,0.176057555615378,0.31808371209616
"s13398","measurement~ min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore + median_Photoperiod_2WeeksBefore +median_temperature_2WeeksBefore ",0.213885711024102," min_PAR_2WeeksBefore ",0.0351117855106378," min_windSpeed_2WeeksBefore",0.0312732125546085," median_SST_2WeeksBefore ",0.0144540142810699," median_Photoperiod_2WeeksBefore ",0.00462433524484229,"median_temperature_2WeeksBefore ",0.00245971017980809,0.0808582184764724,0.0876755839150052,0.0877045077200834,0.213885711024102
"s13402","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +median_PAR_2WeeksBefore + min_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.158466560558719," median_windBearing_2WeeksBefore",0.0634232049155015," min_humidity_2WeeksBefore ",0.0175630001445877,"median_PAR_2WeeksBefore ",0.0170977770257129," min_SST_2WeeksBefore ",0.00586027222034161," max_TidalHeight_2WeeksBefore ",0.000516052154926359,0.131147359973675,0.134857979896547,0.140233723609898,0.158466560558719
"s14144","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
