"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~median_temperature_2WeeksBefore + median_SST_2WeeksBefore + min_windSpeed_2WeeksBefore+ max_windSpeed_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.23931784218959,"median_temperature_2WeeksBefore ",0.0975846230060924," median_SST_2WeeksBefore ",0.0901947065953072," min_windSpeed_2WeeksBefore",0.0821538562870867," max_windSpeed_2WeeksBefore ",0.0151473107862224," median_windSpeed_2WeeksBefore ",0.0111234346199029,0.104770933794827,0.172550941431273,0.214708904929775,0.23931784218959
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~ max_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore +median_Photoperiod_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.153833672479603," max_windBearing_2WeeksBefore",0.0375640968289881," min_windSpeed_2WeeksBefore ",0.0362857808390437," min_humidity_2WeeksBefore ",0.0269120475262127,"median_Photoperiod_2WeeksBefore ",0.000549200580500211," median_windSpeed_2WeeksBefore ",9.20395597123477e-08,0.0453447109803639,0.102881745120155,0.111197281187925,0.153833672479603
"s10729","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11056","measurement~ median_windBearing_2WeeksBefore+median_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + min_humidity_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.124620384121019," median_windBearing_2WeeksBefore",0.0449127790040019,"median_PAR_2WeeksBefore ",0.0215781858368475," median_windSpeed_2WeeksBefore ",0.00640418717803454," min_humidity_2WeeksBefore ",0.00299124276548625," max_TidalHeight_2WeeksBefore ",0.00260301806726107,0.0517509692987066,0.0777681580333912,0.115793292429355,0.124620384121019
"s11350","measurement~ min_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.159612703326891," min_TidalHeight_2WeeksBefore ",0.0582735421535105," min_temperature_2WeeksBefore ",0.0117028185604152,"median_temperature_2WeeksBefore ",0.010999612532564," median_windSpeed_2WeeksBefore",0.00783635122377582," median_Photoperiod_2WeeksBefore ",0.000216760592783184,0.0626431756460578,0.0956098651984422,0.098325542545207,0.159612703326891
"s11798","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~ min_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore+ min_SST_2WeeksBefore + median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.530831100196811," min_PAR_2WeeksBefore ",0.0898919110815464," median_windSpeed_2WeeksBefore",0.0726114560283735," min_SST_2WeeksBefore ",0.072075351324396," median_SST_2WeeksBefore ",0.0373565388681987,"median_temperature_2WeeksBefore ",0.00271005029281277,0.118531656779859,0.119456919866366,0.133499835980677,0.530831100196812
"s12807","measurement~ max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore+ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore ",0.062330357901539," max_temperature_2WeeksBefore ",0.0271380302163898," median_PAR_2WeeksBefore ",0.00950752523581083," max_PAR_2WeeksBefore",0.00758464812065801," min_temperature_2WeeksBefore ",0.000521500885367613,"median_temperature_2WeeksBefore ",4.63636628259455e-05,0.0508242446665789,0.0555683776029492,0.0609509319283151,0.0623303579015389
"s13004","measurement~ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.365897727909893," min_PAR_2WeeksBefore ",0.0856624644186614," min_SST_2WeeksBefore ",0.0673006752256657," median_windSpeed_2WeeksBefore",0.0485890160227494," median_SST_2WeeksBefore ",0.0374225355625758,"median_temperature_2WeeksBefore ",0.00766786168036291,0.0876064506702487,0.100811477681734,0.113745437897499,0.365897727909893
"s13398","measurement~ min_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore + min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore +median_temperature_2WeeksBefore ",0.13369422543407," min_windSpeed_2WeeksBefore",0.0352791874863189," median_SST_2WeeksBefore ",0.0110357799911477," min_PAR_2WeeksBefore ",0.0056639217552327," median_Photoperiod_2WeeksBefore ",0.00130890868170001,"median_temperature_2WeeksBefore ",0.00121824699671675,0.062322074562626,0.0631578898575423,0.0644545440324473,0.13369422543407
"s13402","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore + median_windSpeed_2WeeksBefore + max_dewPoint_2WeeksBefore +median_Photoperiod_2WeeksBefore ",0.267943922626782," median_windBearing_2WeeksBefore",0.0608347376973473," min_humidity_2WeeksBefore ",0.0389406467120378," median_windSpeed_2WeeksBefore ",0.00748429709736075," max_dewPoint_2WeeksBefore ",0.00123137725836678,"median_Photoperiod_2WeeksBefore ",3.16858753158459e-05,0.199479536764986,0.234219403003929,0.235208560063641,0.267943922626783
"s14144","measurement~ min_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.129741071501033," min_TidalHeight_2WeeksBefore ",0.0423012045688317," min_temperature_2WeeksBefore ",0.00724948358303189,"median_temperature_2WeeksBefore ",0.00585109858234448," median_windSpeed_2WeeksBefore",0.00501884545184073," median_Photoperiod_2WeeksBefore ",3.32591955307664e-05,0.0447198577324011,0.0744395070244227,0.0752012070800119,0.129741071501033
"s14145","measurement~ min_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore+median_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.144032276964626," min_humidity_2WeeksBefore ",0.0541180810021714," min_windSpeed_2WeeksBefore",0.00967981336838871,"median_SST_2WeeksBefore ",0.00126938241821431," median_windSpeed_2WeeksBefore ",0.00114360474596419," min_TidalHeight_2WeeksBefore ",0.000664276556799207,0.0608789326256936,0.0724723800618479,0.094996601857312,0.144032276964626
"s14473","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14477","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s1453","measurement~ median_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore +median_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.0819113155324178," median_PAR_2WeeksBefore ",0.0225243806780924," min_windSpeed_2WeeksBefore",0.0203678557729041," median_SST_2WeeksBefore ",0.0150608250079178,"median_temperature_2WeeksBefore ",0.00574451076021362," median_Photoperiod_2WeeksBefore ",0.002513956581793,0.0311589123024924,0.0565043731154162,0.0757474013982514,0.0819113155324178
"s14550","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +median_PAR_2WeeksBefore + min_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore ",0.251590178625931," median_windBearing_2WeeksBefore",0.0658813765117806," min_humidity_2WeeksBefore ",0.0379720230860478,"median_PAR_2WeeksBefore ",0.0342731220110203," min_SST_2WeeksBefore ",0.00512051785479043," max_TidalHeight_2WeeksBefore ",0.0027517648020442,0.206761892391756,0.219211611171372,0.227299158311508,0.251590178625932
"s14677","measurement~ min_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore +min_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.49860549257763," min_SST_2WeeksBefore ",0.216257776813908," min_TidalHeight_2WeeksBefore ",0.186800539218814,"min_temperature_2WeeksBefore ",0.17379030961163," max_windSpeed_2WeeksBefore",0.0715238671321832," median_windSpeed_2WeeksBefore ",0.0278209633375802,0.294497706526024,0.329674381250611,0.350987010539118,0.49860549257763
"s14679","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14799","measurement~min_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + min_SST_2WeeksBefore + max_humidity_2WeeksBefore + max_windSpeed_2WeeksBefore",0.108516274790311,"min_temperature_2WeeksBefore ",0.0127242549909953," max_dewPoint_2WeeksBefore ",0.0115935990661387," min_SST_2WeeksBefore ",0.00941259298477535," max_humidity_2WeeksBefore ",0.00933112055060405," max_windSpeed_2WeeksBefore",0.000422361992962787,0.0403047125905614,0.0633906004308358,0.0814334671068333,0.108516274790311
"s14883","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14966","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14980","measurement~ median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore +max_PAR_2WeeksBefore + median_windSpeed_2WeeksBefore + median_Photoperiod_2WeeksBefore ",0.0658119602005523," median_windBearing_2WeeksBefore",0.0222143607422204," min_humidity_2WeeksBefore ",0.00564563404287056,"max_PAR_2WeeksBefore ",0.00393450191213339," median_windSpeed_2WeeksBefore ",0.00114360474596419," median_Photoperiod_2WeeksBefore ",6.06396279235413e-05,0.0524694413311778,0.0552633155483997,0.0619502435274146,0.0658119602005523
"s14981","measurement~ min_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore +min_temperature_2WeeksBefore + max_SST_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.129346383637985," min_windBearing_2WeeksBefore",0.11053461048047," max_windSpeed_2WeeksBefore ",0.0127024286791917,"min_temperature_2WeeksBefore ",0.00292200313485518," max_SST_2WeeksBefore ",0.00165567439733821," median_dewPoint_2WeeksBefore ",4.26698722904607e-06,0.119852077615169,0.127358769685994,0.127461164485425,0.129346383637985
"s14982","measurement~ min_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_TidalHeight_2WeeksBefore + median_windSpeed_2WeeksBefore ",0.201409269612212," min_PAR_2WeeksBefore ",0.0832409696741697,"median_temperature_2WeeksBefore ",0.0792006487957242," min_windSpeed_2WeeksBefore",0.075830340916302," median_TidalHeight_2WeeksBefore ",0.0554758910570168," median_windSpeed_2WeeksBefore ",0.0082893042833195,0.0970823270925749,0.161208904170736,0.175915983944977,0.201409269612212
"s15114","measurement~ min_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore+median_SST_2WeeksBefore + median_windSpeed_2WeeksBefore + min_TidalHeight_2WeeksBefore ",0.38827532056602," min_humidity_2WeeksBefore ",0.12313900275966," min_windSpeed_2WeeksBefore",0.0412507719551939,"median_SST_2WeeksBefore ",0.00509438991710553," median_windSpeed_2WeeksBefore ",0.00228643771214663," min_TidalHeight_2WeeksBefore ",0.0018150526045261,0.155129870424612,0.193804651884998,0.263377376082159,0.38827532056602
"s16087","measurement~ min_PAR_2WeeksBefore + min_SST_2WeeksBefore + median_windSpeed_2WeeksBefore+ median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.136549294315802," min_PAR_2WeeksBefore ",0.0370794323787879," min_SST_2WeeksBefore ",0.0288661611869522," median_windSpeed_2WeeksBefore",0.0194504266800579," median_SST_2WeeksBefore ",0.013822135711959,"median_temperature_2WeeksBefore ",0.00355498748391307,0.0378480541012074,0.042707970946532,0.0460841235754505,0.136549294315802
