"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore +median_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windBearing_2WeeksBefore ",0.174082912498775," min_PAR_2WeeksBefore ",0.0576107019277977," min_dewPoint_2WeeksBefore ",0.0479845679518704,"median_temperature_2WeeksBefore ",0.0379859078739401," min_windBearing_2WeeksBefore",0.00781554705892042," max_windBearing_2WeeksBefore ",0.000556415252942132,0.0741530062111039,0.0939538398155244,0.172490465447586,0.174082912498775
"s10442","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s10567","measurement~ median_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.141878171875856," median_windSpeed_2WeeksBefore ",0.0661842906970155,"median_PAR_2WeeksBefore ",0.0347343056948712," min_humidity_2WeeksBefore ",0.0270473926431581," max_windBearing_2WeeksBefore",0.00459051112421121," max_TidalHeight_2WeeksBefore ",0.000828487047534053,0.0829291115824159,0.0861830385007475,0.11725234077097,0.141878171875856
"s10729","measurement~ median_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.144359868564995," median_windSpeed_2WeeksBefore ",0.0631895555551824,"median_PAR_2WeeksBefore ",0.0348079207902943," min_humidity_2WeeksBefore ",0.0344842380985876," max_windBearing_2WeeksBefore",0.00612663546927799," max_TidalHeight_2WeeksBefore ",0.000363519999290586,0.0803590071147227,0.080430964545913,0.108832121480187,0.144359868564995
"s11056","measurement~ median_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore + min_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ max_TidalHeight_2WeeksBefore ",0.141878171875856," median_windSpeed_2WeeksBefore ",0.0661842906970155,"median_PAR_2WeeksBefore ",0.0347343056948712," min_humidity_2WeeksBefore ",0.0270473926431581," max_windBearing_2WeeksBefore",0.00459051112421121," max_TidalHeight_2WeeksBefore ",0.000828487047534054,0.0829291115824159,0.0861830385007475,0.11725234077097,0.141878171875856
"s11350","measurement~median_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore + median_dewPoint_2WeeksBefore + min_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.283278477962598,"median_PAR_2WeeksBefore ",0.119672453190916," min_dewPoint_2WeeksBefore ",0.0786122179649002," median_dewPoint_2WeeksBefore ",0.0483353629752633," min_windBearing_2WeeksBefore",0.012804064205122," median_Photoperiod_2WeeksBefore ",0.00493719107329876,0.214863365569935,0.215662413278691,0.282397302417047,0.283278477962598
"s11798","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12112","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12754","measurement~median_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore + median_dewPoint_2WeeksBefore + min_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.357359122503642,"median_PAR_2WeeksBefore ",0.15096820333033," min_dewPoint_2WeeksBefore ",0.0991702350000305," median_dewPoint_2WeeksBefore ",0.0609756273154494," min_windBearing_2WeeksBefore",0.0161524771727516," median_Photoperiod_2WeeksBefore ",0.00622832444694161,0.27105265578414,0.272060663840711,0.356247509217682,0.357359122503642
"s12807","measurement~ max_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+ median_humidity_2WeeksBefore +min_PAR_2WeeksBefore + max_humidity_2WeeksBefore ",0.267534934917394," max_windBearing_2WeeksBefore ",0.193689983873597," min_windBearing_2WeeksBefore",0.0174237642875148," median_humidity_2WeeksBefore ",0.00489321130175647,"min_PAR_2WeeksBefore ",5.41886132860296e-05," max_humidity_2WeeksBefore ",1.90904225022782e-07,0.237578530806244,0.263443468055091,0.264036464378665,0.267534934917394
