"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_windBearing_2WeeksBefore+ median_humidity_2WeeksBefore + max_SST_2WeeksBefore +max_temperature_2WeeksBefore + max_humidity_2WeeksBefore ",0.319829910059681," min_windBearing_2WeeksBefore",0.224455258138802," median_humidity_2WeeksBefore ",0.184440813800502," max_SST_2WeeksBefore ",0.180568257428105,"max_temperature_2WeeksBefore ",0.0268783699203343," max_humidity_2WeeksBefore ",0.0033969852503969,0.272621186332256,0.291623793181971,0.293935086797789,0.319829910059681
"s10442","measurement~ max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.184142696839544," max_PAR_2WeeksBefore ",0.1135133305294," max_windBearing_2WeeksBefore",0.0574705848200357," min_TidalHeight_2WeeksBefore ",0.0389503723490627,"median_temperature_2WeeksBefore ",0.0011853708808027," min_windSpeed_2WeeksBefore ",0.000486078536164464,0.169809714075964,0.172954060990185,0.174017845447746,0.184142696839544
"s10567","measurement~ min_SST_2WeeksBefore + max_windSpeed_2WeeksBefore + min_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + min_temperature_2WeeksBefore ",0.0436423373788783," min_SST_2WeeksBefore ",0.00907535531208135," max_windSpeed_2WeeksBefore ",0.00772435403867099," min_windSpeed_2WeeksBefore",0.00655060405697642,"median_temperature_2WeeksBefore ",0.00536109826365445," min_temperature_2WeeksBefore ",0.000681581873537377,0.0122186271203987,0.0207715461955306,0.0341100800058453,0.0436423373788783
"s10729","measurement~ max_windSpeed_2WeeksBefore + max_humidity_2WeeksBefore +median_SST_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_windBearing_2WeeksBefore",0.164911137146131," max_windSpeed_2WeeksBefore ",0.0339485788311497," max_humidity_2WeeksBefore ",0.0146304182724645,"median_SST_2WeeksBefore ",0.0027609400480181," max_TidalHeight_2WeeksBefore ",0.00275106089411091," min_windBearing_2WeeksBefore",7.87732244013027e-05,0.0445553873875174,0.0586117059477207,0.0758898345871216,0.164911137146131
"s11056","measurement~max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ max_dewPoint_2WeeksBefore + min_temperature_2WeeksBefore + max_PAR_2WeeksBefore ",0.104180815197229,"max_temperature_2WeeksBefore ",0.0336790241721807," median_windBearing_2WeeksBefore",0.0284297675085588," max_dewPoint_2WeeksBefore ",0.00120673217922937," min_temperature_2WeeksBefore ",0.00107377134085672," max_PAR_2WeeksBefore ",0.000552667240699569,0.0649495176967315,0.0655245999275386,0.0717999343248518,0.104180815197229
"s11350","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11798","measurement~min_temperature_2WeeksBefore + median_Photoperiod_2WeeksBefore+ max_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore + median_PAR_2WeeksBefore ",0.22606609700701,"min_temperature_2WeeksBefore ",0.140696002524967," median_Photoperiod_2WeeksBefore",0.0945336463603539," max_SST_2WeeksBefore ",0.0350585578679596," min_TidalHeight_2WeeksBefore ",0.0274882424382703," median_PAR_2WeeksBefore ",5.59855371592168e-05,0.14245626079548,0.142456571012425,0.184201479817333,0.22606609700701
"s12112","measurement~ max_TidalHeight_2WeeksBefore + median_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore ",0.0724692446665378," max_TidalHeight_2WeeksBefore ",0.0383642614582255," median_humidity_2WeeksBefore ",0.00415514201939662," max_windBearing_2WeeksBefore",0.00200360203204916," max_windSpeed_2WeeksBefore ",0.000407047999469076,"median_PAR_2WeeksBefore ",6.06880587177956e-06,0.042416257651196,0.0596599095167482,0.0596942048289668,0.0724692446665376
"s12754","measurement~ median_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + min_dewPoint_2WeeksBefore+ median_SST_2WeeksBefore +median_temperature_2WeeksBefore ",0.215936270738003," median_PAR_2WeeksBefore ",0.0804740181651702," max_dewPoint_2WeeksBefore ",0.0699128135004062," min_dewPoint_2WeeksBefore",0.0685183774603916," median_SST_2WeeksBefore ",0.0175830159807954,"median_temperature_2WeeksBefore ",0.000447657249700947,0.0907386097275155,0.0910280946268224,0.194120132140481,0.215936270738004
"s12807","measurement~ max_humidity_2WeeksBefore +min_temperature_2WeeksBefore + max_PAR_2WeeksBefore + median_windBearing_2WeeksBefore+ median_windSpeed_2WeeksBefore ",0.0885772026088882," max_humidity_2WeeksBefore ",0.0785242283275294,"min_temperature_2WeeksBefore ",0.0361681717699796," max_PAR_2WeeksBefore ",0.0248269557636438," median_windBearing_2WeeksBefore",0.0189761292423933," median_windSpeed_2WeeksBefore ",0.00883288569425464,0.0814754830242549,0.0826298579898005,0.0826989605247518,0.0885772026088881
"s13004","measurement~max_temperature_2WeeksBefore + min_PAR_2WeeksBefore + min_temperature_2WeeksBefore + min_humidity_2WeeksBefore + min_windBearing_2WeeksBefore",0.232818348284949,"max_temperature_2WeeksBefore ",0.090108191160462," min_PAR_2WeeksBefore ",0.0530290489205238," min_temperature_2WeeksBefore ",0.00305280800186841," min_humidity_2WeeksBefore ",0.000299849753830782," min_windBearing_2WeeksBefore",0.000176509693713058,0.0985448033723659,0.113938737840563,0.226825961954013,0.232818348284949
"s13398","measurement~ max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore +median_temperature_2WeeksBefore + min_windSpeed_2WeeksBefore ",0.115012269211944," max_PAR_2WeeksBefore ",0.07007391401543," max_windBearing_2WeeksBefore",0.0358871106892674," min_TidalHeight_2WeeksBefore ",0.0201134130286615,"median_temperature_2WeeksBefore ",0.000475520651839464," min_windSpeed_2WeeksBefore ",1.94120188857363e-05,0.105231986871272,0.109208064655428,0.109985764596554,0.115012269211944
"s13402","measurement~ median_windBearing_2WeeksBefore+min_temperature_2WeeksBefore + min_PAR_2WeeksBefore + max_SST_2WeeksBefore + min_SST_2WeeksBefore ",0.273776223579326," median_windBearing_2WeeksBefore",0.0294233045846316,"min_temperature_2WeeksBefore ",0.0248058575885316," min_PAR_2WeeksBefore ",0.0159839782254436," max_SST_2WeeksBefore ",0.0149495031377035," min_SST_2WeeksBefore ",0.00104501579350034,0.10243114877579,0.168858339436651,0.258313855614838,0.273776223579326
"s14144","measurement~median_SST_2WeeksBefore + min_dewPoint_2WeeksBefore + max_windBearing_2WeeksBefore+ median_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore ",0.197729221878328,"median_SST_2WeeksBefore ",0.11492796853065," min_dewPoint_2WeeksBefore ",0.0651055444173771," max_windBearing_2WeeksBefore",0.0500735446821638," median_humidity_2WeeksBefore ",0.0307413323393668," median_TidalHeight_2WeeksBefore ",0.0301059760307032,0.145901208388121,0.155639446009574,0.159348281170801,0.197729221878328
"s14145","measurement~max_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + median_Photoperiod_2WeeksBefore + median_humidity_2WeeksBefore + min_humidity_2WeeksBefore",0.0713811434795645,"max_PAR_2WeeksBefore ",0.00727571577768773," max_dewPoint_2WeeksBefore ",0.0038319820102334," median_Photoperiod_2WeeksBefore ",0.00299106937794869," median_humidity_2WeeksBefore ",0.00242465665406989," min_humidity_2WeeksBefore",0.00157714785849618,0.0392886347446176,0.058584219364393,0.0627520629792767,0.0713811434795646
"s14473","measurement~ median_Photoperiod_2WeeksBefore +min_temperature_2WeeksBefore + max_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore+ max_PAR_2WeeksBefore ",0.230783572254831," median_Photoperiod_2WeeksBefore ",0.0970259497648905,"min_temperature_2WeeksBefore ",0.0711155362750799," max_dewPoint_2WeeksBefore ",0.0638294750963858," min_humidity_2WeeksBefore",0.0609045923524806," max_PAR_2WeeksBefore ",0.0429387513058362,0.0971578275462025,0.100068199373659,0.138541099613834,0.23078357225483
"s14477","measurement~ median_PAR_2WeeksBefore + max_PAR_2WeeksBefore+ min_temperature_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore ",0.100251873694869," median_PAR_2WeeksBefore ",0.0965205759020881," max_PAR_2WeeksBefore",0.0484127289093745," min_temperature_2WeeksBefore ",0.0267463460907924," max_temperature_2WeeksBefore ",0.0166005346498538,"median_temperature_2WeeksBefore ",0.0118410774012887,0.0989985484386768,0.0997860589424586,0.100019615263958,0.100251873694869
"s1453","measurement~ min_humidity_2WeeksBefore+ median_PAR_2WeeksBefore + max_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore ",0.107103483319291," min_humidity_2WeeksBefore",0.0363352614826279," median_PAR_2WeeksBefore ",0.022399873041615," max_PAR_2WeeksBefore ",0.00731039558916448,"median_temperature_2WeeksBefore ",0.00470552778236134," min_temperature_2WeeksBefore ",0.000136049620621718,0.0369308857116618,0.0412541004894517,0.0872546134194721,0.107103483319291
"s14550","measurement~ median_windBearing_2WeeksBefore+ median_dewPoint_2WeeksBefore +min_SST_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.0866938910952433," median_windBearing_2WeeksBefore",0.0294792041793093," median_dewPoint_2WeeksBefore ",0.0238751993463595,"min_SST_2WeeksBefore ",0.0134814563421383," min_TidalHeight_2WeeksBefore ",0.00679973197118284," min_dewPoint_2WeeksBefore ",0.00537722667584554,0.0377013210504155,0.040915668459728,0.0578489658724673,0.0866938910952436
"s14677","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s14679","measurement~ max_TidalHeight_2WeeksBefore + median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore+ max_SST_2WeeksBefore +median_PAR_2WeeksBefore ",0.269655210445249," max_TidalHeight_2WeeksBefore ",0.186216014172252," median_SST_2WeeksBefore ",0.179951523858805," median_dewPoint_2WeeksBefore",0.111757022662354," max_SST_2WeeksBefore ",0.0949661053654434,"median_PAR_2WeeksBefore ",0.00247530050609746,0.20616797017722,0.220980906717423,0.268430675090678,0.269655210445247
"s14799","measurement~ median_windSpeed_2WeeksBefore+ min_TidalHeight_2WeeksBefore + median_dewPoint_2WeeksBefore + max_SST_2WeeksBefore +min_PAR_2WeeksBefore ",0.0524876078335152," median_windSpeed_2WeeksBefore",0.0115880159514693," min_TidalHeight_2WeeksBefore ",0.00509314895462923," median_dewPoint_2WeeksBefore ",0.00262457759531197," max_SST_2WeeksBefore ",0.00114122612163134,"min_PAR_2WeeksBefore ",0.000508024690127009,0.0149355475748337,0.0159708769764858,0.0192276935583399,0.0524876078335152
"s14883","measurement~median_SST_2WeeksBefore + max_windBearing_2WeeksBefore + min_TidalHeight_2WeeksBefore + min_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore",0.0890392006820001,"median_SST_2WeeksBefore ",0.0427956655161978," max_windBearing_2WeeksBefore ",0.0112009177968868," min_TidalHeight_2WeeksBefore ",0.00494042207822709," min_windSpeed_2WeeksBefore ",0.00049799841564794," min_windBearing_2WeeksBefore",1.27018779417343e-05,0.0474985679047058,0.0670707086628095,0.067267075604858,0.0890392006820005
"s14966","measurement~ max_windBearing_2WeeksBefore+median_temperature_2WeeksBefore + median_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore + max_temperature_2WeeksBefore ",0.0562810267556676," max_windBearing_2WeeksBefore",0.00210250806293619,"median_temperature_2WeeksBefore ",0.0019529258871," median_dewPoint_2WeeksBefore ",0.00175616867302092," max_humidity_2WeeksBefore ",0.0017203652473812," max_temperature_2WeeksBefore ",0.00157026216906652,0.00253059202547863,0.0162506816044456,0.0380266895403917,0.0562810267556677
"s14980","measurement~median_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore + median_SST_2WeeksBefore + min_windSpeed_2WeeksBefore",0.0596301106438263,"median_PAR_2WeeksBefore ",0.0235787643873498," max_dewPoint_2WeeksBefore ",0.00139263856045435," max_humidity_2WeeksBefore ",0.000855165296055743," median_SST_2WeeksBefore ",0.000644542729722468," min_windSpeed_2WeeksBefore",0.000574987803829391,0.0311329422614601,0.0311523844987645,0.0344329582815424,0.0596301106438263
"s14981","measurement~ median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + median_PAR_2WeeksBefore + max_humidity_2WeeksBefore+min_temperature_2WeeksBefore ",0.133701301414818," median_SST_2WeeksBefore ",0.033653304220323," median_dewPoint_2WeeksBefore ",0.0170697816898581," median_PAR_2WeeksBefore ",0.00901301183913421," max_humidity_2WeeksBefore",0.00747586081365134,"min_temperature_2WeeksBefore ",0.00253239069200428,0.0379223787591509,0.0419370316339714,0.0421586063657707,0.133701301414818
"s14982","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s15114","measurement~ median_windBearing_2WeeksBefore+min_SST_2WeeksBefore + median_dewPoint_2WeeksBefore + max_TidalHeight_2WeeksBefore + min_dewPoint_2WeeksBefore ",0.0436299856200491," median_windBearing_2WeeksBefore",0.0207024070955501,"min_SST_2WeeksBefore ",0.0123782141973121," median_dewPoint_2WeeksBefore ",0.0109324445562822," max_TidalHeight_2WeeksBefore ",0.00484035347486486," min_dewPoint_2WeeksBefore ",0.00468171698109263,0.0262914262519231,0.033764974132939,0.0362623149473075,0.0436299856200492
"s16087","measurement~ min_TidalHeight_2WeeksBefore + median_Photoperiod_2WeeksBefore +min_temperature_2WeeksBefore + max_windBearing_2WeeksBefore+ median_windBearing_2WeeksBefore ",0.267787307976145," min_TidalHeight_2WeeksBefore ",0.113324200008732," median_Photoperiod_2WeeksBefore ",0.109332994762506,"min_temperature_2WeeksBefore ",0.0869107994099454," max_windBearing_2WeeksBefore",0.0542435729893392," median_windBearing_2WeeksBefore ",0.000302250779919976,0.132979034931969,0.133693675983465,0.188026537485433,0.267787307976145
"s16093","measurement~ min_dewPoint_2WeeksBefore + median_PAR_2WeeksBefore +max_temperature_2WeeksBefore + min_windBearing_2WeeksBefore+ max_windBearing_2WeeksBefore ",0.150271360997507," min_dewPoint_2WeeksBefore ",0.107570362505752," median_PAR_2WeeksBefore ",0.0238771210074228,"max_temperature_2WeeksBefore ",0.0118835611545601," min_windBearing_2WeeksBefore",0.000181902437965225," max_windBearing_2WeeksBefore ",6.36424394780002e-05,0.115750025599348,0.122249182222239,0.138827595233653,0.150271360997508
