"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ median_windSpeed_2WeeksBefore+median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_humidity_2WeeksBefore ",0.614986170276829," median_windSpeed_2WeeksBefore",0.406107559417061,"median_temperature_2WeeksBefore ",0.197885710408819," min_temperature_2WeeksBefore ",0.189279917679482," median_TidalHeight_2WeeksBefore ",0.184303247745142," max_humidity_2WeeksBefore ",0.00654280108179462,0.592817987833767,0.595487180464573,0.59859317632476,0.614986170276829
"s10442","measurement~ median_windBearing_2WeeksBefore + min_PAR_2WeeksBefore + max_PAR_2WeeksBefore + max_windBearing_2WeeksBefore+median_temperature_2WeeksBefore ",0.177295568516616," median_windBearing_2WeeksBefore ",0.0136439025407679," min_PAR_2WeeksBefore ",0.00996905693084018," max_PAR_2WeeksBefore ",0.00453933485314135," max_windBearing_2WeeksBefore",0.00346506300114619,"median_temperature_2WeeksBefore ",0.000336039827107052,0.0412733699399912,0.0769390885014107,0.0906652953759555,0.177295568516616
"s10567","measurement~max_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ median_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + min_temperature_2WeeksBefore ",0.357026826584485,"max_temperature_2WeeksBefore ",0.17819170101461," median_windBearing_2WeeksBefore",0.0191445100400501," median_PAR_2WeeksBefore ",0.0143777485746078," median_TidalHeight_2WeeksBefore ",0.00251929802541866," min_temperature_2WeeksBefore ",0.00131866595570855,0.214575065080176,0.221697330070714,0.225058453667838,0.357026826584484
"s10729","measurement~ max_PAR_2WeeksBefore+ median_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore ",0.477794232288523," max_PAR_2WeeksBefore",0.329974334904962," median_PAR_2WeeksBefore ",0.253236463966105,"median_temperature_2WeeksBefore ",0.0656838119496229," min_temperature_2WeeksBefore ",0.0636117521377566," max_temperature_2WeeksBefore ",0.04505842596713,0.333601440615392,0.45774919274527,0.468331462993688,0.477794232288523
"s11056","measurement~ max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ min_humidity_2WeeksBefore + max_dewPoint_2WeeksBefore ",0.4448928628239," max_temperature_2WeeksBefore ",0.18478731358179,"median_temperature_2WeeksBefore ",0.123192634053483," median_windBearing_2WeeksBefore",0.0883067385820271," min_humidity_2WeeksBefore ",0.0449530349926516," max_dewPoint_2WeeksBefore ",0.00143128824191925,0.274221067628929,0.323169250113404,0.3430722848169,0.4448928628239
"s11350","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11798","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s12112","measurement~ median_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore +max_temperature_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_dewPoint_2WeeksBefore ",0.22710103559333," median_windSpeed_2WeeksBefore",0.086174004625199," max_humidity_2WeeksBefore ",0.0205626513983703,"max_temperature_2WeeksBefore ",0.0115819664827913," max_TidalHeight_2WeeksBefore ",0.0051923969404333," median_dewPoint_2WeeksBefore ",0.00332902509122563,0.167543117637382,0.167553335685207,0.170376474161662,0.22710103559333
"s12754","measurement~ min_dewPoint_2WeeksBefore + min_humidity_2WeeksBefore+ max_SST_2WeeksBefore +median_temperature_2WeeksBefore + min_PAR_2WeeksBefore ",0.449024898502555," min_dewPoint_2WeeksBefore ",0.351032472687431," min_humidity_2WeeksBefore",0.304705561484708," max_SST_2WeeksBefore ",0.247820455535905,"median_temperature_2WeeksBefore ",0.0388269584958213," min_PAR_2WeeksBefore ",0.0266668379546372,0.351755227705407,0.351904944573962,0.361211878641094,0.449024898502554
"s12807","measurement~ max_TidalHeight_2WeeksBefore + max_temperature_2WeeksBefore +median_temperature_2WeeksBefore + median_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore ",0.0955402639123458," max_TidalHeight_2WeeksBefore ",0.0298950047583976," max_temperature_2WeeksBefore ",0.0191287903158506,"median_temperature_2WeeksBefore ",0.00954577521115545," median_windBearing_2WeeksBefore",0.00183593051034387," min_windSpeed_2WeeksBefore ",0.00134781762191508,0.0322501199733363,0.0630922575467958,0.069203003726293,0.0955402639123458
