"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~ min_windBearing_2WeeksBefore+ min_PAR_2WeeksBefore + min_dewPoint_2WeeksBefore + max_humidity_2WeeksBefore +max_PAR_2WeeksBefore ",0.580482596918008," min_windBearing_2WeeksBefore",0.411741850748968," min_PAR_2WeeksBefore ",0.309072863334936," min_dewPoint_2WeeksBefore ",0.24264535668675," max_humidity_2WeeksBefore ",0.0139253633054334,"max_PAR_2WeeksBefore ",0.00669978431323274,0.492020258023741,0.528382589067953,0.557347427089311,0.580482596918008
"s10442","measurement~max_temperature_2WeeksBefore + median_humidity_2WeeksBefore + min_windSpeed_2WeeksBefore + min_windBearing_2WeeksBefore+ median_SST_2WeeksBefore ",0.122863051676868,"max_temperature_2WeeksBefore ",0.0188089406309882," median_humidity_2WeeksBefore ",0.0146172512969451," min_windSpeed_2WeeksBefore ",0.00539996056981701," min_windBearing_2WeeksBefore",0.000788970050084957," median_SST_2WeeksBefore ",0.00036186752635363,0.0726822020317495,0.079234992726723,0.108993093956743,0.122863051676868
"s10567","measurement~ max_PAR_2WeeksBefore+ median_PAR_2WeeksBefore +median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_temperature_2WeeksBefore ",0.0651060546293346," max_PAR_2WeeksBefore",0.0522950196188152," median_PAR_2WeeksBefore ",0.0115111984468183,"median_temperature_2WeeksBefore ",0.0110842227935927," min_temperature_2WeeksBefore ",0.0045840015704103," max_temperature_2WeeksBefore ",0.000610917280619116,0.0632332055599859,0.0637799774693117,0.0643198842745761,0.0651060546293347
"s10729","measurement~ max_windSpeed_2WeeksBefore + max_TidalHeight_2WeeksBefore + median_SST_2WeeksBefore +min_temperature_2WeeksBefore + min_windBearing_2WeeksBefore",0.268321622780863," max_windSpeed_2WeeksBefore ",0.0530632999285203," max_TidalHeight_2WeeksBefore ",0.00231534617315538," median_SST_2WeeksBefore ",0.00174067718519118,"min_temperature_2WeeksBefore ",0.000491594990639374," min_windBearing_2WeeksBefore",0.000294092256150373,0.0558022693316046,0.0800905586203762,0.146710096496297,0.268321622780863
"s11056","measurement~ median_windBearing_2WeeksBefore+ median_TidalHeight_2WeeksBefore +min_temperature_2WeeksBefore + max_SST_2WeeksBefore + min_PAR_2WeeksBefore ",0.184226254932015," median_windBearing_2WeeksBefore",0.0559923151150564," median_TidalHeight_2WeeksBefore ",0.0204692587682661,"min_temperature_2WeeksBefore ",0.000947049772080059," max_SST_2WeeksBefore ",0.000150187941870802," min_PAR_2WeeksBefore ",8.37271681184891e-05,0.081263469547682,0.148036083065084,0.1507466271541,0.184226254932013
"s11350","measurement~median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",NA,"median_temperature_2WeeksBefore ",NA," max_temperature_2WeeksBefore ",NA," min_temperature_2WeeksBefore ",NA," median_PAR_2WeeksBefore ",NA," max_PAR_2WeeksBefore",NA,NA,NA,NA,NA
"s11798","measurement~median_SST_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore + min_windBearing_2WeeksBefore+ min_TidalHeight_2WeeksBefore ",0.154033761524566,"median_SST_2WeeksBefore ",0.0370315439001001," median_TidalHeight_2WeeksBefore ",0.0251407753239776," max_windBearing_2WeeksBefore ",0.0179077453478927," min_windBearing_2WeeksBefore",0.000286778107217092," min_TidalHeight_2WeeksBefore ",6.02625971250697e-05,0.0383491303705305,0.046224963501115,0.0481346427641867,0.154033761524566
"s12112","measurement~ max_TidalHeight_2WeeksBefore + median_humidity_2WeeksBefore + max_windBearing_2WeeksBefore+ max_windSpeed_2WeeksBefore +median_PAR_2WeeksBefore ",0.145972496742815," max_TidalHeight_2WeeksBefore ",0.0800822231932761," median_humidity_2WeeksBefore ",0.00938991108619439," max_windBearing_2WeeksBefore",0.00680435210084322," max_windSpeed_2WeeksBefore ",0.000561031977060728,"median_PAR_2WeeksBefore ",6.78552551927481e-05,0.0885380502079609,0.125186659637706,0.125211914599568,0.145972496742816
"s12754","measurement~median_PAR_2WeeksBefore + max_PAR_2WeeksBefore + max_SST_2WeeksBefore + min_PAR_2WeeksBefore + median_Photoperiod_2WeeksBefore",0.443730272796947,"median_PAR_2WeeksBefore ",0.228095277449379," max_PAR_2WeeksBefore ",0.173566749847942," max_SST_2WeeksBefore ",0.146012025666078," min_PAR_2WeeksBefore ",0.0647011795995184," median_Photoperiod_2WeeksBefore",0.0104334499416292,0.234508063076009,0.257095993789656,0.257651958649322,0.443730272796947
"s12807","measurement~median_temperature_2WeeksBefore + min_temperature_2WeeksBefore + max_PAR_2WeeksBefore+ median_PAR_2WeeksBefore + max_temperature_2WeeksBefore ",0.161873028669443,"median_temperature_2WeeksBefore ",0.109462716458203," min_temperature_2WeeksBefore ",0.0857782566767074," max_PAR_2WeeksBefore",0.0760821902847797," median_PAR_2WeeksBefore ",0.06498231249351," max_temperature_2WeeksBefore ",0.0168039955030728,0.111057864725842,0.127705535037759,0.159726569334049,0.161873028669443
