"ASVid","overall_Formula","overall_R2","T1","T1_R2","T2","T2_R2","T3","T3_R2","T4","T4_R2","T5","T5_R2","T1:T2_R2","T1:T3_R2","T1:T4_R2","T1:T5_R2"
"s10303","measurement~min_PAR_2WeeksBefore + median_TidalHeight_2WeeksBefore + median_dewPoint_2WeeksBefore + median_SST_2WeeksBefore + min_dewPoint_2WeeksBefore",0.179729606985643,"min_PAR_2WeeksBefore ",0.0825339921408604," median_TidalHeight_2WeeksBefore ",0.0664315149974144," median_dewPoint_2WeeksBefore ",0.00515780805701337," median_SST_2WeeksBefore ",0.00380030732168941," min_dewPoint_2WeeksBefore",0.00107145938186513,0.125526697772996,0.125637132962121,0.149033457588075,0.179729606985643
"s10442","measurement~max_temperature_2WeeksBefore + min_PAR_2WeeksBefore + max_dewPoint_2WeeksBefore + median_PAR_2WeeksBefore + min_windBearing_2WeeksBefore",0.0933075738983296,"max_temperature_2WeeksBefore ",0.0249009487408294," min_PAR_2WeeksBefore ",0.0180122808318176," max_dewPoint_2WeeksBefore ",0.0155247493228988," median_PAR_2WeeksBefore ",0.00222784299105967," min_windBearing_2WeeksBefore",3.65238149705798e-05,0.0307405377924207,0.0363797868693965,0.0818211529431448,0.0933075738983296
"s10567","measurement~max_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_humidity_2WeeksBefore + median_TidalHeight_2WeeksBefore + max_PAR_2WeeksBefore ",0.0757353166416757,"max_temperature_2WeeksBefore ",0.0270020196635615," max_windSpeed_2WeeksBefore",0.00883014355803169," max_humidity_2WeeksBefore ",0.00701345331307636," median_TidalHeight_2WeeksBefore ",0.00342807771433799," max_PAR_2WeeksBefore ",0.00117254317514413,0.0281271937031794,0.0286738238199997,0.029537788855139,0.0757353166416757
"s10729","measurement~ max_temperature_2WeeksBefore + max_SST_2WeeksBefore +median_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore+ max_PAR_2WeeksBefore ",0.166382708875349," max_temperature_2WeeksBefore ",0.0449072240616383," max_SST_2WeeksBefore ",0.041222148458425,"median_temperature_2WeeksBefore ",0.0372222708100982," max_windSpeed_2WeeksBefore",0.0215403121563638," max_PAR_2WeeksBefore ",0.00225914714462241,0.045271930617796,0.0514735647261935,0.0530650030051389,0.166382708875349
"s11056","measurement~ max_humidity_2WeeksBefore + min_humidity_2WeeksBefore+ median_Photoperiod_2WeeksBefore + max_TidalHeight_2WeeksBefore +min_PAR_2WeeksBefore ",0.187877566569815," max_humidity_2WeeksBefore ",0.121186615320013," min_humidity_2WeeksBefore",0.0388595403535395," median_Photoperiod_2WeeksBefore ",0.0155086669438346," max_TidalHeight_2WeeksBefore ",0.00595486626318606,"min_PAR_2WeeksBefore ",0.000662612886030521,0.143356476571055,0.144703371966091,0.160425736372628,0.187877566569815
"s11350","measurement~ median_PAR_2WeeksBefore + max_PAR_2WeeksBefore+median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + min_temperature_2WeeksBefore ",0.0258815486522894," median_PAR_2WeeksBefore ",0.00698108060855348," max_PAR_2WeeksBefore",0.00240884220544843,"median_temperature_2WeeksBefore ",0.000270028374373634," max_temperature_2WeeksBefore ",0.000117003172411944," min_temperature_2WeeksBefore ",1.05219510142512e-05,0.00924986846172131,0.0129582237853803,0.0228390623781536,0.0258815486522894
"s11798","measurement~ median_SST_2WeeksBefore + median_dewPoint_2WeeksBefore +min_PAR_2WeeksBefore + min_windSpeed_2WeeksBefore+ median_humidity_2WeeksBefore ",0.0966885483067921," median_SST_2WeeksBefore ",0.0163660511453537," median_dewPoint_2WeeksBefore ",0.0105410064604255,"min_PAR_2WeeksBefore ",0.00765336924696537," min_windSpeed_2WeeksBefore",0.00618289877300614," median_humidity_2WeeksBefore ",0.000255962888586967,0.0246381132777901,0.0291173874558986,0.0511049718104419,0.0966885483067925
"s12112","measurement~ min_humidity_2WeeksBefore +max_TidalHeight_2WeeksBefore + max_windBearing_2WeeksBefore+ min_windSpeed_2WeeksBefore + max_windSpeed_2WeeksBefore ",0.079820154752424," min_humidity_2WeeksBefore ",0.0175141829908375,"max_TidalHeight_2WeeksBefore ",0.0103974663167708," max_windBearing_2WeeksBefore",0.00163826249585526," min_windSpeed_2WeeksBefore ",0.00154024896189394," max_windSpeed_2WeeksBefore ",0.00134757270691759,0.0344324310588568,0.0357599477678916,0.0544925289185518,0.0798201547524236
"s12754","measurement~ min_temperature_2WeeksBefore +median_temperature_2WeeksBefore + max_temperature_2WeeksBefore + median_PAR_2WeeksBefore + max_PAR_2WeeksBefore",0.371909512930682," min_temperature_2WeeksBefore ",0.250069302688738,"median_temperature_2WeeksBefore ",0.237419651540007," max_temperature_2WeeksBefore ",0.211982178987688," median_PAR_2WeeksBefore ",0.0532230914528259," max_PAR_2WeeksBefore",0.0191884411352275,0.250097118040985,0.250497034573249,0.310105578922831,0.371909512930682
"s12807","measurement~max_temperature_2WeeksBefore + max_windSpeed_2WeeksBefore + median_humidity_2WeeksBefore + min_windBearing_2WeeksBefore+ median_Photoperiod_2WeeksBefore ",0.383834442913294,"max_temperature_2WeeksBefore ",0.179631421883437," max_windSpeed_2WeeksBefore ",0.110318962163067," median_humidity_2WeeksBefore ",0.0924097367366109," min_windBearing_2WeeksBefore",0.0891879673909545," median_Photoperiod_2WeeksBefore ",3.48389749975406e-06,0.181380755660363,0.263386638681629,0.328524230760294,0.383834442913294
