Date,Amorosa,Beau,Bodo,Cad,Hali,Lew,Mine,Oban,Newp,SCH,Sid,Green,Uum,Viana,WH,Torr,Lima,Tagus
1-06-2015,13.625,30.789999,7.975,21.045,14.634999,18.095,10.815,8.55,14.24,12.025,10.815,2.0149999,0.875,13.625,14.24,14.69,13.625,20.06
2-06-2015,13.804999,25.76,7.515,21.96,16.609999,22.404999,13.03,8.785,20.98,13.299999,12.29,-0.65,0.615,13.82,21.035,14.36,13.82,20.92
3-06-2015,14.969999,26.019999,8.08,20.195,4,28.805,13.575,9.425,13.155,8.264999,12.325,-0.21499999,0.52,14.255,14.235,14.849999,14.255,21.904999
4-06-2015,15.5,27.349998,7.66,20.765,5.37,21.939999,13.605,10.215,13.585,8.44,12.865,1.26,0.545,15.5,14.245,14.875,15.5,16.164999
5-06-2015,13.389999,25.26,8.07,18.72,4.47,22.51,13.74,9.95,12.155,8.45,11.7699995,0.089999996,0.9,13.605,14.23,14.299999,13.605,22.93
6-06-2015,12.59,25.904999,6.705,17.295,6.02,21.605,13.53,9.33,15.54,6.2,12.5,1.375,3.09,12.59,7.8999996,15.445,12.59,15.755
7-06-2015,17.46,25.765,7.665,18.05,7.705,16.01,14.405,9.2699995,13.53,5.105,14.45,0.39,0.405,15.679999,13.724999,16.645,15.679999,14.5199995
8-06-2015,15.155,26.224998,8.005,19.015,7.96,17.14,14.34,9.9,13.775,6.3199997,12.965,1.23,1.0649999,15.155,12.014999,16.39,15.155,22.74
9-06-2015,16.904999,24.755,7.825,20.445,9.46,18.285,13.469999,10.075,13.7,11.035,13.245,0.39,-0.28,17.32,15.105,17.685,17.32,18.445
10-06-2015,15.235,26.91,7.805,20.39,14.2699995,19.09,14.115,10.764999,16.119999,9.41,12.575,1.7049999,1.9599999,15.235,17.24,16.005,15.235,16.425
11-06-2015,16.26,26.33,7.0249996,19.359999,10.594999,20.949999,13.384999,10.5199995,15.639999,14.37,11.275,0.715,2.975,15.815,9.84,15.32,15.815,18.525
12-06-2015,15.799999,29.269999,7.49,21.115,9.099999,19.71,11.8,11.21,20.189999,6.45,11.8,1.365,2.675,15.915,19.869999,16.14,15.915,17.48
13-06-2015,15.23,28.175,8.17,22.75,12.929999,21.93,12.054999,9.53,20.615,10.99,12.054999,1.535,1.3,15.23,16.35,15.424999,15.23,17.199999
14-06-2015,15.625,28.68,8.135,21.244999,10.035,21.91,13.57,10.95,16.195,10.78,13.65,0.81,0.615,14.875,19.369999,16.43,14.875,17.4
15-06-2015,16.904999,29.664999,7.665,22.029999,10.855,24.55,14.9,11.24,8.76,7.015,13.95,-0.625,2.5149999,16.869999,8.76,16.73,16.869999,17.885
16-06-2015,16.49,29.179998,8.014999,22.34,9.889999,23.109999,14.684999,9.365,18.925,9.99,13.299999,6.4449997,1.1999999,16.465,16.48,17.715,16.465,21.24
17-06-2015,16.484999,30.724998,9.184999,22.845,10.835,22.76,14.41,11.825,13.99,10.179999,13.875,1.9449999,1.185,16.44,13.99,18.525,16.44,21.975
18-06-2015,17.414999,28.875,8.46,20.98,12.495,20.48,14.035,10.38,14.235,10.094999,13.429999,-0.11,0.48499998,17.605,15.82,19.67,17.605,23.48
19-06-2015,17.5,31.505,10.014999,22.425,10.415,22.695,15.355,9.495,17.21,10.67,14.495,0.04,-0.52,17.949999,17.88,19.17,17.949999,23.59
20-06-2015,18.619999,28.789999,7.8849998,22.5,11.96,26.085,15.415,10.139999,19.26,8.929999,15.415,-0.16499999,0.16499999,19.32,17.675,19.664999,19.32,20.205
21-06-2015,18.824999,27.43,10.054999,21.635,19.064999,22.539999,15.73,10.355,18.555,22.949999,13.21,1.5999999,2.3999999,19.67,18.89,20.635,19.67,23.295
22-06-2015,14.759999,31.545,10.035,22.359999,10.5,24.414999,15.075,10.355,19.32,10.26,15.835,1.4,2.76,14.759999,19.029999,19.609999,14.759999,19.05
23-06-2015,17.66,30.42,11.4,22.465,11.134999,24.84,16.99,10.115,17.08,15.255,14.365,2.56,2.645,10.23,17.08,17.66,10.23,18.785
24-06-2015,17.105,27.05,6.825,22.93,11.759999,27.185,14.714999,11.3949995,20.295,11.585,14.559999,2.215,2.59,17.125,20.145,18.51,17.105,24.494999
25-06-2015,19.119999,30.775,9.55,22.72,11.559999,23.4,14.049999,9.554999,19.885,9.53,14.049999,-0.024999999,3.475,18.914999,17.369999,19.625,18.914999,24.484999
26-06-2015,17.525,26.9,10.035,23.185,12.84,21.425,14.719999,10.825,19.949999,13.655,14.264999,1.905,4.035,17.085,19.83,19.3,17.085,25.484999
27-06-2015,16.265,28.439999,10.415,22.539999,12.469999,21.3,13.865,11.184999,22.05,8.875,14.48,0.14,5.66,16.585,22.05,18.375,16.585,27.289999
28-06-2015,14.86,25.599998,6.58,22.404999,11.825,21.494999,15.66,10.575,17.425,13.69,15.719999,2.6,4.44,14.96,15.714999,17.164999,14.7,24.394999
