samples,S161_SCH_0_2mic_AHI,S161_SCH_0_2mic_AMID,S161_SCH_0_2mic_BHI,S161_SCH_HI_FsH1,S161_SCH_HI_FsH2,S161_SCH_HI_FsH3,S161_SCH_HI_FsH4,S161_SCH_HI_FsH5,S161_SCH_HI_FsH6,S161_SCH_HI_FsR1,S161_SCH_HI_FsR2,S161_SCH_HI_FsR3,S161_SCH_HI_FsR4,S161_SCH_HI_FsR5,S161_SCH_HI_FsR6,S161_SCH_HI_FsV1,S161_SCH_HI_FsV2,S161_SCH_HI_FsV3,S161_SCH_HI_FsV4,S161_SCH_HI_FsV5,S161_SCH_HI_FsV6,S161_SCH_LO_FdH1,S161_SCH_LO_FdH2,S161_SCH_LO_FdH3,S161_SCH_LO_FdH4,S161_SCH_LO_FdH5,S161_SCH_LO_FdH6,S161_SCH_LO_FdR1,S161_SCH_LO_FdR2,S161_SCH_LO_FdR3,S161_SCH_LO_FdR4,S161_SCH_LO_FdR5,S161_SCH_LO_FdR6,S161_SCH_LO_FdV1,S161_SCH_LO_FdV2,S161_SCH_LO_FdV3,S161_SCH_LO_FdV4,S161_SCH_LO_FdV5,S161_SCH_LO_FdV6,S161_SCH_MID_FvH1,S161_SCH_MID_FvH2,S161_SCH_MID_FvH3,S161_SCH_MID_FvH4,S161_SCH_MID_FvH5,S161_SCH_MID_FvH6,S161_SCH_MID_FvR1,S161_SCH_MID_FvR2,S161_SCH_MID_FvR3,S161_SCH_MID_FvR4,S161_SCH_MID_FvR5,S161_SCH_MID_FvR6,S161_SCH_MID_FvV1,S161_SCH_MID_FvV2,S161_SCH_MID_FvV3,S161_SCH_MID_FvV4,S161_SCH_MID_FvV5,S161_SCH_MID_FvV6,S162_SCH_0_2mic_AHI,S162_SCH_0_2mic_ALO,S162_SCH_0_2mic_AMID,S162_SCH_0_2mic_BHI,S162_SCH_0_2mic_BLO,S162_SCH_0_2mic_BMID,S162_SCH_HI_FsH1,S162_SCH_HI_FsH2,S162_SCH_HI_FsH3,S162_SCH_HI_FsH5,S162_SCH_HI_FsH6,S162_SCH_HI_FsR1,S162_SCH_HI_FsR2,S162_SCH_HI_FsR3,S162_SCH_HI_FsR4,S162_SCH_HI_FsR5,S162_SCH_HI_FsR6,S162_SCH_HI_FsV1,S162_SCH_HI_FsV2,S162_SCH_HI_FsV3,S162_SCH_HI_FsV4,S162_SCH_HI_FsV5,S162_SCH_HI_FsV6,S162_SCH_LO_FdH1,S162_SCH_LO_FdH2,S162_SCH_LO_FdH3,S162_SCH_LO_FdH4,S162_SCH_LO_FdH5,S162_SCH_LO_FdH6,S162_SCH_LO_FdR1,S162_SCH_LO_FdR2,S162_SCH_LO_FdR3,S162_SCH_LO_FdR4,S162_SCH_LO_FdR5,S162_SCH_LO_FdR6,S162_SCH_LO_FdV1,S162_SCH_LO_FdV2,S162_SCH_LO_FdV3,S162_SCH_LO_FdV4,S162_SCH_LO_FdV5,S162_SCH_LO_FdV6,S162_SCH_MID_FvH1,S162_SCH_MID_FvH2,S162_SCH_MID_FvH4,S162_SCH_MID_FvH5,S162_SCH_MID_FvH6,S162_SCH_MID_FvR2,S162_SCH_MID_FvR3,S162_SCH_MID_FvR4,S162_SCH_MID_FvR5,S162_SCH_MID_FvR6,S162_SCH_MID_FvV1,S162_SCH_MID_FvV2,S162_SCH_MID_FvV3,S162_SCH_MID_FvV4,S162_SCH_MID_FvV5,S162_SCH_MID_FvV6,T1_C1_FvV,T1_C2_FvV,T1_C3_FvV,T1_C4_FvV,T1_C6_FvV,T1_C7_FvV,T1_C8_FvV,T1D_GP2_FvV,T1D_GP4_FvV,T1D_GP6_FvV,T1D_GP8_FvV,T1D_Pt1_FvV,T1D_Pt3_FvV,T1D_Pt5_FvV,T1D_Pt7_FvV,T1W_GP1a_FvV,T1W_GP3_FvV,T1W_GP5_FvV,T1W_Pt2_FvV,T1W_Pt4_FvV,T1W_Pt6_FvV,T1W_Pt8_FvV,T2_C1_FvV,T2_C2_FvV,T2_C3_FvV,T2_C4_FvV,T2_C5_FvV,T2_C7_FvV,T2_C8_FvV,T2D_GP4_FvV,T2D_GP6_FvV,T2D_GP8_FvV,T2D_Pt1_FvV,T2D_Pt3_FvV,T2D_Pt5_FvV,T2D_Pt7_FvV,T2W_GP1_FvV,T2W_GP3_FvV,T2W_GP5_FvV,T2W_GP7_FvV,T2W_Pt2_FvV_A,T2W_Pt4_FvV,T2W_Pt6_FvV,T2W_Pt8_FvV,T4_C1_FvH,T4_C1_FvR,T4_C1_FvV,T4_C2_FvH,T4_C2_FvR,T4_C2_FvV,T4_C3_FvH,T4_C3_FvR,T4_C3_FvV,T4_C4_FvH,T4_C4_FvR,T4_C4_FvV,T4_C5_FvH,T4_C5_FvR,T4_C5_FvV,T4_C6_FvH,T4_C6_FvR,T4_C6_FvV,T4_C7_FvR,T4_C7_FvV,T4_C8_FvH,T4_C8_FvR,T4_C8_FvV,T4D_GP2_FvH,T4D_GP2_FvV,T4D_GP4_FvH,T4D_GP4_FvV,T4D_GP6_FvH,T4D_GP6_FvR,T4D_GP6_FvV,T4D_GP8_FvH,T4D_GP8_FvR,T4D_GP8_FvV,T4D_Pt1_FvH,T4D_Pt1_FvV,T4D_Pt3_FvH,T4D_Pt3_FvR,T4D_Pt3_FvV,T4D_Pt5_FvH,T4D_Pt5_FvR,T4D_Pt5_FvV,T4D_Pt7_FvH,T4D_Pt7_FvR,T4D_Pt7_FvV,T4W_GP1_FvH,T4W_GP1_FvR,T4W_GP1_FvV,T4W_GP3_FvH,T4W_GP3_FvR,T4W_GP3_FvV,T4W_GP5_FvH,T4W_GP5_FvR,T4W_GP5_FvV,T4W_GP7_FvH,T4W_GP7_FvR,T4W_GP7_FvV,T4W_Pt2_FvH,T4W_Pt2_FvR,T4W_Pt2_FvV,T4W_Pt4_FvH,T4W_Pt4_FvR,T4W_Pt4_FvV,T4W_Pt6_FvH,T4W_Pt6_FvR,T4W_Pt6_FvV,T4W_Pt8_FvH,T4W_Pt8_FvR,T4W_Pt8_FvV
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,11,60,7,73,4,18,0,0,0,0,5,175,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,279,2,151,3,1846,0,0,1,0,0,0,0,0,0,0,0,1,3,71,57,22,80,6,0,4,4,1347,0,4,0,0,29,1,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,2,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,15,0,8,0,0,3,21,8,12,0,573,0,2,1,632,2735,15,3,1,0,0,0,2,0,0,8,0,0,1,20,0,12,0,51,17,34,467,23,0,4,0,0,0
88,0,0,0,0,0,4,0,2,0,29,14,38,20,18,16,22,2,30,15,19,15,0,7,0,0,2,2,14,5,0,18,5,0,20,18,0,15,25,1,0,0,0,0,0,0,27,10,9,26,37,2,71,43,16,26,19,48,0,0,0,0,0,0,0,1,0,0,0,24,26,19,19,28,11,22,27,10,21,19,12,3,0,1,1,2,0,0,21,16,2,23,0,0,23,28,1,45,0,2,0,0,0,0,8,5,41,59,16,32,11,15,45,41,19,4,3,5,5,21,5,0,8,2,16,3,21,5,4,0,11,26,21,9,5,5,1,22,31,33,10,22,12,29,28,36,41,39,38,37,23,30,21,23,28,45,49,35,41,0,20,5,0,34,35,0,19,10,0,23,24,0,8,24,3,3,24,15,5,0,15,12,0,6,0,0,0,0,0,0,4,32,1,44,0,38,37,0,0,0,0,0,7,0,18,14,0,7,0,4,2,4,0,0,31,0,28,22,0,8,0,0,15,37,0,3,26
100,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,7,0,1,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,14,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,1,0,0,3,1,3,7,4,8,5,1,6,1,9,3,0,0,0,0,0,0,3,0,0,1,1,0,4,2,0,1,4,0,0,0,0,0,0,0,0,1,0,4,1,0,4,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,2,5,5,1,2,2,0,0,0,0,0,0,0,3,0,0,3,0,0,1,5,0,4,0,0,0,0,0,0,2,0,4,1,0,2,0,0,3,4,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,3,0,1,0,0,1,4,3,3,4,2,1,0,1,6,8,5,5,8,9,4,3,4,6,5,6,5,5,0,3,0,0,5,1,0,3,1,0,2,2,0,0,3,0,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,8
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
