"","Group.1","Group.2","x3"
"4",88,"control",1
"14",171,"control",1
"41",280,"control",1
"42",283,"control",1
"43",285,"control",1
"45",294,"control",1
"66",323,"control",1
"127",530,"control",1
"148",623,"control",1
"149",628,"control",1
"154",649,"control",1
"179",786,"control",1
"196",826,"control",1
"306",1435,"control",1
"317",1478,"control",1
"323",1534,"control",1
"353",1679,"control",1
"357",1704,"control",1
"365",1730,"control",1
"393",1871,"control",1
"411",1927,"control",1
"440",2023,"control",1
"452",2054,"control",1
"473",2143,"control",1
"474",2144,"control",1
"521",2294,"control",1
"601",2574,"control",1
"650",2792,"control",1
"663",2837,"control",1
"677",2930,"control",1
"682",2988,"control",1
"683",2991,"control",1
"704",3093,"control",1
"705",3095,"control",1
"723",3186,"control",1
"755",3255,"control",1
"758",3260,"control",1
"759",3263,"control",1
"760",3264,"control",1
"761",3265,"control",1
"762",3266,"control",1
"763",3267,"control",1
"764",3269,"control",1
"775",3287,"control",1
"790",3309,"control",1
"795",3316,"control",1
"796",3317,"control",1
"804",3330,"control",1
"812",3356,"control",1
"832",3391,"control",1
"833",3392,"control",1
"915",3586,"control",1
"916",3588,"control",1
"917",3589,"control",1
"957",3672,"control",1
"965",3693,"control",1
"966",3694,"control",1
"1046",3897,"control",1
"1078",3980,"control",1
"1079",3981,"control",1
"1160",4211,"control",1
"1162",4213,"control",1
"1243",4418,"control",1
"1393",4929,"control",1
"1395",4932,"control",1
"1404",4962,"control",1
"1521",5327,"control",1
"1550",5408,"control",1
"1551",5410,"control",1
"1582",5527,"control",1
"1628",5723,"control",1
"1629",5725,"control",1
"1630",5726,"control",1
"1631",5727,"control",1
"1646",5758,"control",1
"1678",5858,"control",1
"1711",5949,"control",1
"1723",5990,"control",1
"1741",6062,"control",1
"1757",6086,"control",1
"1772",6125,"control",1
"1781",6155,"control",1
"1819",6255,"control",1
"2020",6822,"control",1
"2050",6920,"control",1
"2058",6949,"control",1
"2085",7007,"control",1
"2102",7058,"control",1
"2111",7076,"control",1
"2118",7091,"control",1
"2125",7103,"control",1
"2145",7162,"control",1
"2164",7197,"control",1
"2193",7278,"control",1
"2232",7351,"control",1
"2233",7352,"control",1
"2292",7463,"control",1
"2293",7464,"control",1
"2318",7533,"control",1
"2333",7570,"control",1
"2353",7633,"control",1
"2355",7637,"control",1
"2405",7731,"control",1
"2487",7939,"control",1
"2494",7965,"control",1
"2495",7966,"control",1
"2522",8019,"control",1
"2535",8050,"control",1
"2536",8051,"control",1
"2537",8053,"control",1
"2584",8181,"control",1
"2585",8184,"control",1
"2606",8241,"control",1
"2607",8242,"control",1
"2608",8243,"control",1
"2609",8244,"control",1
"2610",8245,"control",1
"2611",8246,"control",1
"2612",8248,"control",1
"2633",8325,"control",1
"2654",8371,"control",1
"2655",8372,"control",1
"2705",8560,"control",1
"2850",9019,"control",1
"2873",9075,"control",1
"2884",9104,"control",1
"2893",9123,"control",1
"2894",9124,"control",1
"3048",9523,"control",1
"3092",9616,"control",1
"3141",9715,"control",1
"3156",9740,"control",1
"3293",9999,"control",1
"3294",10000,"control",1
"3385",10195,"control",1
"3457",10350,"control",1
"3458",10351,"control",1
"3459",10352,"control",1
"3467",10361,"control",1
"3473",10369,"control",1
"3487",10390,"control",1
"3489",10392,"control",1
"3577",10574,"control",1
"3587",10607,"control",1
"3588",10608,"control",1
"3652",10763,"control",1
"3779",11107,"control",1
"3782",11118,"control",1
"3790",11130,"control",1
"3794",11137,"control",1
"3854",11277,"control",1
"3865",11313,"control",1
"3886",11355,"control",1
"3887",11356,"control",1
"3985",11538,"control",1
"4293",12129,"control",1
"4294",12130,"control",1
"4295",12134,"control",1
"4296",12135,"control",1
"4334",12206,"control",1
"4340",12214,"control",1
