samples,sample_ID,,day,sample_type,tissue,species,zone,transect,treatment,plant
S161_SCH_0_2mic_AHI,1,,1,water,na,na,Hi,A,none,na
S161_SCH_0_2mic_AMID,2,,1,water,na,na,Mid,A,none,na
S161_SCH_0_2mic_BHI,3,,1,water,na,na,Hi,B,none,na
S161_SCH_HI_FsH1,4,,1,alga,holdfast,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsH2,5,,1,alga,holdfast,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsH3,6,,1,alga,holdfast,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsH4,7,,1,alga,holdfast,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsH5,8,,1,alga,holdfast,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsH6,9,,1,alga,holdfast,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsR1,10,,1,alga,reproductive,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsR2,11,,1,alga,reproductive,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsR3,12,,1,alga,reproductive,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsR4,13,,1,alga,reproductive,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsR5,14,,1,alga,reproductive,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsR6,15,,1,alga,reproductive,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsV1,16,,1,alga,vegetative,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsV2,17,,1,alga,vegetative,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsV3,18,,1,alga,vegetative,Fs,Hi,A,none_Fs,na
S161_SCH_HI_FsV4,19,,1,alga,vegetative,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsV5,20,,1,alga,vegetative,Fs,Hi,B,none_Fs,na
S161_SCH_HI_FsV6,21,,1,alga,vegetative,Fs,Hi,B,none_Fs,na
S161_SCH_LO_FdH1,22,,1,alga,holdfast,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdH2,23,,1,alga,holdfast,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdH3,24,,1,alga,holdfast,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdH4,25,,1,alga,holdfast,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdH5,26,,1,alga,holdfast,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdH6,27,,1,alga,holdfast,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdR1,28,,1,alga,reproductive,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdR2,29,,1,alga,reproductive,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdR3,30,,1,alga,reproductive,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdR4,31,,1,alga,reproductive,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdR5,32,,1,alga,reproductive,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdR6,33,,1,alga,reproductive,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdV1,34,,1,alga,vegetative,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdV2,35,,1,alga,vegetative,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdV3,36,,1,alga,vegetative,Fd,Lo,A,none_Fd,na
S161_SCH_LO_FdV4,37,,1,alga,vegetative,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdV5,38,,1,alga,vegetative,Fd,Lo,B,none_Fd,na
S161_SCH_LO_FdV6,39,,1,alga,vegetative,Fd,Lo,B,none_Fd,na
S161_SCH_MID_FvH1,40,,1,alga,holdfast,Fv,Mid,A,none_Fv,na
S161_SCH_MID_FvH2,41,,1,alga,holdfast,Fv,Mid,A,none_Fv,na
S161_SCH_MID_FvH3,42,,1,alga,holdfast,Fv,Mid,A,none_Fv,na
S161_SCH_MID_FvH4,43,,1,alga,holdfast,Fv,Mid,B,none_Fv,na
S161_SCH_MID_FvH5,44,,1,alga,holdfast,Fv,Mid,B,none_Fv,na
S161_SCH_MID_FvH6,45,,1,alga,holdfast,Fv,Mid,B,none_Fv,na
S161_SCH_MID_FvR1,46,,1,alga,reproductive,Fv,Mid,A,none_Fv,na
S161_SCH_MID_FvR2,47,,1,alga,reproductive,Fv,Mid,A,none_Fv,na
S161_SCH_MID_FvR3,48,,1,alga,reproductive,Fv,Mid,A,none_Fv,na
S161_SCH_MID_FvR4,49,,1,alga,reproductive,Fv,Mid,B,none_Fv,na
S161_SCH_MID_FvR5,50,,1,alga,reproductive,Fv,Mid,B,none_Fv,na
