"Sites","laty","lony","A2015101","A2015102","A2015103","A2015104","A2015105","A2015106","A2015107","A2015108","A2015109","A2015110","A2015111","A2015112","A2015113","A2015114","A2015115","A2015116","A2015117","A2015118","A2015119","A2015120","A2015121","A2015122","A2015123","A2015124","A2015125","A2015126","A2015127","A2015128","A2015129","A2015130","A2015131","A2015132","A2015133","A2015134","A2015135","A2015136","A2015137","A2015138","A2015139","A2015140","A2015141","A2015142","A2015143","A2015144","A2015145","A2015146","A2015147","A2015148","A2015149","A2015150","A2015151","A2015152","A2015153","A2015154","A2015155","A2015156","A2015157","A2015158","A2015159","A2015160","A2015161","A2015162","A2015163","A2015164","A2015165","A2015166","A2015167","A2015168","A2015169","A2015170","A2015171","A2015172","A2015173","A2015174","A2015175","A2015176","A2015177","A2015178","A2015179","A2015180","A2015181","A2015182","A2015183","A2015184","A2015185","A2015186","A2015187","A2015188","A2015189","A2015190","A2015191","A2015192","A2015193","A2015194","A2015195","A2015196","A2015197","A2015198","A2015199","A2015200"
"Amorosa",41.6429,-8.824233,49.559998,49.993999,49.703999,37.779999,31.576,23.269997,42.681999,50.045998,51.891998,52.32,46.216,53.298,51.059998,14.701996,9.973999,36.079998,54,39.442001,51.661999,13.785999,9.715996,18.787998,20.519997,35.028,46.236,56.348,53.888,24.853996,57.911999,56.549999,57.852001,52.138,46.722,56.716,52.835999,59.711998,59.883999,59.897999,59.945999,51.486,60.452,61.683998,60.939999,61.452,61.174,61.574001,61.563999,61.736,62.028,61.739998,19.003998,59.402,62.344002,62.363998,42.872002,63.018002,62.054001,60.66,60.919998,61.478001,58.287998,63.034,62.624001,29.815998,55.975998,62.945999,60.461998,63.127998,63.334,63.293999,63.254002,63.312,19.481998,13.815998,59.335999,62.624001,63.150002,63.236,63.202,49.806,63.422001,16.159996,61.532001,62.638,49.105999,62.734001,62.537998,61.658001,62.416,62.026001,62.138,62.380001,61.916,61.889999,48.804001,40.739998,61.826,61.118,53.077999,53.643997
"Beaufort",34.716837,-76.668103,41.837997,42.098,51.026001,45.332001,17.055996,13.369999,17.029999,19.539997,9.415997,54.563999,55.470001,55.933998,51.077999,57.099998,23.089996,23.379997,55.245998,56.987999,16.279999,40.023998,55.379997,42.545998,57.113998,58.436001,58.102001,36.736,26.019997,59.639999,56.059998,6.751999,24.379997,57.653999,39.377998,47.495998,57.133999,60.281998,60.756001,59.285999,59.675999,15.975998,50.449997,58.112,59.767998,62.188,61.299999,61.841999,61.557999,58.681999,59.632,61.150002,62.622002,62.27,62.661999,30.533997,59.503998,36.484001,30.373997,62.639999,59.653999,63.192001,54.514,62.681999,62.708,60.736,61.197998,60.416,63.152,44.311996,54.959999,61.720001,61.389999,62.540001,61.834,62.422001,58.366001,13.149998,60.813999,46.917999,57.764,48.975998,62.091999,55.706001,31.787998,46.245998,60.694,61.450001,61.588001,62.161999,56.003998,51.189999,58.264,59.703999,43.818001,43.928001,48.139999,54.854,25.255997,54.362,61.377998,60.571999
"Bodo",67.412183,14.6156,28.48,8.227997,7.937996,19.461998,12.685997,28.787998,14.583996,15.565998,14.317997,11.479996,7.113998,9.871998,17.339996,21.705997,35.811996,6.305996,16.365997,28.817997,40.722,18.873997,18.271999,20.423996,41.375999,34.374001,30.885998,5.223999,32.495998,14.543999,16.357998,19.135998,32.521999,13.345997,15.811996,18.131996,30.051998,48.854,22.355999,47.368,17.563999,37.442001,27.188,10.637997,36.042,38.005997,52.863998,34.194,27.028,27.025997,50.234001,12.933998,28.529999,36.624001,18.851997,55.278,14.857998,18.805996,36.093998,44.094002,33.857998,23.649998,21.085999,22.943996,41.879997,42.639999,30.933998,19.371998,44.748001,34.293999,51.722,52.295998,43.848,56.952,45.463997,31.571999,18.557999,17.829998,11.131996,28.711998,32.264,36.909996,55.034,48.753998,9.611996,6.241997,21.966,49.953999,46.155998,49.652,25.281998,30.101997,24.703999,43.528,53.108002,43.267998,30.929996,21.335999,26.207996,10.221996,26.165997,14.663998
"Cadiz",36.46783,-6.25158,13.763996,47.888,48.869999,39.923996,15.051998,54.001999,53.257999,54.587997,47.493999,54.964001,53.666,55.147999,55.444,26.549999,34.045998,44.253998,52.945999,57.164001,52.689999,58.015999,57.464001,58.234001,27.253998,49.981998,58.192001,58.251999,59.056,59.509998,59.366001,56.764,59.602001,56.369999,58.688,58.245998,59.042,60.445999,58.349998,57.655998,57.641998,60.369999,57.48,56.908001,61.172001,54.054001,50.557999,61.119999,61.776001,55.057999,60.492001,62.113998,56.785999,62.542,60.889999,62.172001,61.478001,51.563999,19.143997,61.348,48.337997,61,60.136002,40.582001,62.568001,54.054001,25.435997,63.290001,55.035999,63.374001,62.312,63.447998,63.023998,62.161999,62.313999,63.335999,63.375999,60.720001,63.105999,62.369999,62.950001,62.284,62.796001,57.470001,62.821999,61.835999,60.821999,62.431999,61.167999,61.903999,60.818001,61.475998,62.307999,62.001999,61.852001,61.869999,61.636002,59.625999,58.152,60.438,57.228001,61.307999
"Halifax",44.491883,-63.912172,40.967999,46.655998,45.998001,7.413998,48.734001,48.001999,14.359997,50.958,51.150002,51.189999,13.331997,34.519997,9.293999,31.862,53.087997,21.957996,17.493999,22.473999,48.375999,23.385998,35.431999,49.529999,46.484001,56.009998,56.43,56.709999,56.869999,48.045998,57.584,34.593998,15.701996,14.725998,40.928001,58.605999,58.931999,58.953999,18.593998,59.854,59.486,17.649998,60.188,9.639996,51.312,60.625999,61.144001,18.309998,61.34,36.512001,61.099998,39.397999,15.577999,18.537998,12.113998,25.377998,59.259998,61.959999,15.021999,62.632,62.59,43.124001,16.885998,46.211998,61.841999,62.911999,63.304001,62.989998,32.731998,63.216,63,16.283997,62.826,13.421997,26.425999,48.625999,62.806,63.186001,23.348,59.208,15.429996,62.933998,37.501999,62.714001,53.096001,62.692001,47.414001,33.953999,59.236,56.702,43.675999,58.285999,57.868,51.535999,60.764,59.501999,61.133999,47.585999,61.324001,60.706001,37.353996,13.861996
"Lewes",38.78846,-75.16091,51.585999,51.5,52.248001,13.153999,43.699997,53.683998,27.241997,53.003998,50.439999,24.011997,52.613998,54.678001,40.863998,55.372002,47.685997,56.304001,44.776001,56.346001,56.82,43.407997,29.475998,58.026001,57.695999,47.916,56.178001,56.417999,50.348,58.425999,56.391998,56.888,28.397999,58.408001,53.778,59.042,57.779999,50.619999,50.343998,59.528,55.188,57.084,10.427998,61.138,61.043999,59.138,58.428001,60.141998,61.167999,58.091999,61.085999,61.130001,33.970001,39.417999,50.146,22.463997,16.715996,20.541996,14.739998,62.355999,60.664001,60.610001,55.358002,59.124001,56.003998,55.458,62.374001,51.903999,28.953999,59.599998,58.118,36.239998,28.919998,54.75,62.939999,60.363998,57.424,59.956001,44.360001,21.683998,48.945999,63.084,62.504002,58.848,19.716,55.566002,43.033997,59.848,58.403999,61.425999,46.853996,57.422001,61.77,61.419998,38.736,61.512001,35.007999,17.073997,60.563999,60.211998,37.795998,59.208
"Minehead",51.18323,-3.38488,42.98,22.827999,37.587997,44.323997,35.269997,29.783997,24.535999,46.209999,44.877998,47.017998,47.157997,48.417999,47.751999,23.011997,14.687996,43.617996,9.335999,45.375999,49.136002,51.139999,21.335999,10.421997,27.007999,22.935997,51.248001,46.503998,45.293999,26.493999,41.203999,43.278,54.517998,56.41,55.678001,14.587997,40.433998,55.984001,29.663998,44.211998,48.924,57.012001,56.531998,39.657997,58.091999,30.618,55.636002,56.139999,51.731998,53.407997,55.883999,57.683998,44.393997,14.281998,24.084,58.144001,58.565998,18.661999,62.220001,60.622002,59.813999,46.028,54.290001,54.886002,23.174,9.765999,55.989998,60.436001,58.594002,37.245998,61.094002,60.672001,22.369999,45.563999,36.862,61.667999,56.5,51.012001,24.353996,49.368,37.367996,59.543999,61.641998,31.745998,17.911999,34.709999,53.512001,52.643997,56.486,35.652,30.571999,60.860001,60.349998,39.428001,19.233997,15.029999,20.929996,54.265999,43.66,48.519997,45.234001,58.403999
"Oban",56.290933,-5.633683,38.32,39.185997,7.807999,7.371998,41.603996,41.636002,37.799999,43.285999,43.192001,30.521999,24.727997,45.033997,26.587997,37.949997,14.293999,32.857998,14.523998,45.396,40.279999,44.995998,30.431999,19.653999,15.539997,44.169998,4.397999,30.435997,42.851997,35.811996,52.428001,12.029999,39.963997,21.561996,51.124001,54.438,10.399998,32.646,55.341999,46.939999,25.467999,49.624001,15.195999,35.178001,37.439999,14.313999,34.099998,36.417999,10.777996,23.139999,51.299999,43.825996,53.195999,11.569996,21.727997,51.009998,20.627998,37.117996,39.762001,53.745998,48.531998,50.222,60.826,60.922001,60.186001,57.183998,61.167999,27.619999,19.209999,30.424,10.817997,23.761997,30.831997,40.603996,56.098,38.110001,19.645996,31.893997,35.428001,23.523998,37.185997,36.040001,32.071999,22.171997,46.209999,60.509998,11.801998,27.363998,15.745998,47.015999,58.938,53.807999,12.989998,21.103996,39.571999,20.591999,54.736,48.618,25.643997,19.099998,56.122002,35.986
"Newport",41.450748,-71.356392,50.113998,50.543999,49.945999,18.077999,51.484001,51.952,15.051998,52.613998,51.313999,9.455997,52.285999,54.085999,18.201996,47.063999,54.896,21.289997,30.694,55.355999,36.334,50.251999,49.683998,56.795998,57.026001,56.717999,49.323997,49.005997,58.065998,58.054001,37.883999,53.104,53.736,44.447998,42.049999,57.897999,37.416,22.977997,59.745998,60.217999,14.007999,39.167999,50.326,55.643997,61.391998,61.043999,57.153999,59.73,28.151997,33.540001,61.818001,60.318001,42.902,19.341999,25.551998,61.031998,61.872002,32.281998,57.318001,62.015999,43.867996,20.119999,62.424,44.054001,57.636002,61.84,52.335999,12.441998,31.896,62.417999,54.265999,48.012001,61.666,25.297997,61.952,27.827999,63.105999,56.287998,57.431999,22.259998,18.289997,59.688,61.661999,51.559998,49.147999,62.396,19.645996,59.616001,60.523998,57.917999,40.905998,53.001999,61.852001,62.382,60.686001,61.700001,42.692001,55.521999,59.195999,56.91,32.405998,50.593998
"Schoodic",44.334048,-68.05799,37.689999,49.501999,49.372002,50.442001,48.769997,51.220001,50.048,51.799999,52.157997,15.559998,12.097996,52.799999,52.835999,42.477997,15.461998,43.619999,25.731998,26.725998,25.723999,22.085999,56.214001,56.438,56.872002,56.316002,31.893997,56.650002,56.073997,41.472,33.535999,52.893997,12.029999,35.605999,53.220001,58.678001,58.972,56.792,26.689999,59.745998,20.259998,20.151997,60.332001,48.129997,58.077999,57.970001,49.403999,55.711998,61.119999,58.234001,42.813999,51.166,11.097996,46.003998,20.735996,28.75,62.464001,43.466,49.723999,57.880001,63.447998,10.259998,54.737999,60.731998,62.332001,63.113998,63.346001,49.169998,14.863998,63.779999,63.202,56.136002,63.380001,9.839996,45.367996,9.169998,63.438,61.431999,62.782001,63.068001,13.137997,62.970001,62.945999,29.133999,62.445999,63.602001,42.554001,61.782001,62.202,62.400002,61.52,35.012001,56.869999,59.931999,58.001999,61.667999,41.767998,20.759998,61.380001,61.077999,17.903999,16.895996
"Sidmouth",50.675183,-3.2468,42.689999,29.511997,15.479996,35.967999,45.646,41.961998,30.493999,46.029999,46.953999,47.773998,48.335999,48.755997,48.211998,16.025997,24.735996,31.531998,14.503998,41.48,40.785999,42.98,21.047997,7.795998,51.944,17.591999,51.248001,38.818001,51.174,40.475998,45.638,28.528,49.161999,56.5,51.242001,17.659996,53.403999,57.245998,48.040001,48.299999,23.785999,44.124001,56.582001,41.903999,40.213997,12.499996,53.605999,51.563999,58.132,52.489998,39.299999,58.900002,47.888,29.915997,57.389999,47.970001,58.565998,26.457996,61.978001,51.599998,55.136002,35.917999,48.834,42.367996,15.695999,9.765999,33.916,60.076,54.826,26.495998,62.306,62.271999,22.369999,46.991997,29.331997,51.037998,53.104,49.141998,20.773998,50.709999,29.169998,60.82,61.891998,35.963997,24.759998,33.813999,59.057999,46.029999,61.622002,58.605999,49.108002,60.959999,60.431999,28.477997,19.625999,18.831997,22.613998,24.247997,33.773998,54.351997,53.379997,24.351997
"Tasiilaq",65.613076,-37.630477,23.431999,14.113998,20.098,24.101997,5.767998,4.941998,7.069996,3.477997,6.683998,4.229996,17.377998,26.213997,28.913998,21.955997,36.923996,9.579998,21.507999,14.233997,20.177998,15.407997,41.717999,8.349998,27.327999,20.429996,12.595997,18.439999,42.25,34.692001,28.065998,26.285999,26.927998,22.557999,10.147999,21.873997,1.599998,25.891998,20.659996,1.655998,8.259998,20.871998,48.178001,25.595997,19.834,26.497997,44.442001,35.470001,33.93,31.675999,28.337997,11.551998,1.841995,26.261997,45.122002,39.169998,44.711998,50.771999,41.543999,26.245998,48.472,51.981998,45.905998,53.829998,1.933998,52.009998,45.321999,33.194,19.938,16.947998,36.666,18.199997,36.703999,38.977997,48.765999,56.444,58.868,53.419998,41.639999,55.594002,29.299999,45.152,34.411999,39.051998,52.498001,33.025997,25.755997,37.251999,34.829998,55.082001,41.762001,50.914001,14.601997,27.146,10.755997,15.297997,36.839996,23.263996,43.568001,28.371998,33.779999,46.105999
